"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,0.00,9.94,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,7.67,49.36,8.10,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,26.74,79.60,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,105.41,7.50,19.51,3.50,10.80,8.23,3.60,2.40,5.57,7.90,18.90,0.00,0.00,0.00,1.00,105.41,109.66,4.52,7.97,0.00,107.92,102.88,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
2.00,0.00,9.91,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,7.69,45.09,8.10,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,26.47,77.88,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,96.85,7.50,19.51,3.50,10.80,8.23,3.60,2.40,5.50,7.89,18.90,0.00,0.00,0.00,1.00,101.10,106.56,4.19,6.93,0.00,106.50,91.01,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
3.00,0.00,9.99,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,7.85,40.98,8.10,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,26.19,76.05,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,88.65,7.50,19.51,3.50,10.80,8.23,3.60,2.40,5.45,7.87,18.90,0.00,0.00,0.00,1.00,96.93,103.42,3.84,6.03,0.00,104.84,78.34,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
4.00,0.00,10.99,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,8.06,35.92,8.10,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,25.86,74.11,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,79.16,7.50,19.51,3.50,10.80,8.23,3.60,2.40,5.41,7.84,18.90,0.00,0.00,0.00,1.00,92.23,100.17,3.49,5.17,0.00,102.49,69.79,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
5.00,0.00,10.99,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,8.37,30.55,8.00,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,25.51,72.14,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,69.23,7.50,19.51,3.50,10.80,8.23,3.60,2.40,5.72,8.30,18.90,0.00,0.00,0.00,1.00,87.35,96.88,3.27,4.69,0.00,99.90,62.61,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
6.00,0.00,11.97,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,8.70,26.94,5.90,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,24.76,69.86,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,64.27,7.50,19.51,3.50,10.80,8.23,3.60,2.40,6.16,8.92,18.90,0.00,0.00,0.00,1.00,82.72,94.09,3.09,4.34,0.00,97.12,58.65,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
7.00,0.00,11.98,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,8.96,23.92,5.40,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,23.87,67.50,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,60.97,7.50,19.51,3.50,10.80,8.23,3.60,2.40,6.67,9.83,18.90,0.00,0.00,0.00,1.00,78.17,91.46,2.85,3.91,0.00,94.27,55.76,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
8.00,0.00,12.69,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,9.20,21.84,0.90,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,23.44,65.19,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,59.63,7.50,19.51,3.50,10.80,8.23,3.60,2.40,7.21,10.83,18.90,0.00,0.00,0.00,1.00,72.90,88.03,2.59,3.46,0.00,92.07,54.96,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
9.00,0.00,12.62,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,9.58,20.07,0.00,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,23.16,62.90,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,58.94,7.50,19.51,3.50,10.80,8.23,3.60,2.40,7.62,11.39,18.90,0.00,0.00,0.00,1.00,67.38,84.33,2.25,2.94,0.00,90.09,54.87,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
10.00,0.00,12.75,0.00,0.00,4.20,8.10,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,10.73,0.00,5.60,10.01,19.09,0.00,4.00,15.41,4.00,16.00,10.00,10.00,13.66,1.40,0.00,22.44,60.25,2.35,27.00,8.00,14.63,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,55.90,7.50,19.51,3.50,10.80,8.23,3.60,2.40,8.00,11.80,18.90,0.00,0.00,0.00,1.00,64.14,81.77,1.88,2.41,0.00,88.92,52.56,0.00,2.00,0.00,0.00,11.00,0.00,16.00,0.00,0.00
