"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
22.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,121.47,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,65.86,5.46,15.23,144.33,144.33,28.10,44.54,56.80,28.10,0.00,179.01,0.00,0.00,67.01,45.00,46.63,46.58,50.05,30.67,30.56,30.55,48.36,48.39,79.60,79.57,203.20,17.04,20.25
23.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,118.41,44.06,35.37,227.17,15.00,1.97,6.88,87.69,36.00,6.39,9.98,65.43,5.46,15.13,144.33,144.33,44.77,55.79,28.27,28.27,0.00,169.30,0.00,0.00,67.01,45.00,46.26,46.22,50.05,30.67,30.56,30.55,48.36,48.39,70.04,70.02,203.20,17.04,20.25
24.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,114.04,44.06,35.37,222.60,15.00,1.97,6.88,87.69,36.00,6.39,9.98,62.65,5.46,14.49,144.33,144.33,21.99,54.22,54.68,21.99,0.00,157.24,0.00,0.00,67.01,45.00,44.91,44.87,50.05,30.67,30.56,30.55,48.36,48.39,61.64,61.62,203.20,17.04,20.25
25.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,107.24,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,57.89,5.46,13.39,144.33,144.33,29.38,56.97,29.38,29.38,0.00,126.83,0.00,0.00,67.01,45.00,42.56,42.53,50.05,30.67,30.56,30.55,48.36,48.39,46.76,46.75,203.20,17.04,20.25
26.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,100.46,44.06,35.37,209.41,15.00,1.97,6.88,87.69,36.00,6.39,9.98,49.92,5.46,11.55,144.33,144.33,42.83,36.87,26.69,26.69,0.00,94.72,0.00,0.00,67.01,45.00,39.58,39.56,50.05,30.67,30.56,30.55,48.36,48.39,26.17,26.17,203.20,17.04,20.25
27.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,99.86,44.06,35.37,207.42,15.00,1.97,6.88,87.69,36.00,6.39,9.98,43.98,5.46,10.17,144.33,144.33,21.44,35.26,35.37,29.53,0.00,72.84,0.00,0.00,67.01,45.00,37.05,37.03,50.05,30.67,30.56,30.55,48.36,48.39,20.62,20.62,203.20,17.04,20.25
28.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,103.36,44.06,35.37,207.52,15.00,1.97,6.88,87.69,36.00,6.39,9.98,45.81,5.46,10.60,144.33,144.33,25.71,46.74,25.71,25.71,0.00,80.40,0.00,0.00,67.01,45.00,37.96,37.94,50.05,30.67,30.56,30.55,48.36,48.39,20.62,20.62,203.20,17.04,20.25
29.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,120.05,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,66.30,5.46,15.34,144.33,144.33,50.09,32.72,50.23,32.74,0.00,164.19,0.00,0.00,70.01,38.42,66.56,0.00,50.05,30.67,30.56,30.55,48.36,48.39,61.07,61.06,203.20,17.04,20.25
30.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,5.13,2.82,163.91,56.52,123.15,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,70.70,5.46,16.35,144.33,144.33,43.04,42.89,43.17,42.98,0.00,106.57,100.50,0.00,74.91,0.00,44.58,44.54,50.05,30.67,30.56,30.55,48.36,48.39,73.18,73.16,203.20,17.04,20.25
31.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,77.26,5.13,2.82,163.91,56.52,124.23,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,73.80,5.46,17.07,144.33,144.33,22.56,65.93,66.62,22.56,81.57,87.67,81.57,0.00,72.53,51.00,44.56,44.52,50.05,30.67,30.56,30.55,48.36,48.39,33.14,33.14,203.20,17.04,20.25
32.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,81.71,5.13,2.82,163.91,56.52,131.61,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,84.57,5.46,19.56,144.33,144.33,23.30,67.10,67.88,23.30,112.42,119.06,112.44,0.00,74.91,53.40,44.57,44.53,50.05,30.67,30.56,30.55,48.36,48.39,55.80,55.79,203.20,17.04,20.25
33.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,81.71,5.13,2.82,163.91,56.52,132.71,44.06,35.37,228.00,15.00,1.97,6.88,87.69,36.00,6.39,9.98,85.48,5.46,19.77,144.33,144.33,23.30,67.10,67.88,23.30,150.15,161.23,150.20,0.00,74.91,54.71,44.57,44.53,50.05,30.67,30.56,30.55,48.36,48.39,55.80,55.79,203.20,17.04,20.25
34.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,81.71,5.13,2.82,163.91,56.52,132.71,44.06,35.37,228.00,27.50,1.97,6.88,87.69,36.00,6.39,9.98,85.48,5.46,19.77,144.33,144.33,23.30,67.10,67.88,23.30,182.87,195.83,182.93,0.00,74.91,56.72,44.57,44.53,50.05,30.67,30.56,30.55,48.36,48.39,55.80,55.79,203.20,17.04,20.25
35.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,81.71,5.13,2.82,163.91,56.52,132.71,44.06,35.37,228.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,171.99,171.95,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,47.99,41.13,50.05,30.67,30.56,30.55,48.36,48.39,77.96,77.93,203.20,17.04,20.25
