"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.67,0.00,9.24,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.20,18.05,0.00,8.40,11.49,80.16,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.40,85.90,3.05,0.00,19.51,19.32,5.12,0.00,0.00,0.00,19.51,19.51,19.51,2.40,121.80,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,5.04,5.33,18.00,0.10,1.00,77.00,87.10,9.60,8.20,5.69,122.00,97.00,0.00,2.00,1.73
2.00,0.00,23.57,0.00,9.70,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,11.19,77.83,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.00,83.90,3.05,0.00,19.51,19.32,0.32,0.00,0.00,0.00,19.51,19.51,19.51,2.40,116.00,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,4.39,4.76,18.00,0.05,1.00,78.00,97.09,8.90,7.40,0.38,122.00,96.69,0.00,2.00,0.16
3.00,0.00,23.66,0.00,9.93,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,9.97,73.51,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.40,80.70,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,118.74,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,3.81,4.20,18.00,0.00,1.00,82.77,96.76,8.00,6.60,0.00,122.00,85.16,0.00,2.00,0.00
4.00,0.00,23.72,0.00,10.43,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,9.09,64.14,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.60,77.30,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,111.65,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,3.47,3.68,18.00,0.00,1.00,75.64,96.17,7.20,5.80,0.00,122.00,73.03,0.00,2.00,0.00
5.00,0.00,23.65,0.00,11.50,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,9.16,59.40,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,24.50,73.30,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,104.46,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,3.15,3.32,18.00,0.00,1.00,73.58,94.90,6.40,5.00,0.00,120.00,58.63,0.00,2.00,0.00
6.00,0.00,23.65,0.00,11.20,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,8.95,55.11,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,23.20,69.30,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,97.60,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,2.92,3.44,18.00,0.00,1.00,76.42,93.46,5.70,4.10,0.00,118.00,45.47,0.00,2.00,0.00
7.00,0.00,23.53,0.00,11.29,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,7.85,47.05,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,21.50,65.70,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,86.25,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,2.89,3.74,18.00,0.00,1.00,78.00,81.60,5.20,3.60,0.00,115.00,30.68,0.00,2.00,0.00
8.00,0.00,23.49,0.00,10.96,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,6.78,44.16,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,20.20,62.00,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,92.00,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,3.48,4.58,18.00,0.00,1.00,78.00,79.60,4.60,3.00,0.00,112.00,22.11,0.00,2.00,0.00
9.00,0.00,23.72,0.00,10.85,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,5.81,41.70,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.70,58.00,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,69.00,12.88,15.51,19.51,4.40,0.00,6.32,0.00,2.40,3.98,5.39,18.00,0.00,1.00,68.00,77.10,3.90,2.60,0.00,109.00,32.00,0.00,2.00,0.00
10.00,0.00,23.55,0.00,10.46,3.00,7.20,9.70,19.22,1.52,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.40,5.40,39.37,8.10,10.34,15.22,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.30,54.30,3.05,0.00,19.51,19.32,0.00,0.00,0.00,0.00,19.51,19.51,19.51,2.40,63.50,12.88,19.51,19.51,8.40,0.00,6.32,0.00,2.40,4.24,6.11,18.00,0.00,1.00,55.60,74.40,3.20,2.20,0.00,105.00,27.00,0.00,2.00,0.00
