"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
17.00,6.85,22.21,7.25,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,6.83,4.10,3.10,9.40,12.66,15.42,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,3.04,21.12,67.64,2.50,0.00,4.00,16.62,85.00,14.49,27.08,0.60,4.00,4.00,5.00,1.15,82.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,8.00,11.10,9.40,0.55,0.68,124.33,115.26,17.78,11.53,61.20,73.10,104.00,0.40,1.16,38.13,47.75,11.00,156.48,17.69,0.16,34.39,88.57
18.00,9.94,22.12,9.75,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,8.04,4.64,3.10,9.40,12.77,15.85,2.60,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,4.62,20.90,67.74,2.50,0.00,4.00,16.62,100.00,14.49,28.48,0.60,4.00,4.00,5.00,1.15,81.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,8.00,11.10,9.40,0.75,0.68,124.33,115.26,17.78,11.53,72.00,71.51,100.00,0.40,1.16,47.26,78.82,11.00,160.34,17.69,0.22,36.16,87.55
19.00,10.72,22.13,11.04,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,9.68,5.88,3.10,9.40,14.12,10.02,3.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,7.25,20.87,68.09,2.50,0.00,4.00,16.62,108.00,14.49,29.87,0.60,4.00,4.00,5.00,1.15,81.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,11.10,14.12,9.40,0.94,0.68,124.14,115.06,17.76,11.53,77.76,72.39,98.00,0.30,1.12,53.81,119.55,11.00,161.32,17.69,0.27,37.93,86.29
20.00,12.63,22.07,12.43,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.03,7.95,3.10,9.40,13.36,11.99,3.10,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,9.60,20.91,68.29,2.50,0.00,4.00,16.62,109.00,14.49,30.08,0.60,4.00,4.00,5.00,1.15,82.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,11.10,14.12,9.40,1.05,0.68,124.14,115.06,17.76,11.53,78.48,73.16,97.00,0.20,1.16,59.06,146.25,11.00,161.13,17.69,0.30,38.20,86.06
21.00,13.07,22.73,13.30,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,11.01,10.01,3.10,9.40,13.40,14.71,3.60,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,10.59,21.11,68.70,2.50,0.00,4.00,16.62,109.00,14.49,30.28,0.60,4.00,4.00,5.00,1.15,83.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,1.14,0.68,125.05,115.26,17.88,11.53,78.48,75.31,97.00,0.20,1.12,62.95,179.52,11.00,160.86,17.69,0.32,38.46,85.99
22.00,14.23,21.55,14.24,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,11.37,11.25,3.10,9.40,13.26,17.35,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,11.15,21.33,68.90,2.50,0.00,4.00,16.62,110.00,14.49,30.94,0.60,4.00,4.00,5.00,1.15,85.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,1.17,0.68,125.05,115.26,17.88,11.53,79.20,77.69,99.00,0.10,1.16,65.70,185.28,11.00,160.30,17.69,0.34,39.29,85.21
23.00,14.44,20.84,14.58,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,11.64,12.17,3.10,9.40,13.91,20.34,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,11.56,21.50,69.10,2.50,0.00,4.00,16.62,109.00,14.49,31.59,0.60,4.00,4.00,5.00,1.15,88.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,1.15,0.68,127.30,115.39,18.73,12.85,78.48,78.86,102.00,0.10,1.16,67.41,178.93,11.00,159.53,17.69,0.35,40.12,84.44
24.00,14.68,21.06,14.80,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,11.66,12.92,3.10,9.40,14.49,23.07,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,11.78,21.75,69.48,2.50,0.00,4.00,16.62,109.00,14.49,31.07,0.60,4.00,4.00,5.00,1.15,92.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,1.18,0.69,135.30,115.39,18.73,12.85,78.48,80.03,106.00,0.10,1.12,68.22,167.08,11.00,159.13,17.69,0.36,39.45,84.12
25.00,14.57,20.92,14.61,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.81,13.27,3.10,9.40,13.12,25.93,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,11.51,21.95,69.79,2.50,0.00,4.00,16.62,109.00,14.49,30.54,0.60,4.00,4.00,5.00,1.15,96.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,16.45,17.70,9.50,1.16,0.70,131.06,115.21,18.70,12.85,78.48,81.22,111.00,0.10,1.12,68.18,164.03,11.00,159.27,17.69,0.37,38.79,84.12
26.00,13.92,20.79,14.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.95,13.36,3.10,9.40,13.93,27.90,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,10.65,22.13,70.11,2.50,0.00,4.00,16.62,109.00,14.49,30.05,0.60,4.00,4.00,5.00,1.15,100.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,16.45,17.70,9.50,1.16,0.70,131.06,115.21,18.70,12.85,78.48,82.23,116.00,0.10,1.12,66.93,164.30,11.00,160.46,17.69,0.38,38.16,85.04
