Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,AG1,2490,1,0,0,0,0,0,0,0,0,1
2,AG2,2491,1,0,0,0,0,0,0,0,0,1
3,AG3,2492,1,0,0,0,0,0,0,0,0,1
4,AG4,2493,1,0,0,0,0,0,0,0,0,1
5,AG5,2494,1,0,0,0,0,0,0,0,0,1
6,M1,2502,1,0,0,0,0,0,0,0,0,1
7,M2,2503,1,0,0,0,0,0,0,0,0,1
8,M3,2504,1,0,0,0,0,0,0,0,0,1
9,M4,2505,1,0,0,0,0,0,0,0,0,1
10,M5,2506,1,0,0,0,0,0,0,0,0,1
11,M6,2507,1,0,0,0,0,0,0,0,0,1
12,M7,2508,1,0,0,0,0,0,0,0,0,1
13,M8,2509,1,0,0,0,0,0,0,0,0,1
14,M9,2510,1,0,0,0,0,0,0,0,0,1
15,M10,2511,1,0,0,0,0,0,0,0,0,1
16,M11,2512,1,0,0,0,0,0,0,0,0,1
17,M12,2513,1,0,0,0,0,0,0,0,0,1
18,ETEN,2520,1,0,0,0,0,0,0,0,0,1
