"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
31.00,7.60,11.80,8.53,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,15.80,16.20,17.56,0.00,0.00,20.20,69.61,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,13.75,22.03,72.80,2.10,28.12,13.66,18.05,131.28,18.05,32.02,0.60,19.51,19.51,19.51,2.40,123.00,11.22,9.80,3.50,10.80,6.83,7.50,2.40,10.84,11.83,18.00,0.00,0.00,0.00,1.23,68.91,67.47,5.48,8.86,96.72,61.64,119.00,0.10,2.00,77.58,226.60,11.00,173.11,23.00
32.00,4.92,11.42,5.86,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,13.71,14.88,17.56,0.00,0.00,20.62,70.14,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,12.37,22.00,72.64,2.10,28.12,13.66,18.05,117.15,18.05,28.18,0.60,19.51,19.51,19.51,2.40,118.00,11.22,9.80,3.50,10.80,6.83,7.50,2.40,11.15,12.24,18.00,0.00,0.00,0.00,1.23,68.37,67.34,5.37,8.71,88.87,61.51,126.00,0.10,2.00,68.38,244.36,11.00,142.72,23.00
33.00,2.51,11.57,3.68,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,5.89,12.21,17.56,0.00,0.00,20.94,70.00,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,9.82,21.51,71.51,2.10,28.12,13.66,18.05,85.79,18.05,20.28,0.60,19.51,19.51,19.51,2.40,110.00,11.22,9.80,3.50,10.80,6.83,7.50,2.40,10.88,11.88,18.00,0.00,0.00,0.00,1.23,66.26,67.91,5.19,8.44,70.00,60.52,116.00,0.10,2.00,49.95,225.63,11.00,90.29,23.00
34.00,0.97,11.77,1.95,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.38,8.00,17.56,0.00,0.00,20.98,69.63,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,4.74,20.86,70.05,2.10,28.12,13.66,18.05,43.75,18.05,11.04,0.60,19.51,19.51,19.51,2.40,113.00,11.22,9.80,3.50,10.80,6.83,7.50,2.40,10.42,11.26,18.00,0.00,0.00,0.00,1.23,63.63,68.71,4.99,8.14,38.72,59.24,117.00,0.00,2.00,23.36,79.09,11.00,33.25,23.00
35.00,0.22,11.46,0.49,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,3.42,17.56,0.00,0.00,21.02,67.97,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.98,20.26,67.97,2.10,28.12,13.66,18.05,13.57,18.05,3.90,0.60,19.51,19.51,19.51,2.40,113.00,11.22,9.80,3.50,10.80,6.83,7.50,2.40,10.10,10.77,18.00,0.00,0.00,0.09,1.23,60.07,68.91,4.55,7.36,11.18,56.96,105.00,0.00,2.00,7.75,1.94,11.00,2.51,23.00
36.00,0.04,11.96,0.06,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,1.01,17.56,0.00,0.00,21.06,65.87,0.00,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.09,19.69,65.69,2.10,28.12,13.66,18.05,2.89,18.05,0.77,0.60,19.51,19.51,19.51,2.40,114.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,9.82,10.32,18.00,0.00,0.00,0.04,1.23,56.21,68.91,4.02,6.43,1.94,54.35,110.00,0.00,2.00,1.95,0.02,11.00,0.01,23.00
37.00,0.00,13.77,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.10,64.01,4.60,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,19.11,62.97,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,90.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,8.80,9.29,18.00,0.00,0.00,0.00,1.23,51.84,68.57,3.57,5.56,0.00,52.46,76.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
38.00,0.00,14.18,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.14,62.23,7.30,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.52,60.11,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,86.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,7.54,8.07,18.00,0.00,0.00,0.00,1.23,47.30,68.10,3.15,4.71,0.00,50.80,84.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
39.00,0.00,13.40,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.18,56.73,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.07,57.25,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,85.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,6.11,6.15,18.00,0.00,0.00,0.00,1.23,45.90,67.97,2.96,4.34,0.00,48.65,87.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
40.00,0.00,11.66,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.21,49.98,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.66,54.40,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,74.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,4.01,18.00,0.00,0.00,0.00,1.23,45.53,67.95,2.84,4.13,0.00,46.33,74.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
41.00,0.00,11.55,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.24,44.73,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.43,52.93,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,84.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,3.67,2.92,18.00,0.00,0.00,0.00,1.23,48.00,68.76,2.93,4.10,0.00,45.62,82.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
42.00,0.00,11.73,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.27,39.97,7.50,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.25,51.91,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,80.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,2.90,2.17,18.00,0.00,0.00,0.00,1.23,51.40,69.84,3.09,4.13,0.00,45.45,81.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
43.00,0.00,12.87,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.30,37.06,6.90,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.50,52.03,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,69.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,2.38,1.83,18.00,0.00,0.00,0.00,1.23,54.24,71.06,3.17,4.19,0.00,46.08,75.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
44.00,0.00,13.91,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.33,34.77,5.60,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.89,52.52,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,65.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,1.96,1.62,18.00,0.00,0.00,0.00,1.23,56.90,72.33,3.23,4.25,0.00,46.98,66.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
45.00,0.00,13.91,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.42,34.83,2.50,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.20,52.72,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,72.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,1.56,1.29,18.00,0.00,0.00,0.00,1.23,57.37,71.57,3.20,4.08,0.00,48.22,78.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
46.00,0.00,13.84,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.71,35.68,0.00,0.00,4.80,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.48,52.83,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,76.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,1.17,0.91,18.00,0.00,0.00,0.00,1.23,57.10,70.13,3.15,3.84,0.00,49.58,74.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
47.00,0.00,13.91,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,22.00,35.52,0.00,0.00,4.80,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.27,51.37,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,56.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,0.96,0.69,18.00,0.00,0.00,0.00,1.23,54.86,67.85,2.89,3.45,0.00,48.98,62.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
48.00,0.00,14.06,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,22.29,35.03,0.00,0.00,4.80,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.90,49.40,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,46.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,0.81,0.54,18.00,0.00,0.00,0.00,1.23,51.98,65.30,2.58,3.01,0.00,47.73,45.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
