"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
11.00,0.03,15.64,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.26,0.12,12.68,0.00,5.60,18.80,27.82,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,0.03,8.16,19.53,2.32,27.00,10.00,14.63,2.02,17.95,0.35,0.60,19.51,19.51,19.51,1.20,12.65,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.91,7.68,18.00,0.00,0.00,0.00,1.00,11.67,23.46,0.17,0.19,2.12,39.91,8.77,0.00,2.00,0.88,5.98,11.00,2.41,23.00,0.00,6.43
12.00,0.26,17.36,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.82,1.42,12.68,0.00,5.60,18.90,26.93,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,1.03,8.15,18.66,2.32,27.00,10.00,14.63,19.17,17.95,2.71,0.60,19.51,19.51,19.51,1.20,11.91,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.88,7.19,18.00,0.00,0.00,0.00,1.00,10.69,22.01,0.15,0.17,20.50,41.47,7.83,0.00,2.00,11.48,83.99,11.00,28.44,23.00,0.00,12.85
13.00,1.25,17.51,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,1.70,3.84,12.68,0.00,5.60,18.95,26.16,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,3.90,8.22,18.18,2.32,27.00,10.00,14.63,52.01,17.95,8.00,0.60,19.51,19.51,19.51,1.20,11.55,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.91,6.81,18.00,0.00,0.00,0.03,1.00,10.17,21.19,0.14,0.18,46.63,43.16,7.40,0.00,2.00,31.82,177.21,11.00,76.31,23.00,0.01,17.84
14.00,3.61,17.39,0.00,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,4.59,7.31,12.68,0.00,5.60,18.79,25.77,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,7.30,8.50,18.86,2.32,27.00,10.00,14.63,82.52,17.95,15.82,0.60,19.51,19.51,19.51,1.20,12.35,7.80,10.24,3.50,10.80,8.41,4.10,2.40,4.10,6.74,18.00,0.00,0.00,0.05,1.00,11.01,22.32,0.17,0.27,67.41,45.26,8.47,0.00,2.00,58.27,241.80,11.00,138.55,23.00,0.04,34.46
15.00,6.82,16.97,0.05,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,8.77,10.64,12.68,0.00,5.60,18.69,25.61,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,10.54,9.01,20.93,2.32,27.00,10.00,14.63,104.21,17.95,21.79,0.60,19.51,19.51,19.51,1.20,12.88,7.80,10.24,3.50,10.80,8.41,4.10,2.40,4.42,6.87,18.00,0.00,0.00,0.06,1.00,12.34,24.01,0.22,0.43,81.45,47.97,9.38,0.00,2.00,72.67,252.10,11.00,178.83,23.00,0.09,26.94
16.00,9.40,16.34,3.14,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,11.86,13.26,12.68,0.00,5.60,18.73,26.12,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,12.40,10.20,27.19,2.32,27.00,10.00,14.63,117.00,17.95,25.47,0.60,19.51,19.51,19.51,1.20,12.61,7.80,10.24,3.50,10.80,8.41,4.10,2.40,5.16,7.61,18.00,0.00,0.00,0.09,1.00,15.10,27.41,0.32,0.77,90.65,52.54,9.81,0.10,2.00,77.18,252.39,11.00,194.11,23.00,0.14,41.03
17.00,10.99,15.98,10.18,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,14.72,15.83,12.68,0.00,5.60,18.43,26.92,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.62,11.62,33.74,2.32,27.00,10.00,14.63,125.34,17.95,28.67,0.60,19.51,19.51,19.51,1.20,13.34,7.80,10.24,3.50,10.80,8.41,4.10,2.40,5.94,8.41,18.00,0.00,0.00,0.44,1.00,19.30,32.12,0.50,1.15,96.93,58.31,12.00,0.20,2.00,78.60,252.40,11.00,202.23,23.00,0.20,39.34
18.00,12.26,16.35,13.14,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,15.95,16.81,12.68,0.00,5.60,17.07,28.61,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.17,13.71,41.21,2.32,27.00,10.00,14.63,130.01,17.95,31.13,0.60,19.51,19.51,19.51,1.20,17.11,7.80,10.24,3.50,10.80,8.41,3.90,2.40,6.84,9.42,18.00,0.00,0.00,0.59,1.00,27.80,40.77,0.88,1.65,100.35,67.70,19.48,0.20,2.00,79.39,252.40,11.00,204.00,23.00,0.25,44.22
19.00,14.11,16.22,14.77,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,16.03,17.13,12.68,0.00,5.60,15.57,31.50,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.43,15.79,48.51,2.32,27.00,10.00,14.63,131.63,17.95,34.72,0.60,19.51,19.51,19.51,1.20,23.98,7.80,10.24,3.50,10.80,8.41,3.90,2.40,7.95,10.53,18.00,0.00,0.00,0.74,1.00,36.64,49.41,1.34,2.29,103.11,76.71,29.22,0.30,2.00,79.89,252.40,11.00,204.00,18.50,0.30,45.16
20.00,15.85,16.00,15.93,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,16.21,16.96,12.68,0.00,5.60,13.60,37.98,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.47,17.87,55.30,2.32,27.00,10.00,14.63,134.19,17.95,37.53,0.60,19.51,19.51,19.51,1.20,40.13,7.80,10.24,3.50,10.80,8.41,3.90,2.40,9.70,11.96,18.00,0.00,0.00,0.83,1.00,46.55,57.99,2.05,3.33,105.52,84.58,45.77,0.30,2.00,79.98,252.40,11.00,204.00,18.50,0.33,49.29
