"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,1.38,20.30,4.25,14.00,2.90,7.40,8.20,10.00,0.00,0.40,3.50,19.00,3.90,12.00,17.48,0.00,3.40,18.94,39.90,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,11.88,13.33,34.42,3.46,27.30,19.42,17.96,120.18,17.96,27.64,0.00,20.00,20.00,20.00,0.00,20.80,12.82,19.00,7.00,10.80,8.44,20.00,2.40,0.58,0.60,9.50,0.00,0.00,0.03,1.00,26.60,52.93,1.50,0.70,84.31,85.00,18.70,0.00,2.00,50.35,153.34,100.00,11.00
2.00,4.46,20.45,7.22,14.00,2.90,7.40,8.20,10.00,0.00,0.40,3.50,19.00,10.89,16.43,17.48,0.00,3.40,18.86,39.40,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,14.29,12.86,33.58,3.46,27.30,19.42,17.96,140.77,17.96,34.08,0.00,20.00,20.00,20.00,0.00,20.20,12.82,19.00,7.00,10.80,8.44,20.00,2.40,0.81,0.77,9.50,0.00,0.00,0.06,1.00,28.00,54.70,1.80,0.94,100.14,83.40,18.90,0.00,2.00,69.88,217.56,128.00,11.00
3.00,8.48,20.24,10.21,14.00,2.90,7.40,8.20,10.00,0.00,0.40,3.50,19.00,16.49,18.11,17.48,0.00,3.40,18.53,39.90,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.26,13.40,35.30,3.46,27.30,19.42,17.96,144.48,17.96,36.67,0.00,20.00,20.00,20.00,0.00,19.30,12.82,19.00,7.00,10.80,8.44,20.00,2.40,1.13,1.20,9.50,0.00,0.00,0.07,1.00,29.60,55.33,2.30,1.28,106.36,82.90,18.70,0.00,2.00,77.66,238.87,180.00,11.00
4.00,11.01,20.36,12.23,14.00,2.90,7.40,8.20,10.00,0.00,0.40,3.50,19.00,18.80,18.77,17.48,0.00,3.40,18.11,43.10,4.20,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.59,14.27,37.87,3.46,27.20,19.42,17.96,144.48,17.96,38.06,0.00,20.00,20.00,20.00,0.00,20.70,12.82,19.00,7.00,10.80,8.44,20.00,2.40,1.47,1.72,9.50,0.00,0.00,0.11,1.00,35.40,55.57,2.90,1.66,109.94,84.00,22.30,0.10,0.00,79.81,238.87,190.00,11.00
5.00,12.79,20.74,13.99,14.00,2.90,7.40,8.20,10.00,0.00,0.40,3.50,19.00,18.99,19.11,17.48,0.00,3.40,17.31,46.90,2.60,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.79,15.41,42.52,3.46,26.90,19.42,17.96,144.48,17.96,38.67,0.00,20.00,20.00,20.00,0.00,22.70,12.82,19.00,7.00,10.80,8.44,20.00,1.20,1.72,2.07,9.50,0.00,0.00,0.52,1.00,42.50,0.00,3.80,0.00,111.43,86.00,27.20,0.20,0.00,80.00,238.87,199.00,11.00
6.00,14.44,20.89,15.41,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.32,19.11,17.48,0.00,3.40,16.38,51.90,2.60,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.91,16.64,47.87,3.46,26.80,19.42,17.96,144.48,17.96,38.88,0.00,20.00,20.00,20.00,0.00,28.10,12.82,19.00,7.00,10.00,8.44,20.00,1.20,1.93,2.35,9.50,0.00,0.00,0.70,1.00,48.20,0.00,4.60,0.00,111.34,87.50,34.70,0.20,0.00,80.00,248.11,207.00,11.00
7.00,15.89,20.55,16.63,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.13,18.98,17.48,0.00,3.40,15.08,57.60,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.90,18.15,52.94,3.46,26.60,19.42,17.96,144.48,17.96,39.01,0.00,20.00,20.00,20.00,0.00,34.50,12.82,19.00,7.00,10.80,8.44,20.00,1.20,2.65,3.67,9.50,0.00,0.00,0.87,1.00,53.50,0.00,5.40,0.00,111.45,88.90,43.10,0.30,0.00,80.00,251.60,209.00,11.00
8.00,17.01,19.77,17.64,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.95,18.93,17.48,0.00,3.40,13.65,62.90,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.89,19.76,57.93,3.46,26.40,19.42,17.96,144.47,17.96,39.19,0.00,20.00,20.00,20.00,0.00,42.80,12.82,19.00,7.00,10.80,8.44,20.00,1.20,3.54,5.34,9.50,0.00,0.00,0.97,1.00,57.00,0.00,6.20,0.00,111.56,92.70,51.20,0.30,0.00,80.00,252.29,210.00,11.00
9.00,17.85,18.82,18.48,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,19.53,18.91,17.48,0.00,3.40,13.51,68.10,4.30,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.92,20.36,60.64,3.46,26.20,19.42,17.96,144.44,17.96,39.38,0.00,20.00,20.00,20.00,0.00,51.80,12.82,19.00,7.00,10.80,8.44,20.00,1.20,4.11,5.90,9.50,0.00,0.00,1.06,1.00,59.90,0.00,7.00,0.00,111.58,95.80,59.20,0.30,0.00,80.00,252.40,209.00,11.00
10.00,18.15,18.29,18.90,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,19.60,18.98,17.48,0.00,3.40,13.80,71.20,4.90,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.93,20.61,62.61,3.46,25.90,19.42,17.96,144.31,17.96,39.64,0.00,20.00,20.00,20.00,0.00,65.70,12.82,19.00,7.00,10.80,8.44,20.00,1.20,4.57,6.10,9.50,0.00,0.00,1.08,1.00,63.70,0.00,7.70,0.00,111.13,97.60,68.50,0.40,0.00,80.00,252.40,208.00,11.00
11.00,18.18,18.35,18.96,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.31,18.88,17.48,0.00,3.40,15.73,73.80,6.80,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.93,20.38,64.01,3.46,25.70,19.42,17.96,137.66,17.96,39.72,0.00,20.00,20.00,20.00,0.00,81.40,12.82,19.00,7.00,10.80,8.44,20.00,1.20,4.44,4.93,9.50,0.00,0.00,1.07,1.00,67.80,0.00,8.30,0.00,110.02,98.90,78.30,0.40,0.00,80.00,252.40,208.00,11.00
12.00,18.18,18.28,18.85,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,17.57,18.88,17.48,0.00,3.40,18.20,75.10,6.80,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.93,20.00,65.24,3.46,25.50,19.42,17.96,142.74,17.96,39.62,0.00,20.00,20.00,20.00,0.00,93.10,12.82,19.00,7.00,10.80,8.44,20.00,1.20,4.11,3.30,9.50,0.00,0.00,1.09,1.00,70.10,0.00,8.80,0.00,109.56,100.80,92.90,0.40,0.00,80.00,252.40,208.00,11.00
13.00,17.88,18.05,18.38,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,17.58,18.87,17.48,0.00,3.40,20.48,76.10,6.80,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.90,19.88,66.15,3.46,25.40,19.42,17.96,144.19,17.96,39.33,0.00,20.00,20.00,20.00,0.00,103.50,12.82,19.00,7.00,10.80,8.44,20.00,1.20,3.86,3.49,9.50,0.00,0.00,1.08,1.00,71.80,0.00,9.30,0.00,110.24,102.70,109.10,0.40,0.00,80.00,252.40,206.00,11.00
14.00,16.70,17.88,17.36,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.09,18.83,17.48,0.00,3.40,22.70,76.00,7.20,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.88,19.84,66.96,3.46,25.40,19.42,17.96,144.48,17.96,39.13,0.00,20.00,20.00,20.00,0.00,109.80,12.82,19.00,7.00,10.80,8.44,20.00,1.20,3.64,4.29,9.50,0.00,0.00,1.08,1.00,71.70,0.00,9.70,0.00,110.99,103.70,117.10,0.30,0.00,80.00,252.37,204.00,11.00
15.00,15.04,16.85,16.04,14.00,2.90,7.40,8.20,10.00,1.80,0.40,3.50,19.00,18.78,18.83,17.48,0.00,3.40,23.32,75.70,7.10,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,15.89,19.88,67.20,3.46,25.40,19.42,17.96,144.48,17.96,38.84,0.00,20.00,20.00,20.00,0.00,114.70,12.82,19.00,7.00,10.80,8.44,20.00,1.20,3.69,3.86,9.50,0.00,0.00,1.08,1.00,70.90,0.00,9.90,0.00,111.17,104.00,122.30,0.20,0.00,80.00,251.66,199.00,11.00
