"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,70.41,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,16.49,5.46,3.81,144.33,0.00,20.62,20.62,0.00,20.62,0.00,75.61,69.29,0.00,74.91,53.40,38.40,42.67,50.05,30.67,30.56,30.55,45.75,45.78,20.62,0.00,203.20,17.04,20.25
2.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,16.49,5.46,3.81,144.33,0.00,0.00,20.62,0.00,0.00,0.00,72.84,66.49,0.00,67.01,45.00,36.65,34.81,50.05,30.67,30.56,30.55,45.75,45.78,20.62,0.00,203.20,17.04,20.25
3.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,16.49,5.46,3.81,144.33,0.00,0.00,20.62,0.00,0.00,0.00,72.84,66.49,0.00,69.51,47.66,39.91,36.35,50.05,30.67,30.56,30.55,45.75,45.78,20.62,0.00,203.20,17.04,20.25
4.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,16.49,5.46,3.81,144.33,0.00,0.00,20.62,0.00,0.00,0.00,72.84,66.49,0.00,71.72,50.13,39.91,36.35,50.05,30.67,30.56,30.55,45.75,45.78,20.62,0.00,203.20,17.04,20.25
5.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,54.63,5.46,12.64,183.78,0.00,22.82,22.81,0.00,0.00,0.00,90.02,84.20,0.00,74.91,53.40,42.89,38.17,50.05,30.67,30.56,30.55,45.75,45.78,50.20,50.20,203.20,17.04,20.25
6.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,56.78,5.46,13.13,190.26,0.00,21.97,38.10,56.37,21.97,0.00,90.06,84.24,0.00,74.91,53.40,38.37,35.36,50.05,30.67,30.56,30.55,45.75,45.78,55.80,55.79,203.20,17.04,20.25
7.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,68.92,5.46,15.94,201.73,0.00,22.09,58.85,59.57,22.09,0.00,105.80,100.70,0.00,74.91,53.40,43.05,43.01,50.05,30.67,30.56,30.55,45.75,45.78,55.80,55.79,203.20,17.04,20.25
8.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,0.00,6.39,9.98,71.99,5.46,16.65,205.74,0.00,22.14,62.99,61.98,22.14,0.00,108.19,103.19,0.00,74.91,53.40,44.86,44.82,50.05,30.67,30.56,30.55,45.75,45.78,66.71,66.69,203.20,17.04,20.25
9.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,72.86,5.46,16.85,203.31,0.00,22.24,63.59,22.24,63.82,0.00,103.45,98.25,0.00,74.91,53.40,45.48,45.44,50.05,30.67,30.56,30.55,45.75,45.78,69.80,69.78,203.20,17.04,20.25
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,71.16,5.46,16.46,203.61,0.00,22.20,62.85,64.67,22.20,0.00,82.92,76.80,0.00,74.91,53.40,45.03,44.99,50.05,30.67,30.56,30.55,45.75,45.78,68.04,68.03,203.20,17.04,20.25
