"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,14.28,13.34,15.14,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.04,17.70,4.00,0.00,7.00,16.65,26.35,0.00,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.36,19.49,52.54,2.50,27.20,5.00,10.68,132.37,16.50,33.35,0.60,2.90,3.40,3.40,1.20,19.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,11.04,13.73,9.50,0.00,0.00,0.99,0.00,25.00,28.80,3.19,2.84,99.68,24.00,27.50,0.20,0.96,72.53,250.00,1.00,9.50
2.00,14.78,11.34,16.30,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.43,17.60,4.00,0.00,7.00,17.13,32.67,0.00,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.35,20.27,56.32,2.50,27.10,5.00,10.68,132.21,16.50,33.40,0.60,2.90,3.40,3.40,1.20,17.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,11.82,14.22,9.50,0.00,0.00,1.11,0.00,21.20,32.40,4.24,3.45,99.74,26.40,30.70,0.30,0.96,72.80,250.00,1.00,9.50
3.00,15.25,8.91,17.26,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.71,17.48,4.00,0.00,7.00,17.97,40.21,1.43,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.32,21.09,60.55,2.50,27.00,5.00,10.68,132.20,16.50,33.42,0.60,2.90,3.40,3.40,1.20,17.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,12.38,14.53,9.50,0.00,0.00,1.21,0.00,27.50,36.00,5.44,4.13,99.74,29.20,35.30,0.30,0.92,73.10,247.54,5.00,9.50
4.00,15.62,10.18,17.91,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.82,17.37,4.00,0.00,7.00,19.02,44.81,3.08,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.31,21.76,64.25,2.50,26.90,5.00,10.68,133.16,16.50,33.53,0.60,2.90,3.40,3.40,1.20,19.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,12.86,14.79,9.50,0.00,0.00,1.24,0.00,31.60,39.20,6.64,5.05,99.47,32.10,40.10,0.30,0.92,73.88,247.04,5.00,9.50
5.00,15.74,10.05,18.24,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.70,17.27,4.00,0.00,7.00,20.14,48.43,3.08,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.38,22.28,67.43,2.50,26.70,5.00,10.68,135.17,16.50,33.72,0.60,2.90,3.40,3.40,1.20,23.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,13.41,15.19,9.50,0.00,0.00,1.22,0.00,34.90,42.10,7.85,6.04,99.11,35.00,45.00,0.40,0.92,74.87,248.94,5.00,9.50
6.00,15.81,9.95,18.31,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.49,17.24,4.00,0.00,7.00,20.58,51.57,3.07,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.46,22.60,69.75,2.50,26.70,5.00,10.68,136.50,16.50,33.64,0.60,2.90,3.40,3.40,1.20,29.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,13.99,15.64,9.50,0.00,0.00,1.25,0.00,36.80,43.80,8.38,6.51,99.14,37.00,55.60,0.40,0.96,75.24,250.00,5.00,9.50
7.00,15.60,9.09,18.06,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.46,17.29,4.00,0.00,7.00,20.80,54.56,0.49,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.55,22.73,71.21,2.50,26.70,5.00,10.68,137.45,16.50,33.60,0.60,2.90,3.40,3.40,1.20,39.00,7.50,6.50,19.42,2.00,10.60,6.33,5.40,1.20,14.32,15.94,9.50,0.00,0.00,1.23,0.00,38.30,45.00,8.68,6.81,99.36,38.70,68.00,0.40,0.92,75.41,250.00,5.00,9.50
8.00,15.08,9.12,17.41,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.49,17.38,4.00,0.00,7.00,21.54,57.64,0.00,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.61,22.74,72.05,2.50,26.50,5.00,10.68,138.28,16.50,33.63,0.60,2.90,3.40,3.40,1.20,52.00,7.50,6.50,19.42,2.00,10.60,6.33,5.30,1.20,14.56,16.18,9.50,0.00,0.00,1.23,0.00,39.90,45.80,8.94,7.18,99.53,40.20,78.20,0.40,0.88,75.49,242.09,5.00,9.50
9.00,14.38,9.33,16.28,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.55,17.47,4.00,0.00,7.00,22.45,60.74,0.00,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.61,22.64,72.26,2.50,26.40,5.00,10.68,139.06,16.50,33.77,0.60,2.90,3.40,3.40,1.20,65.00,7.50,6.50,19.42,2.00,10.60,6.33,5.30,1.20,14.74,16.34,9.50,0.00,0.00,1.23,0.00,41.50,46.40,9.19,7.58,99.62,41.70,87.60,0.30,0.88,75.46,246.37,5.00,9.50
10.00,13.61,9.29,14.72,14.00,2.90,7.60,2.60,4.20,1.83,0.40,3.50,17.00,17.55,17.56,4.00,0.00,7.00,22.96,61.68,0.00,4.70,5.00,1.60,17.86,10.00,3.50,5.00,2.80,13.60,22.59,72.56,2.50,26.20,5.00,10.68,139.35,16.50,33.84,0.60,2.90,3.40,3.40,1.20,79.00,7.50,6.50,19.42,2.00,10.60,6.33,5.30,1.20,14.90,16.46,9.50,0.00,0.00,1.04,0.00,43.00,48.20,9.54,8.02,99.60,43.10,98.20,0.20,0.88,74.96,250.00,5.00,9.50
