"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,64.78,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,41.90,12.00,136.90,5.13,2.82,164.07,112.47,132.84,44.10,19.44,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,34.92,6.19,8.08,228.68,228.42,20.60,0.00,20.60,0.00,184.35,197.33,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27
2.00,64.78,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,41.90,12.00,140.26,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,4.63,6.19,0.00,228.68,220.60,39.03,58.93,20.60,39.03,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,77.75,110.32,203.40,19.44,20.27
3.00,64.78,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,52.33,6.19,12.12,228.68,220.60,0.00,20.60,59.00,20.60,184.35,197.33,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,72.18,110.32,203.40,19.44,20.27
4.00,64.78,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,67.35,6.19,15.59,228.68,220.60,39.51,39.21,61.08,20.60,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,77.38,110.32,203.40,19.44,20.27
5.00,64.78,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,71.56,6.19,16.57,228.68,220.60,38.69,58.11,38.69,20.60,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,77.38,110.32,203.40,19.44,20.27
6.00,64.78,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,5.88,6.19,0.00,228.68,220.60,59.14,20.60,59.47,20.60,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,77.38,110.32,203.40,19.44,20.27
7.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,38.27,18.10,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,21.52,6.19,4.98,228.68,220.60,20.60,55.44,20.60,0.00,184.35,188.53,184.41,5.67,74.99,67.06,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,203.40,19.44,20.27
8.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,38.27,18.10,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,69.60,6.19,16.12,228.68,220.60,44.42,43.91,20.60,66.05,184.35,188.53,184.41,5.67,74.99,67.06,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,203.40,19.44,20.27
9.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,38.27,28.43,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,0.00,6.19,0.00,228.68,220.60,0.00,0.00,26.78,20.60,184.35,188.53,184.41,5.67,74.99,67.06,50.53,66.54,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,203.40,19.44,20.27
10.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,41.90,12.00,142.44,5.13,2.82,164.07,112.47,132.84,38.27,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,4.63,6.19,0.00,228.68,220.60,20.60,0.00,43.80,20.60,184.35,197.33,184.41,5.67,74.99,75.00,50.53,66.54,81.64,30.70,30.59,30.58,85.00,87.36,76.77,110.32,203.40,19.44,20.27
