"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
1.00,0.00,12.84,0.00,14.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,20.00,34.00,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,3.02,8.70,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,19.00,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.18,0.68,18.00,0.00,1.23,11.50,34.02,0.07,0.24,0.00,22.16,5.00,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
2.00,0.00,13.07,0.00,14.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,22.49,35.77,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.73,12.18,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,16.30,8.30,13.66,3.50,10.80,6.64,4.40,2.40,1.40,1.04,18.00,0.00,1.23,15.53,30.00,0.56,0.52,0.00,25.06,9.53,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
3.00,0.00,13.59,0.00,0.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,22.39,34.82,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.60,11.88,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,14.51,8.30,13.66,3.50,10.80,6.64,4.40,2.40,1.01,0.58,18.00,0.00,1.23,14.07,27.62,0.46,0.44,0.00,23.94,7.88,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
4.00,0.00,14.64,0.00,0.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,22.73,35.83,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.47,11.25,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,12.14,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.87,0.39,18.00,0.00,1.23,13.86,26.57,0.43,0.43,0.00,22.27,5.83,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
5.00,0.00,14.63,0.00,0.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.00,36.71,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.32,10.63,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,10.32,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.78,0.25,18.00,0.00,1.23,13.61,25.65,0.39,0.41,0.00,21.03,4.02,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
6.00,0.00,15.15,0.00,0.00,4.35,8.40,6.00,6.30,1.70,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.09,37.20,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.16,9.98,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,10.14,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.82,0.29,18.00,0.00,1.23,13.24,25.08,0.36,0.34,0.00,21.05,2.88,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
7.00,0.00,15.80,0.00,0.00,4.35,8.40,6.00,6.30,1.60,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.15,37.79,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.05,9.54,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,9.67,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.88,0.36,18.00,0.00,1.23,12.99,24.81,0.34,0.28,0.00,20.80,1.96,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
8.00,0.00,15.72,0.00,0.00,4.35,8.40,6.00,6.30,1.60,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.16,38.70,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.13,9.70,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,8.30,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.98,0.48,18.00,0.00,1.23,13.11,25.43,0.37,0.25,0.00,19.77,1.67,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
9.00,0.00,15.52,0.00,0.00,4.35,8.40,6.00,6.30,1.60,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.22,38.98,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.24,9.85,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,7.09,8.30,13.66,3.50,10.80,6.64,4.40,2.40,1.01,0.54,18.00,0.00,1.23,12.93,25.62,0.38,0.23,0.00,19.31,1.50,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
10.00,0.00,16.07,0.00,0.00,4.35,8.40,6.00,6.30,1.60,0.00,2.50,0.00,0.00,0.00,14.63,0.00,5.60,23.41,37.40,0.00,4.00,7.00,4.00,17.37,13.27,10.73,14.63,1.40,0.00,4.43,9.97,2.35,28.12,15.61,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,6.32,8.30,13.66,3.50,10.80,6.64,4.40,2.40,0.81,0.42,18.00,0.00,1.23,11.87,24.53,0.35,0.22,0.00,20.59,1.68,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.39,0.00
