"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,41.56,5.46,9.61,0.00,228.19,65.97,66.88,67.66,0.00,0.00,72.84,66.49,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,54.87,54.86,203.20,19.40,0.00
2.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,0.00,228.19,66.82,20.62,67.20,0.00,0.00,72.84,66.49,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,64.17,64.15,203.20,19.40,0.00
3.00,16.29,29.59,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,0.00,228.19,67.50,0.00,67.88,0.00,0.00,81.84,75.62,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,72.18,72.16,203.20,19.40,0.00
4.00,16.29,29.59,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,0.00,228.19,67.50,0.00,67.88,0.00,0.00,91.10,85.06,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.54,44.56,93.10,93.06,203.20,19.40,0.00
5.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,0.00,228.19,61.29,0.00,61.63,61.12,0.00,85.86,79.73,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.58,44.60,94.14,94.10,203.20,19.40,0.00
6.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,87.08,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,0.00,228.19,61.16,0.00,67.88,65.21,0.00,96.14,90.16,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.72,44.74,99.83,99.79,203.20,19.40,0.00
7.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,132.71,44.06,35.37,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,188.72,188.58,67.09,0.00,67.46,34.15,0.00,72.84,66.49,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,69.01,68.99,203.20,19.40,0.00
8.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,132.71,44.06,35.32,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,187.68,187.54,32.32,0.00,67.50,66.95,0.00,72.84,66.49,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,65.20,65.18,203.20,19.40,0.00
9.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,132.71,44.06,30.68,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,183.70,183.59,67.50,0.00,0.00,67.33,0.00,72.84,66.49,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.31,44.34,49.31,49.30,203.20,19.40,0.00
10.00,16.29,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,4.01,28.52,0.00,60.00,6.14,3.37,163.91,112.36,132.71,44.06,29.81,212.60,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,181.21,181.12,67.50,0.00,67.88,0.00,0.00,72.84,0.00,0.00,74.91,76.30,66.56,0.00,54.07,30.67,30.56,30.55,44.20,44.22,34.36,34.36,203.20,19.40,0.00
