"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,23.56,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,5.00,26.00,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,16.34,43.38,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,42.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,0.00,0.18,9.00,0.00,1.00,46.60,41.88,3.56,2.95,0.00,57.11,17.00,0.00,2.00,0.00,0.00
2.00,0.00,23.75,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.79,28.28,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,16.28,41.98,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,36.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.88,5.48,9.00,0.00,1.00,37.79,59.78,1.62,0.97,0.00,67.92,15.00,0.00,2.00,0.00,0.00
3.00,0.00,23.85,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.70,28.86,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,16.25,40.78,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,32.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.93,5.78,9.00,0.00,1.00,34.02,56.11,1.24,0.77,0.00,65.27,13.00,0.00,2.00,0.00,0.00
4.00,0.00,23.72,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.41,33.45,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,16.24,39.78,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,31.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.96,5.96,9.00,0.00,1.00,30.30,52.32,1.01,0.65,0.00,62.82,12.00,0.00,2.00,0.00,0.00
5.00,0.00,23.54,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.21,36.26,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,16.11,38.64,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,29.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.95,5.99,9.00,0.00,1.00,26.96,48.92,0.82,0.56,0.00,60.37,11.00,0.00,2.00,0.00,0.00
6.00,0.00,23.76,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,11.27,33.70,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,15.85,37.36,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,28.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.83,5.58,9.00,0.00,1.00,24.76,46.64,0.73,0.53,0.00,57.93,11.00,0.00,2.00,0.00,0.00
7.00,0.00,23.66,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,12.17,31.30,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,15.65,36.23,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,26.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.68,5.17,9.00,0.00,1.00,22.64,44.65,0.67,0.50,0.00,55.71,11.00,0.00,2.00,0.00,0.00
8.00,0.00,23.64,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,12.59,29.36,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,15.52,35.25,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,24.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.45,4.76,9.00,0.00,1.00,20.72,43.50,0.70,0.48,0.00,54.11,10.00,0.00,2.00,0.00,0.00
9.00,0.00,23.71,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,13.12,27.51,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,15.36,34.35,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,22.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.37,4.70,9.00,0.00,1.00,19.02,41.93,0.69,0.45,0.00,52.79,9.00,0.00,2.00,0.00,0.00
10.00,0.00,23.79,0.00,14.00,4.20,8.60,9.70,17.95,1.80,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,13.97,25.94,0.00,10.00,14.54,4.90,19.32,19.32,19.51,19.51,0.00,0.00,15.17,33.54,3.20,0.00,19.51,18.54,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,20.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.77,5.68,9.00,0.00,1.00,17.97,39.10,0.59,0.40,0.00,52.31,9.00,0.00,2.00,0.00,0.00
