"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,0.00,16.40,0.00,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,25.10,64.80,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,13.30,47.00,2.45,27.00,17.56,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,18.00,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.21,0.89,18.00,0.00,0.00,0.00,1.00,53.31,74.98,2.19,2.84,0.00,59.80,12.60,0.00,2.00,0.00,0.00,11.00,0.00,23.00
2.00,0.00,16.28,0.00,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,25.90,64.70,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,13.70,46.40,2.45,27.00,17.56,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,21.00,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.26,1.29,18.00,0.00,0.00,0.00,1.00,51.51,73.62,1.86,2.51,0.00,62.40,15.50,0.00,2.00,0.00,0.00,11.00,0.00,23.00
3.00,0.07,16.56,0.26,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,0.39,0.44,17.56,0.00,0.00,26.20,64.00,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.32,14.20,45.70,2.45,27.00,17.56,18.05,14.30,0.00,2.66,0.60,19.51,19.51,19.51,2.40,27.70,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.32,1.70,18.00,0.00,0.00,0.00,1.00,49.59,71.78,1.56,2.20,13.75,66.30,24.40,0.00,2.00,3.18,0.74,11.00,0.91,23.00
4.00,0.43,16.96,1.32,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,1.27,2.40,17.56,0.00,0.00,26.30,63.10,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,2.89,14.80,45.20,2.45,27.00,17.56,18.05,56.94,0.00,10.66,0.60,19.51,19.51,19.51,2.40,33.40,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.42,2.14,18.00,0.00,0.00,0.00,1.00,47.32,68.47,1.32,1.93,47.33,70.40,31.80,0.00,2.00,21.96,22.71,11.00,16.64,23.00
5.00,1.65,17.29,2.55,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,2.91,5.81,17.56,0.00,0.00,26.20,61.90,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,6.88,15.30,45.00,2.45,27.00,17.56,18.05,98.45,0.00,21.22,0.60,19.51,19.51,19.51,2.40,35.50,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.56,2.59,18.00,0.00,0.00,0.03,1.00,45.46,65.17,1.10,1.72,75.32,73.90,34.30,0.00,2.00,48.25,75.23,11.00,60.47,23.00
6.00,3.83,17.18,4.59,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,7.74,11.03,17.56,0.00,0.00,26.10,60.90,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,10.62,16.10,45.90,2.45,27.00,17.56,18.05,132.79,0.00,30.52,0.60,19.51,19.51,19.51,2.40,39.10,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.81,3.11,18.00,0.00,0.00,0.05,1.00,44.80,61.89,0.99,1.68,94.93,77.60,38.00,0.00,2.00,68.79,134.55,11.00,125.19,23.00
7.00,6.61,17.38,7.52,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,14.09,15.32,17.56,0.00,0.00,25.80,60.80,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,13.40,17.70,49.90,2.45,27.00,17.56,18.05,144.02,0.00,35.21,0.60,19.51,19.51,19.51,2.40,47.30,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.96,3.48,18.00,0.00,0.00,0.06,1.00,45.31,58.97,0.93,1.71,104.48,82.50,45.70,0.00,2.00,78.28,195.90,11.00,179.81,23.00
8.00,9.13,17.40,9.76,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,16.79,17.48,17.56,0.00,0.00,25.60,60.80,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,14.95,19.00,53.60,2.45,27.00,17.56,18.05,144.47,0.00,36.97,0.60,19.51,19.51,19.51,2.40,55.40,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.82,3.45,18.00,0.00,0.00,0.09,1.00,49.35,57.16,1.06,1.94,108.73,86.80,54.50,0.10,2.00,79.90,224.76,11.00,196.56,23.00
9.00,11.06,17.45,11.58,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.48,18.38,17.56,0.00,0.00,25.40,61.00,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.62,19.50,56.60,2.45,27.00,17.56,18.05,144.48,0.00,38.02,0.60,19.51,19.51,19.51,2.40,63.50,11.22,13.66,3.50,10.80,8.10,7.50,2.40,1.68,3.41,18.00,0.00,0.00,0.44,1.00,54.12,56.80,1.33,2.30,110.94,89.60,67.00,0.20,2.00,74.08,238.72,11.00,202.85,23.00
10.00,12.61,17.34,13.41,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.73,18.76,17.56,0.00,0.00,25.10,62.30,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.95,21.70,61.90,2.45,27.00,17.56,18.05,144.48,0.00,38.54,0.60,19.51,19.51,19.51,2.40,70.80,11.22,13.66,3.50,10.80,8.10,7.40,2.40,1.56,3.34,18.00,0.00,0.00,0.59,1.00,61.09,60.82,2.06,3.03,112.06,94.00,78.00,0.20,2.00,75.35,245.92,11.00,204.00,23.00
11.00,14.20,17.10,14.93,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.36,18.77,17.56,0.00,0.00,24.60,66.90,7.50,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.97,22.70,67.20,2.45,27.00,17.56,18.05,144.48,0.00,38.83,0.60,19.51,19.51,19.51,2.40,75.90,11.22,13.66,3.50,10.80,8.10,7.40,2.40,1.42,3.25,18.00,0.00,0.00,0.74,1.00,67.46,64.98,2.80,3.88,112.42,96.90,85.10,0.30,2.00,77.13,250.11,11.00,204.00,23.00
12.00,15.72,17.24,16.30,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.33,18.68,17.56,0.00,0.00,24.00,70.70,8.10,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.93,23.40,71.50,2.45,27.00,17.56,18.05,144.48,0.00,39.12,0.60,19.51,19.51,19.51,2.40,80.30,11.22,13.66,3.50,10.80,8.10,7.40,2.40,1.23,3.08,18.00,0.00,0.00,0.83,1.00,72.06,69.62,3.54,5.08,112.60,99.20,91.00,0.30,2.00,77.56,251.84,11.00,204.00,23.00
13.00,16.84,14.09,17.44,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.59,18.65,17.56,0.00,0.00,23.40,72.30,8.10,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.94,23.40,72.70,2.45,27.00,17.56,18.05,144.46,0.00,39.33,0.60,19.51,19.51,19.51,2.40,83.00,11.22,13.66,3.50,10.80,8.10,7.40,2.40,1.22,2.95,18.00,0.00,0.00,0.90,1.00,76.11,74.01,4.22,6.25,112.64,99.80,93.50,0.30,2.00,77.58,252.37,11.00,204.00,23.00
14.00,17.59,12.31,18.23,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.60,18.60,17.56,0.00,0.00,22.80,73.70,8.10,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.96,23.50,74.10,2.45,27.00,17.56,18.05,144.40,0.00,39.40,0.60,19.51,19.51,19.51,2.40,85.60,11.22,13.66,3.50,10.80,8.10,7.40,2.40,1.78,2.94,18.00,0.00,0.00,0.92,1.00,78.50,77.67,4.71,7.27,112.65,100.20,95.60,0.40,2.00,77.27,252.40,11.00,204.00,23.00
15.00,17.80,12.19,18.44,14.00,1.45,7.50,5.80,5.90,1.50,0.40,3.30,20.00,18.32,18.52,17.56,0.00,0.00,22.50,74.50,8.10,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,15.97,23.60,75.90,2.45,27.00,17.56,18.05,139.49,0.00,39.29,0.60,19.51,19.51,19.51,2.40,89.70,11.22,13.66,3.50,10.80,8.10,7.40,2.40,2.42,3.04,18.00,0.00,0.00,0.91,1.00,80.26,80.63,5.14,8.19,112.51,100.60,98.50,0.40,2.00,76.14,252.35,11.00,204.00,23.00
