"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,7.55,18.21,9.71,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,12.21,7.36,0.00,3.30,24.86,60.47,3.70,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,6.97,18.02,45.49,0.00,18.95,3.30,10.87,63.96,13.53,11.48,0.60,2.80,3.00,3.20,1.15,81.38,5.00,4.00,1.70,9.80,0.00,3.50,2.30,17.25,12.83,9.50,1.22,0.37,11.05,22.83,0.55,0.00,47.93,90.48,74.37,0.10,1.23,89.36,159.67,6.00,90.66,0.00,0.40,15.57,45.49,12.78
2.00,7.11,18.38,16.68,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,10.06,7.72,0.00,3.30,25.50,59.78,3.71,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,7.22,18.01,45.28,0.00,18.95,3.30,10.91,103.87,13.53,16.32,0.60,2.80,3.00,3.20,1.15,79.51,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.93,12.86,9.50,1.22,0.37,16.00,28.08,1.52,0.38,71.08,90.84,78.43,0.10,1.22,29.82,202.01,6.00,200.37,0.00,0.41,23.32,87.12,12.85
3.00,6.87,18.43,14.64,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,9.63,8.25,0.00,3.30,26.32,59.20,0.64,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,7.30,18.22,51.17,0.00,18.95,3.30,10.92,97.85,13.53,15.31,0.60,2.80,3.00,3.20,1.15,79.65,5.00,4.00,1.70,9.80,0.00,3.50,2.30,17.09,12.86,9.50,1.22,0.37,22.20,32.41,1.91,0.80,67.78,87.20,81.48,0.00,1.22,37.79,193.66,6.00,174.41,0.00,0.42,22.76,76.20,12.90
4.00,5.21,17.98,11.97,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,9.43,8.57,0.00,3.30,27.12,58.59,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,7.11,18.41,57.05,0.00,18.95,3.30,10.95,90.83,13.53,14.12,0.60,2.80,3.00,3.20,1.15,82.78,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.65,12.75,9.50,1.03,0.37,28.39,36.74,2.09,1.24,63.75,83.54,86.54,0.00,1.24,44.34,181.26,6.00,147.31,0.00,0.42,21.95,65.09,13.00
5.00,4.68,17.75,9.81,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,8.41,8.77,0.00,3.30,27.77,58.64,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,6.57,19.04,60.06,0.00,18.95,3.30,10.99,82.81,13.53,12.53,0.60,2.80,3.00,3.20,1.15,86.91,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.67,12.77,9.50,0.99,0.37,35.70,44.55,2.89,1.65,59.01,84.51,91.60,0.00,1.27,49.35,162.38,6.00,119.84,0.00,0.42,20.93,55.31,13.39
6.00,2.28,17.67,6.68,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,7.70,9.03,3.10,3.30,28.42,58.70,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,5.88,19.67,63.05,0.00,18.95,3.30,10.99,73.79,13.53,10.42,0.60,2.80,3.00,3.20,1.15,93.05,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.67,12.78,9.50,0.93,0.37,42.98,52.36,3.73,2.09,53.55,85.49,97.66,0.00,1.34,52.89,134.73,6.00,87.45,0.00,0.41,19.58,43.07,13.13
7.00,1.56,17.57,3.91,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,6.52,9.05,3.10,3.30,28.82,58.42,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,4.95,20.57,63.39,0.00,18.95,3.30,10.98,58.77,13.53,7.56,0.60,2.80,3.00,3.20,1.15,99.18,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.32,12.79,9.50,0.78,0.37,50.73,61.62,3.61,2.16,43.76,90.54,103.71,0.00,1.43,55.02,100.63,6.00,50.54,0.00,0.38,16.63,29.05,13.00
8.00,0.00,17.51,1.61,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,5.48,8.06,3.10,3.30,29.21,58.12,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,3.26,21.49,63.72,0.00,18.95,3.30,10.95,45.40,13.53,4.41,0.60,2.80,3.00,3.20,1.15,104.31,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.40,12.80,9.50,0.57,0.37,58.47,70.89,3.60,2.67,34.07,95.60,109.77,0.00,1.52,43.33,62.84,6.00,32.30,0.00,0.33,14.21,22.64,12.61
9.00,0.00,17.57,0.12,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,3.02,4.75,3.10,3.30,29.01,54.71,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,1.06,20.98,59.47,0.00,18.95,3.30,10.94,28.04,13.53,0.00,0.60,2.80,3.00,3.20,1.15,108.45,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.21,12.93,9.50,0.49,0.37,59.77,75.26,2.66,2.78,21.49,92.91,112.83,0.00,1.60,29.99,17.29,6.00,3.60,0.00,0.25,7.55,6.00,6.70
10.00,0.00,17.33,0.00,13.53,1.40,3.70,1.70,0.00,0.00,0.00,3.50,15.46,1.85,0.00,3.10,3.30,28.79,51.29,0.00,3.20,7.10,2.50,9.70,0.00,2.50,4.00,2.80,0.00,20.48,55.20,0.00,18.95,3.30,10.93,4.67,13.53,0.00,0.60,2.80,3.00,3.20,1.15,108.58,5.00,4.00,1.70,9.80,0.00,3.50,2.30,16.11,13.08,9.50,0.34,0.37,61.05,79.64,3.88,3.33,4.60,90.22,112.88,0.00,1.67,17.46,0.00,6.00,0.00,0.00,0.16,0.73,0.00,1.57
