"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
1.00,17.51,15.76,17.55,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,17.85,18.74,19.00,0.00,6.80,14.26,64.95,8.00,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.97,30.52,80.36,3.30,27.00,20.00,19.00,144.48,18.00,38.12,0.60,20.00,20.00,20.00,1.20,107.40,12.45,20.00,5.00,9.00,8.64,13.00,2.40,9.64,11.93,18.00,0.00,0.00,1.08,1.00,103.91,94.31,7.03,5.36,110.31,119.69,109.30,0.40,2.00,79.51,252.34,11.00,203.10
2.00,16.96,15.49,16.06,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,18.42,18.69,19.00,0.00,6.80,14.88,64.76,8.00,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.96,28.53,80.20,3.30,27.00,20.00,19.00,144.48,18.00,38.47,0.60,20.00,20.00,20.00,1.20,108.13,12.45,20.00,5.00,9.00,8.64,13.00,2.40,8.75,10.84,18.00,0.00,0.00,1.08,1.00,105.49,92.10,6.95,5.43,110.75,116.54,114.60,0.30,2.00,79.21,252.04,11.00,202.43
3.00,15.71,15.29,14.67,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,18.71,18.75,19.00,0.00,6.80,15.80,64.49,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.96,28.05,78.99,3.30,27.00,20.00,19.00,144.48,18.00,38.28,0.60,20.00,20.00,20.00,1.20,113.80,12.45,20.00,5.00,9.00,8.64,13.00,2.40,7.67,9.66,18.00,0.00,0.00,1.08,1.00,105.04,92.96,6.88,5.34,110.69,115.23,120.06,0.20,2.00,78.85,250.57,11.00,200.50
4.00,14.21,15.42,13.05,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,18.22,18.84,19.00,0.00,6.80,16.65,64.41,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.94,27.64,77.94,3.30,27.00,20.00,19.00,144.48,18.00,37.86,0.60,20.00,20.00,20.00,1.20,118.49,12.45,20.00,5.00,9.00,8.64,13.00,2.40,6.68,8.53,18.00,0.00,0.00,0.91,1.00,104.67,94.02,6.88,5.33,110.39,113.69,124.51,0.20,2.00,78.34,244.21,11.00,197.06
5.00,12.41,15.06,11.24,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,17.26,18.74,19.00,0.00,6.80,17.27,64.90,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.82,27.49,77.33,3.30,27.00,20.00,19.00,144.47,18.00,36.39,0.60,20.00,20.00,20.00,1.20,120.13,12.45,20.00,5.00,9.00,8.64,13.00,2.40,6.00,7.53,18.00,0.00,0.00,0.88,1.00,104.51,94.96,6.94,5.35,109.35,111.28,125.73,0.10,2.00,76.41,221.48,11.00,190.62
6.00,10.32,14.32,9.20,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,16.22,18.25,19.00,0.00,6.80,17.86,65.58,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,15.27,27.31,76.69,3.30,27.00,20.00,19.00,144.21,18.00,34.32,0.60,20.00,20.00,20.00,1.20,121.64,12.45,20.00,5.00,9.00,8.64,13.00,2.40,5.46,6.75,18.00,0.00,0.00,0.83,1.00,103.89,95.77,7.08,5.47,104.91,109.06,126.60,0.10,2.00,70.99,173.63,11.00,169.65
7.00,7.79,13.75,6.64,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,14.58,17.24,19.00,0.00,6.80,18.38,66.79,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,14.16,27.00,75.97,3.30,27.00,20.00,19.00,136.35,18.00,30.58,0.60,20.00,20.00,20.00,1.20,122.83,12.45,20.00,5.00,9.00,8.64,13.00,2.40,5.31,6.61,18.00,0.00,0.00,0.70,1.00,101.94,96.32,7.55,5.98,97.32,107.30,127.20,0.10,2.00,61.26,83.69,11.00,124.75
8.00,5.28,14.08,4.33,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,8.33,15.15,19.00,0.00,6.80,18.62,67.92,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,11.98,26.81,75.29,3.30,27.00,20.00,19.00,100.99,18.00,23.69,0.60,20.00,20.00,20.00,1.20,123.84,12.45,20.00,5.00,9.00,8.64,13.00,2.40,5.05,6.32,18.00,0.00,0.00,0.50,1.00,99.80,96.72,8.06,6.66,82.39,105.75,127.35,0.10,2.00,39.97,33.52,11.00,59.57
9.00,2.98,14.62,2.83,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,0.14,10.99,19.00,0.00,6.80,18.04,68.82,8.10,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,7.38,26.92,74.57,3.30,27.00,20.00,19.00,59.81,18.00,14.74,0.60,20.00,20.00,20.00,1.20,124.31,12.45,20.00,5.00,9.00,8.64,13.00,2.40,4.45,5.57,18.00,0.00,0.00,0.43,1.00,96.82,96.89,7.50,6.36,53.28,104.47,125.63,0.10,2.00,17.10,20.63,11.00,9.66
10.00,1.33,15.23,1.32,16.00,0.00,7.60,6.40,7.28,2.64,0.40,3.50,20.00,0.00,5.80,19.00,0.00,6.80,17.47,68.94,8.00,4.00,3.40,5.00,19.00,17.73,12.00,16.00,1.44,2.02,27.08,73.72,3.30,27.00,20.00,19.00,20.47,18.00,5.70,0.60,20.00,20.00,20.00,1.20,124.04,12.45,20.00,5.00,9.00,8.64,13.00,2.40,3.82,4.85,18.00,0.00,0.00,0.30,1.00,93.46,96.86,7.01,5.98,20.39,103.05,123.27,0.00,2.00,4.27,0.15,11.00,0.04
