"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
11.00,10.91,12.47,10.99,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,9.38,12.10,14.63,0.00,0.00,26.78,70.30,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,10.41,21.02,61.20,2.10,26.10,5.00,13.17,113.76,17.95,29.19,0.60,19.51,19.51,19.51,1.20,101.60,9.80,10.24,3.50,10.80,7.92,5.70,1.20,5.27,6.21,18.90,0.00,0.00,0.75,1.00,67.80,69.60,5.22,8.48,85.22,66.20,95.40,0.10,1.80,63.70,219.30,11.00,185.00,23.00,0.74
12.00,9.68,12.33,9.57,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,8.45,12.19,14.63,0.00,0.00,27.13,75.30,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,10.52,21.60,61.80,2.10,26.10,5.00,13.17,109.16,17.95,28.88,0.60,19.51,19.51,19.51,1.20,113.30,9.80,10.24,3.50,10.80,7.92,5.70,1.20,4.78,4.65,18.90,0.00,0.00,0.70,1.00,68.30,70.40,5.17,8.47,83.27,72.80,106.20,0.10,1.80,68.94,212.49,11.00,176.00,23.00,0.62
13.00,7.77,12.77,7.92,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,7.50,12.64,14.63,0.00,0.00,27.46,75.20,4.60,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,10.79,22.31,62.50,2.10,26.10,5.00,13.17,105.55,17.95,28.00,0.60,19.51,19.51,19.51,1.20,114.70,9.80,10.24,3.50,10.80,7.92,5.70,1.20,4.51,4.15,18.90,0.00,0.00,0.59,1.00,68.70,71.00,5.09,8.35,78.35,75.10,116.50,0.10,1.88,69.84,204.17,11.00,143.00,23.00,0.49
14.00,4.99,13.90,5.53,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,6.33,11.18,14.63,0.00,0.00,27.77,74.40,6.80,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,9.57,22.56,62.70,2.10,25.90,5.00,13.17,89.16,17.95,25.73,0.60,19.51,19.51,19.51,1.20,114.90,9.80,10.24,3.50,10.80,7.92,5.70,1.20,4.32,4.00,18.90,0.00,0.00,0.43,1.00,69.80,72.20,5.01,8.21,65.74,82.00,116.70,0.10,1.88,62.31,190.69,11.00,109.00,23.00,0.37
15.00,2.58,12.55,3.59,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,2.13,8.96,14.63,0.00,0.00,27.53,73.40,7.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,7.14,22.65,62.70,2.10,26.00,5.00,13.17,62.63,17.95,19.01,0.60,19.51,19.51,19.51,1.20,114.80,9.80,10.24,3.50,10.80,7.92,5.70,1.20,4.33,4.13,18.90,0.00,0.00,0.37,1.00,71.00,73.60,4.88,8.01,47.39,88.80,116.90,0.10,1.88,45.26,158.79,11.00,55.00,23.00,0.25
16.00,1.02,11.80,2.08,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.09,5.63,14.63,0.00,0.00,27.11,71.60,7.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,3.22,22.76,62.50,2.10,26.20,5.00,13.17,29.77,17.95,10.35,0.60,19.51,19.51,19.51,1.20,114.00,9.80,10.24,3.50,10.80,7.92,5.70,1.20,4.41,4.35,18.90,0.00,0.00,0.25,1.00,71.60,74.30,4.74,7.80,22.80,88.70,115.50,0.00,1.92,21.21,114.26,11.00,2.00,23.00,0.12
17.00,0.24,11.70,0.65,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,2.45,14.63,0.00,0.00,26.20,69.60,7.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.67,22.87,62.10,2.10,26.20,5.00,13.17,8.89,17.95,3.67,0.60,19.51,19.51,19.51,1.20,112.90,9.80,10.24,3.50,10.80,7.92,5.70,1.20,3.92,3.60,18.90,0.00,0.00,0.09,1.00,71.90,74.70,4.40,7.14,6.10,87.90,113.70,0.00,1.96,6.83,64.46,11.00,1.00,23.00,0.06
18.00,0.05,11.80,0.09,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.74,14.63,0.00,0.00,25.12,66.00,7.60,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.06,22.83,61.10,2.10,26.40,5.00,13.17,1.77,17.95,0.69,0.60,19.51,19.51,19.51,1.20,109.10,9.80,10.24,3.50,10.80,7.92,5.60,1.20,3.23,2.53,18.90,0.00,0.00,0.04,1.00,72.10,75.00,3.99,6.33,0.94,86.30,105.50,0.00,1.96,1.66,16.14,11.00,0.00,23.00,0.00
19.00,0.00,11.91,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,23.75,61.90,7.50,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,22.73,59.70,2.10,26.60,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,104.40,9.80,10.24,3.50,10.80,7.92,5.60,1.20,2.90,2.17,18.90,0.00,0.00,0.00,1.00,72.30,75.30,3.66,5.57,0.00,84.50,95.30,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
20.00,0.00,10.91,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,22.29,58.80,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,22.33,56.90,2.10,26.80,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,89.40,9.80,10.24,3.50,10.80,7.92,5.60,1.20,2.68,2.05,18.90,0.00,0.00,0.00,1.00,72.00,74.80,3.37,4.84,0.00,80.40,78.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
