"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
21.00,15.61,19.15,15.39,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.07,15.98,0.00,6.40,22.81,28.61,3.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.37,17.44,47.28,2.00,28.12,3.50,11.17,126.00,14.49,30.98,0.60,2.90,3.30,3.40,2.30,44.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,13.54,13.26,9.50,1.19,0.40,34.42,58.07,8.10,4.34,90.72,67.19,59.00,0.40,1.33,61.40,223.87,10.63,178.37,12.14,0.36,39.52,89.03,12.57
22.00,16.21,19.15,16.02,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.42,15.96,0.00,6.40,22.74,30.35,3.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.40,18.99,50.94,2.00,28.12,3.50,11.21,126.00,14.49,30.72,0.60,2.90,3.30,3.40,2.30,46.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,13.64,13.45,9.50,1.22,0.40,43.03,65.36,8.96,4.84,90.72,71.23,61.00,0.40,1.32,64.32,224.92,10.63,177.12,12.14,0.37,39.20,88.26,12.56
23.00,16.42,19.18,16.30,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.62,15.98,0.00,6.40,21.95,35.59,3.50,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.43,19.92,53.99,2.00,28.12,3.50,11.24,126.00,14.49,30.56,0.60,2.90,3.30,3.40,2.30,49.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.12,13.71,9.50,1.21,0.40,50.15,71.06,9.97,5.32,90.72,75.34,65.00,0.30,1.32,66.18,225.63,10.63,175.87,12.14,0.39,38.82,87.41,12.57
24.00,16.05,19.05,15.58,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.56,16.03,0.00,6.40,21.93,39.20,3.50,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.53,20.75,55.20,2.00,28.12,3.50,11.28,126.00,14.49,30.44,0.60,2.90,3.30,3.40,2.30,53.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.55,13.94,9.50,1.23,0.40,53.87,77.16,10.58,6.06,90.72,78.44,71.00,0.20,1.30,66.96,226.18,10.63,173.91,12.14,0.40,38.43,85.61,12.68
25.00,15.93,18.66,15.40,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.37,16.21,0.00,6.40,23.24,48.06,3.70,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.63,21.28,59.25,2.00,28.12,3.50,11.28,126.00,14.49,30.44,0.60,2.90,3.30,3.40,2.30,57.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.77,14.21,9.50,1.22,0.40,57.16,81.08,11.68,6.64,90.72,78.91,77.00,0.20,1.29,66.53,226.89,10.63,171.90,12.14,0.40,38.45,83.51,12.78
26.00,14.63,18.09,14.56,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.35,16.44,3.10,6.40,23.57,49.16,3.70,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.75,21.42,59.82,2.00,28.12,3.50,11.31,127.00,14.49,30.57,0.60,2.90,3.30,3.40,2.30,62.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.89,14.43,9.50,1.22,0.40,59.09,84.32,12.18,7.11,91.44,81.46,84.00,0.10,1.27,65.04,228.93,10.63,170.17,12.14,0.41,38.65,81.50,12.85
27.00,14.16,17.46,13.93,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.90,16.63,3.10,6.40,24.10,52.31,3.90,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.90,22.21,62.59,2.00,28.12,3.50,11.31,128.00,14.49,30.73,0.60,2.90,3.30,3.40,2.30,68.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.35,14.59,9.50,1.22,0.40,60.02,86.12,12.34,7.66,92.16,82.93,92.00,0.10,1.27,62.41,230.60,10.63,166.60,12.14,0.41,38.85,77.57,12.90
28.00,12.02,17.18,12.43,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.04,16.73,3.10,6.40,24.43,53.26,4.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,13.01,22.20,63.95,2.00,28.12,3.50,11.30,128.00,14.49,30.87,0.60,2.90,3.30,3.40,2.30,76.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.22,14.49,9.50,1.03,0.40,61.47,87.66,13.03,8.26,92.16,82.00,100.00,0.10,1.27,58.53,231.23,10.63,162.65,12.14,0.42,39.04,73.46,13.00
29.00,11.29,17.17,11.35,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.40,16.73,3.10,6.40,24.83,55.38,3.20,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,13.01,22.82,63.98,2.00,28.12,3.50,11.42,129.00,14.49,30.90,0.60,2.90,3.30,3.40,2.30,84.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.10,14.75,9.50,1.00,0.39,66.93,90.18,13.01,8.51,92.88,80.56,108.00,0.10,1.30,53.30,232.15,10.63,159.54,12.14,0.42,39.10,70.68,13.39
30.00,8.43,17.29,9.23,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.11,16.69,3.10,6.40,24.79,55.67,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.92,23.45,65.16,2.00,28.12,3.50,11.39,129.00,14.49,30.64,0.60,2.90,3.30,3.40,2.30,92.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.45,15.08,9.50,0.93,0.39,70.67,90.09,13.91,8.84,92.88,81.27,115.00,0.10,1.36,46.70,231.60,10.63,153.03,12.14,0.41,38.89,65.43,13.13
