"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,0.00,18.12,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,0.00,3.20,6.40,7.67,15.97,0.00,3.00,15.46,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.63,34.56,2.00,28.12,3.50,11.41,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,39.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,66.50,39.00,0.00,1.58,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,18.37,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.13,14.37,0.00,3.00,15.46,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.78,34.83,2.00,28.12,3.50,11.41,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,36.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,63.56,39.00,0.00,1.56,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,19.47,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.36,12.73,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.76,33.05,2.00,28.12,3.50,11.40,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,33.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,67.26,72.24,8.31,3.80,0.00,61.13,38.00,0.00,1.53,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,19.97,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.35,11.43,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.76,33.50,2.00,28.12,3.50,11.39,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,30.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,67.26,72.24,8.31,3.80,0.00,60.46,37.00,0.00,1.50,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,19.51,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.24,11.82,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.37,31.82,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,27.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,57.27,35.00,0.00,1.49,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,19.47,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.36,12.70,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.27,30.67,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,25.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.00,11.10,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,58.61,32.00,0.00,1.48,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,19.90,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.40,13.03,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,13.27,30.96,2.00,28.12,3.50,11.38,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,23.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,5.27,8.00,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,58.03,30.00,0.00,1.46,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,19.80,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.71,13.86,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,12.99,30.51,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,21.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,5.27,8.00,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,56.77,29.00,0.00,1.45,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,19.48,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,8.33,13.40,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,12.75,30.48,2.00,28.12,3.50,11.36,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,21.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,5.27,8.00,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,56.36,28.00,0.10,1.42,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,19.42,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,14.49,0.00,0.00,3.10,3.20,6.40,7.68,12.89,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,12.67,29.96,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,21.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,5.27,8.00,9.50,0.00,0.41,63.81,70.94,7.88,3.80,0.00,56.55,28.00,0.20,1.41,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.08
