"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
21.00,14.54,23.44,11.13,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,13.78,16.38,18.24,0.00,9.60,21.88,53.69,4.75,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.13,4.08,13.24,0.00,26.40,19.51,19.32,113.36,18.05,27.92,0.60,20.00,20.00,20.00,1.20,18.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,15.34,16.85,18.90,0.00,0.00,1.13,1.00,27.47,42.06,1.51,1.15,85.36,42.15,46.00,0.40,2.00,70.47,228.47
22.00,14.26,23.59,9.48,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,13.91,16.45,18.24,0.00,9.60,21.72,58.27,5.18,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.25,4.01,13.40,0.00,26.20,19.51,19.32,114.53,18.05,28.13,0.60,20.00,20.00,20.00,1.20,25.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,15.34,16.63,18.90,0.00,0.00,1.12,1.00,26.61,40.86,1.84,1.15,85.70,42.20,52.00,0.40,2.00,70.29,236.48
23.00,13.79,23.61,7.72,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,14.29,16.53,18.24,0.00,9.60,21.81,61.68,5.01,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.37,3.94,13.68,0.00,26.10,19.51,19.32,116.76,18.05,28.56,0.60,20.00,20.00,20.00,1.20,33.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,15.28,16.47,18.90,0.00,0.00,1.12,1.00,25.61,39.38,1.84,1.64,86.50,42.40,59.00,0.30,2.00,70.03,237.39
24.00,13.27,23.80,6.34,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,14.47,16.63,18.24,0.00,9.60,22.63,61.62,5.17,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.49,3.85,14.08,0.00,26.10,19.51,19.32,118.50,18.05,29.01,0.60,20.00,20.00,20.00,1.20,43.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,15.05,16.46,18.90,0.00,0.00,0.95,1.00,25.13,39.29,1.84,1.64,87.02,42.78,66.00,0.20,2.00,69.26,231.14
25.00,12.73,23.80,5.19,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,14.01,16.71,18.24,0.00,9.60,23.24,61.15,5.17,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.54,3.80,14.35,0.00,26.00,19.51,19.32,118.89,18.05,29.21,0.60,20.00,20.00,20.00,1.20,54.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,14.83,16.44,18.90,0.00,0.00,0.92,1.00,24.83,39.66,1.84,1.64,87.03,43.22,74.00,0.20,2.00,67.98,229.57
26.00,12.07,23.60,4.05,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,12.99,16.68,18.24,0.00,9.60,23.22,59.42,5.14,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,12.38,3.79,14.48,0.00,25.90,19.51,19.32,116.68,18.05,28.66,0.60,20.00,20.00,20.00,1.20,63.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,14.67,16.37,18.90,0.00,0.00,0.86,1.00,25.79,41.42,1.84,1.64,84.92,44.32,79.00,0.10,2.00,65.02,231.36
27.00,11.41,23.68,2.69,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,11.12,16.35,18.24,0.00,9.60,23.05,58.09,5.05,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,11.62,3.81,14.98,0.00,26.00,19.51,19.32,104.04,18.05,25.73,0.60,20.00,20.00,20.00,1.20,71.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,14.40,16.22,18.90,0.00,0.00,0.72,1.00,27.15,43.65,1.84,1.64,78.54,45.66,84.00,0.10,2.00,55.93,209.43
28.00,10.69,23.69,1.36,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,5.05,15.33,18.24,0.00,9.60,22.43,57.96,5.06,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,9.28,3.86,15.83,0.00,26.10,19.51,19.32,68.51,18.05,16.92,0.60,20.00,20.00,20.00,1.20,79.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,13.83,15.82,18.90,0.00,0.00,0.52,1.00,29.78,46.32,1.84,1.64,59.36,47.29,89.00,0.10,2.00,36.48,162.87
29.00,9.52,23.79,0.29,13.50,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.42,11.77,18.24,0.00,9.60,21.76,56.70,5.15,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,4.45,3.99,16.94,0.00,26.10,19.51,19.32,31.58,18.05,7.46,0.60,20.00,20.00,20.00,1.20,86.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,13.17,15.35,18.90,0.00,0.00,0.45,1.00,32.83,49.15,1.84,1.64,29.59,49.01,93.00,0.10,2.00,18.26,104.18
30.00,7.11,23.50,0.00,13.50,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,4.56,18.24,0.00,9.60,20.95,52.08,5.14,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.44,4.21,18.30,0.00,26.20,19.51,19.32,5.56,18.05,1.32,0.60,20.00,20.00,20.00,1.20,88.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,12.20,14.61,18.90,0.00,0.00,0.31,1.00,33.80,50.09,2.08,1.64,5.54,50.13,93.00,0.10,2.00,5.68,37.52
