"GENERADOR","CMg 1","CMg 2"
"KALLPATG1GAS",34.4108
"KALLPATG2GAS",34.9228
"KALLPATG3GAS",34.5641
"KALLPACC1GAS",23.9268
"KALLPACC2GAS",25.2641
"KALLPACC3GAS",24.5605
"KALLPACC12GAS",25.6522
"KALLPACC23GAS",24.2606
"KALLPACC13GAS",24.9593
"KALLPACC123GAS",24.8132,24.8130
"CHILCA1TG1GAS",35.3796
"CHILCA1TG2GAS",34.0212
"CHILCA1TG3GAS",33.3190
"CHILCA1CC1GAS",35.9487
"CHILCA1CC2GAS",26.9166
"CHILCA1CC3GAS",25.6293
"CHILCA1CC12GAS",24.0911
"CHILCA1CC23GAS",23.9716
"CHILCA1CC13GAS",23.5127
"CHILCA1CC123GAS",23.2930,23.2930
"AGETG1GAS",26.1285
"AGETG2GAS",28.3917
"MAL2TGN4GAS",23.1967
"MAL3TG5D2",236.3539
"VENT3D2",68.7520,290.1979
"VENT4D2",177.3798
"VENT3GAS",31.8135
"VENT4GAS",32.9167
"VENTCC3GAS",25.2221
"VENTCC4GAS",24.9554
"VENTCC34GAS",24.7672
"VENTCC3GASFD",25.1982,34.4510
"VENTCC4GASFD",22.5814,32.2263
"VENTCC34GASFD",36.4744
"RFILO2TG1D2",176.2597
"RFILO2TG2D2",175.1567
"RFILO2TG3D2",170.9739
"INDEPGAS",29.6482
"OLLEROSTG1GAS",37.2696
"LFLORESTG1GAS",31.6933
"SNTV1R500",167.6646
"SNTV2R500",168.2756
"SNTV3R500",187.8005
"SHCUMMINS",155.9866
"CHILSLZ12R500D2",338.3384
"MOLL123D2",261.7131
"FENIXGT12GAS",32.7469
"FENIXCCGT12GAS",24.7296
"FENIXGT11GAS",32.3919
"FENIXCCGT11GAS",24.4420
"FENIXCCGT11GT12GAS",24.7298
"RECKA TG1  D2",212.4903
"PTOBRVO TG3  D2",240.4231
"PTOBRVO TG1  D2",241.4050
"PTOBRVO TG4  D2",246.3389
"PTOBRVO TG2  D2",246.4980
"FENIXCCGT11GT12D2",190.0087
"CTNEPITG43D2",243.7545
"CTNEPITG42D2",235.2247
"CTNEPITG41D2",223.6271
"RF ETEN TG1  D2",164.6092
"RF ETEN TG2  D2",125.2832
"RF PTO MALDONADO  D2",340.7143
"RF PUCALLPA  D2",390.0874
"MALACAS1 TG 6  GAS",18.1811
"CHILCA2 CCOMB TG41  GAS",25.6390
"CHILCA2 TG41  GAS",32.2123
"CHILINA TG  D2",363.5032
"STA ROSA UTI 6  GAS",41.5431
"STA ROSA UTI 5  D2",265.8363
"STA ROSA WEST TG7  D2 CON H2O",247.7585
"STA ROSA UTI 6  D2",286.1244
"STA ROSA UTI 5  GAS",44.0929
"STA ROSA WEST TG7  GAS CON H2O",44.2750
"STAROSA TG8 GAS",35.3589
"MALACAS3 TG 5  GAS",23.5417
"OLLEROS CCOMB TG1  GAS",27.0321
"FENIX GT12  D2",250.4424
"FENIX GT11  D2",241.2394
"FENIX CCOMB GT12  D2",193.9201
"FENIX CCOMB GT11  D2",188.3776
"LFLORES CCOMB TG1  GAS",23.3282,23.3282
"OQUENDO TG1  GAS",33.6142
"OQUENDO TV1"
"OQUENDO TG1  D2",227.1760
"OQUENDO CCOMB TG1  GAS",32.9809
"TUMBES MAK 1  D2",205.6614
"TUMBES MAK 2  D2",195.9968
"REFTALARA TV1TV2FXRFG",17.2646
