"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,0.79002,0.00000
2.00000,0.86021,0.00000
3.00000,0.86641,0.00000
4.00000,0.86607,0.00000
5.00000,1.85552,0.98725
6.00000,1.85738,0.98935
7.00000,0.86525,0.00000
8.00000,0.86552,0.00000
9.00000,0.86605,0.00000
10.00000,0.86656,0.00000
11.00000,0.86557,0.00000
12.00000,0.86356,0.00000
13.00000,0.89076,0.03079
14.00000,0.84418,0.00000
15.00000,0.87512,0.03013
16.00000,0.84246,0.00000
17.00000,0.36612,0.00000
18.00000,0.36133,0.00000
19.00000,0.37133,0.00000
20.00000,0.36372,0.00000
21.00000,0.34375,0.00000
22.00000,0.34260,0.00000
23.00000,0.33782,0.00000
24.00000,0.34265,0.00000
25.00000,0.37862,0.00000
26.00000,0.40654,0.00000
27.00000,0.45262,0.00000
28.00000,0.36704,0.00000
29.00000,0.40679,0.00000
30.00000,0.39319,0.00000
31.00000,0.35058,0.00000
32.00000,0.30177,0.00000
33.00000,0.32624,0.00000
34.00000,0.35407,0.00000
35.00000,0.35458,0.00000
36.00000,0.39942,0.00000
37.00000,0.31549,0.00000
38.00000,0.23030,0.00000
39.00000,0.22191,0.00000
40.00000,0.22253,0.00000
41.00000,0.22236,0.00000
42.00000,0.22681,0.00000
43.00000,0.22991,0.00000
44.00000,0.22296,0.00000
45.00000,0.27626,0.00000
46.00000,0.36624,0.00000
47.00000,0.39924,0.00000
48.00000,0.85980,0.00000
