"RESTRICCION DE GENERACION","Res1","Res1","Res6","Res6","Res6","Res7","Res14","Res15","Res18","Res22","Res23"
"ETAPA\UNIDAD DE GENERACION","OQUENDO TG1  GAS","OQUENDO CCOMB TG1  GAS","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","REFTALARA TV1TV2FXRFG","KALLPACC23GAS","KALLPACC123GAS","CHIMAY G2","FENIXGT12GAS","FENIXCCGT11GT12GAS"
1.000,9.188,9.188,0.000,0.000,0.000,-8.217,0.000,0.000,0.000,0.000,0.000
2.000,9.312,9.312,0.000,0.000,0.000,-8.010,0.000,0.000,0.000,0.000,0.000
3.000,9.356,9.356,0.000,0.000,0.000,-7.925,0.000,0.000,0.000,0.000,0.000
4.000,9.374,9.374,0.000,0.000,0.000,-7.926,0.000,0.000,0.000,0.000,0.000
5.000,9.377,9.377,0.000,0.000,0.000,-7.903,0.000,0.000,0.000,0.000,0.000
6.000,9.386,9.386,0.000,0.000,0.000,-7.876,0.000,0.000,0.000,0.000,0.000
7.000,9.397,9.397,0.000,0.000,0.000,-7.847,0.000,0.000,0.000,0.000,0.000
8.000,9.398,9.398,0.000,0.000,0.000,-7.864,0.000,0.000,0.000,0.000,0.000
9.000,9.391,9.391,0.000,0.000,0.000,-7.882,0.000,0.000,0.000,0.000,0.000
10.000,9.376,9.376,0.000,0.000,0.000,-7.924,0.000,0.000,0.000,0.000,0.000
11.000,9.354,9.354,0.000,0.000,0.000,-8.023,0.000,0.000,0.000,0.000,0.000
12.000,9.367,9.367,0.000,0.000,0.000,-8.103,0.000,0.000,0.000,0.000,0.000
13.000,9.336,9.336,0.000,0.000,0.000,-8.166,0.000,0.000,0.000,0.000,0.000
14.000,9.279,9.279,0.000,0.000,0.000,-8.238,0.000,0.000,0.000,0.000,0.000
15.000,9.288,9.288,0.000,0.000,0.000,-8.242,0.000,0.000,0.000,0.000,0.000
16.000,9.232,9.232,0.000,0.000,0.000,-8.308,0.000,0.000,0.000,0.000,0.000
17.000,8.283,8.283,0.000,0.000,0.000,-9.466,0.000,0.000,0.000,8.305,0.000
18.000,8.270,8.270,0.000,0.000,0.000,-9.551,0.000,0.000,0.000,8.305,0.000
19.000,8.268,8.268,0.000,0.000,0.000,-9.594,0.000,0.000,0.000,0.000,0.315
20.000,8.266,8.266,0.000,0.000,0.000,-9.667,0.000,0.000,0.000,0.000,0.309
21.000,8.261,8.261,0.000,0.000,0.000,-9.757,0.000,0.000,0.000,0.000,0.000
22.000,8.242,8.242,0.000,0.000,0.000,-9.834,0.000,0.000,0.000,0.000,0.000
23.000,8.258,8.258,0.000,0.000,0.000,-9.834,0.000,0.000,0.000,0.000,0.000
24.000,8.256,8.256,0.000,0.000,0.000,-9.826,0.000,0.000,0.000,0.000,0.000
25.000,8.261,8.261,0.000,0.000,0.000,-9.707,0.000,0.000,0.000,0.000,0.000
26.000,8.286,8.286,0.000,0.000,0.000,-9.582,0.000,0.000,0.000,0.000,0.000
27.000,8.381,8.381,0.000,0.000,0.000,-9.485,0.000,0.000,0.000,0.000,0.000
28.000,8.261,8.261,0.000,0.000,0.000,-9.587,0.000,0.000,0.000,0.000,0.000
29.000,8.257,8.257,0.000,0.000,0.000,-9.617,0.000,0.000,0.000,0.000,0.000
30.000,8.255,8.255,0.000,0.000,0.000,-9.659,0.000,0.000,0.000,0.000,0.000
31.000,8.256,8.256,0.000,0.000,0.000,-9.754,0.000,0.000,0.000,0.000,0.000
32.000,8.183,8.183,0.000,0.000,0.000,-9.766,0.000,0.000,0.000,0.000,0.000
33.000,8.244,8.244,0.000,0.000,0.000,-9.716,0.000,0.000,0.000,0.000,0.000
34.000,8.257,8.257,0.000,0.000,0.000,-9.560,0.000,0.000,0.000,0.000,0.000
35.000,8.260,8.260,0.000,0.000,0.000,-9.504,0.000,0.000,0.000,0.000,0.000
36.000,8.270,8.270,0.000,0.000,0.000,-9.344,0.000,0.000,0.000,0.000,0.000
37.000,8.230,8.230,0.000,0.000,0.000,-9.662,0.000,0.000,0.000,0.000,0.000
38.000,8.019,8.019,0.000,0.000,0.000,-10.208,0.000,0.000,0.000,0.000,0.000
39.000,8.017,8.017,0.000,0.000,0.000,-10.283,0.000,0.000,0.000,0.000,0.000
40.000,8.021,8.021,0.000,0.000,0.000,-10.259,0.000,0.000,0.000,0.000,0.000
41.000,8.027,8.027,0.000,0.000,0.000,-10.212,0.000,0.000,0.000,0.000,0.000
42.000,8.038,8.038,0.000,0.000,0.000,-10.238,0.000,0.000,0.000,0.000,0.000
43.000,8.034,8.034,0.000,0.000,0.000,-10.318,0.000,0.000,0.000,0.000,0.000
44.000,8.040,8.040,0.000,0.000,0.000,-10.148,0.000,0.000,0.000,0.000,0.000
45.000,8.140,8.140,0.000,0.000,0.000,-9.836,0.000,0.000,0.000,0.000,0.000
46.000,8.268,8.268,0.000,0.000,0.000,-9.457,0.000,0.000,0.000,0.000,0.000
47.000,8.318,8.318,0.000,0.000,0.000,-9.321,0.000,0.000,0.000,0.000,0.000
48.000,9.293,9.293,0.000,0.000,0.000,-8.138,0.000,0.000,0.000,0.000,0.000
