"RESTRICCION DE GENERACION","Res9","Res9","Res10","Res12","Res21"
"ETAPA\UNIDAD DE GENERACION","MAL2TGN4GAS","MALACAS1 TG 6  GAS","RESTITUCION","CHARCANI V","MOYOPAMPA"
1.000,0.000,0.000,-22.194,0.000,0.000
2.000,0.000,0.000,-22.088,0.000,0.000
3.000,0.000,0.000,-22.080,0.000,0.000
4.000,0.000,0.000,-22.074,0.000,0.000
5.000,0.000,0.000,-22.080,0.000,0.000
6.000,0.000,0.000,-22.083,0.000,0.000
7.000,0.000,0.000,-22.075,0.000,0.000
8.000,0.000,0.000,-22.076,0.000,0.000
9.000,0.000,0.000,-22.083,0.000,0.000
10.000,0.000,0.000,-22.090,0.000,0.000
11.000,0.000,0.000,-22.094,0.000,0.000
12.000,0.000,0.000,-22.061,0.000,0.000
13.000,0.000,0.000,-22.057,0.000,0.000
14.000,0.000,0.000,-22.073,0.000,0.000
15.000,0.000,0.000,-22.033,0.000,0.000
16.000,0.000,0.000,-22.039,0.000,0.000
17.000,0.000,0.000,-22.889,0.000,0.000
18.000,0.000,0.000,-22.900,0.000,0.000
19.000,0.000,0.000,-22.891,0.000,0.000
20.000,0.000,0.000,-22.902,0.000,0.000
21.000,0.000,0.000,-22.900,0.000,-23.832
22.000,0.000,0.000,-22.927,0.000,-23.788
23.000,0.000,0.000,-22.887,0.000,-23.719
24.000,0.000,0.000,-22.871,0.000,-23.679
25.000,0.000,0.000,-22.790,0.000,0.000
26.000,0.000,0.000,-22.735,0.000,0.000
27.000,0.000,0.000,-22.646,0.000,0.000
28.000,0.000,0.000,-22.839,0.000,0.000
29.000,0.000,0.000,-22.785,0.000,0.000
30.000,0.000,0.000,-22.820,0.000,0.000
31.000,0.000,0.000,-22.845,0.000,0.000
32.000,0.000,0.000,-22.960,0.000,0.000
33.000,0.000,0.000,-22.926,0.000,0.000
34.000,0.000,0.000,-22.884,0.000,0.000
35.000,0.000,0.000,-22.888,0.000,0.000
36.000,0.000,0.000,-22.807,0.000,0.000
37.000,0.000,0.000,-22.991,0.000,0.000
38.000,0.000,0.000,-23.166,0.000,0.000
39.000,0.000,0.000,-23.173,0.000,0.000
40.000,0.000,0.000,-23.181,0.000,0.000
41.000,0.000,0.000,-23.186,0.000,0.000
42.000,0.000,0.000,-23.173,0.000,0.000
43.000,0.000,0.000,-23.182,0.000,0.000
44.000,0.000,0.000,-23.221,0.000,0.000
45.000,0.000,0.000,-23.112,0.000,0.000
46.000,0.000,0.000,-22.951,0.000,0.000
47.000,0.000,0.000,-22.909,0.000,0.000
48.000,0.000,0.000,-22.024,0.000,0.000
