"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,10.09,64.06,9.44,5.18,163.91,56.52,111.18,38.07,35.37,184.21,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,169.65,173.81,169.71,0.00,74.91,0.00,40.39,48.17,46.31,30.67,30.56,30.55,42.50,42.52,110.26,110.22,150.63,0.00,0.00
2.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,85.49,9.44,5.18,163.91,56.52,111.18,38.07,18.00,178.33,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.45,220.39,23.30,67.10,67.88,23.30,168.92,173.09,168.99,0.00,74.91,0.00,36.36,40.77,46.31,30.67,30.56,30.55,41.83,41.85,83.05,83.01,167.22,0.00,0.00
3.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,102.88,9.44,5.18,163.91,56.52,111.18,38.07,18.00,215.06,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,179.78,183.96,179.84,0.00,74.91,0.00,39.90,47.23,46.31,30.67,30.56,30.55,41.83,41.85,102.87,102.82,175.15,0.00,0.00
4.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,116.28,9.44,5.18,163.91,56.52,114.71,38.07,18.02,229.90,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,44.28,55.05,46.31,30.67,30.56,30.55,41.91,41.92,95.78,95.74,180.27,0.00,0.00
5.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,117.93,9.44,5.18,163.91,56.52,115.35,38.07,20.36,229.96,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,44.45,55.34,46.31,30.67,30.56,30.55,42.34,42.35,94.11,94.07,179.70,0.00,0.00
6.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,122.55,9.44,5.18,163.91,56.52,115.84,38.07,23.42,229.93,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,45.30,56.65,46.31,30.67,30.56,30.55,42.47,42.48,100.22,100.17,180.77,0.00,0.00
7.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,120.26,9.44,5.18,163.91,56.52,115.01,38.07,25.30,229.92,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,44.72,55.77,46.31,30.67,30.56,30.55,42.20,42.21,93.31,93.27,178.78,0.00,0.00
8.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,120.77,9.44,5.18,163.91,56.52,115.27,38.07,35.37,230.00,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,44.34,55.15,46.31,30.67,30.56,30.55,42.50,42.51,95.85,95.81,178.22,0.00,0.00
9.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,118.22,9.44,5.18,163.91,56.52,111.31,38.07,35.37,227.33,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,44.84,55.95,46.31,30.67,30.56,30.55,42.35,42.37,87.82,87.78,175.64,0.00,0.00
10.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,113.32,9.44,5.18,163.91,56.52,111.18,38.07,35.37,211.90,27.66,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,43.36,53.53,46.31,30.67,30.56,30.55,41.31,41.33,90.08,90.04,172.14,0.00,0.00
11.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,103.28,9.44,5.18,163.91,56.52,111.18,38.07,29.16,195.78,25.00,1.97,6.88,43.84,6.39,9.98,85.48,6.44,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,0.00,45.02,50.13,46.31,30.67,30.56,30.55,41.31,41.33,78.85,78.82,166.92,0.00,0.00
12.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,29.13,14.92,88.57,9.44,5.18,163.91,56.52,111.18,38.07,18.00,166.95,25.00,1.97,6.88,43.84,6.39,9.98,81.42,6.44,18.83,226.30,218.24,23.30,67.10,67.88,23.30,179.80,183.98,179.87,0.00,74.91,0.00,42.72,52.43,46.31,30.67,30.56,30.55,41.31,41.33,22.07,0.00,158.96,0.00,0.00
