"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,79.70,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,36.87,41.68,68.48,30.67,30.56,30.55,36.08,36.09,96.83,96.79,203.20,0.00,0.00
2.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,78.89,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,37.07,42.01,68.48,30.67,30.56,30.55,36.08,36.09,102.24,102.20,203.20,0.00,0.00
3.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,80.60,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,37.61,42.99,68.48,30.67,30.56,30.55,36.08,36.09,102.90,102.86,203.20,0.00,0.00
4.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,75.55,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,35.65,39.57,68.48,30.67,30.56,30.55,36.08,36.09,102.58,102.54,203.20,0.00,0.00
5.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,98.99,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,53.40,66.47,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,0.00,0.00
6.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,75.20,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,45.05,56.25,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,0.00,0.00
7.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,75.84,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,45.00,56.17,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,0.00,0.00
8.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,95.45,6.70,19.77,228.46,228.19,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,44.15,46.68,68.48,30.67,30.56,30.55,36.08,36.09,0.00,91.81,203.20,0.00,0.00
9.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,55.91,6.70,12.93,223.48,223.22,23.36,64.76,65.54,23.36,184.17,197.14,184.23,0.00,74.91,76.30,41.54,49.29,68.48,30.67,30.56,30.55,36.08,36.09,0.00,0.00,203.20,0.00,0.00
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,36.55,6.70,8.45,216.27,216.02,32.98,53.94,33.03,26.95,184.17,197.14,184.23,0.00,74.91,76.30,45.33,45.50,68.48,30.67,30.56,30.55,36.08,36.09,0.00,0.00,203.20,0.00,0.00
