"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,0.00,11.90,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,22.02,16.75,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,14.29,37.67,2.45,27.50,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,36.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,5.27,8.00,18.00,0.00,0.00,0.00,0.00,61.14,81.87,3.54,2.95,0.00,62.40,34.00,0.00,1.12,0.00,0.00,0.00,6.50
2.00,0.00,12.46,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,22.02,16.75,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,13.23,34.77,2.45,27.50,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,31.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.22,11.36,18.00,0.00,0.00,0.00,0.00,61.14,81.87,3.54,2.49,0.00,56.77,29.00,0.00,1.12,0.00,0.00,0.00,6.50
3.00,0.00,12.54,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,23.06,16.23,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,12.31,32.25,2.45,27.52,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,26.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.27,11.51,18.00,0.00,0.00,0.00,0.00,57.73,79.16,3.31,2.21,0.00,51.63,25.00,0.00,1.12,0.00,0.00,0.00,6.50
4.00,0.00,12.68,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,23.29,16.12,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,11.51,30.07,2.45,27.48,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,23.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.56,11.89,18.00,0.00,0.00,0.00,0.00,54.63,76.08,3.08,2.08,0.00,46.49,22.00,0.00,1.08,0.00,0.00,0.00,6.50
5.00,0.00,12.77,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,23.61,15.95,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,10.82,28.21,2.45,27.45,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,21.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.76,12.20,18.00,0.00,0.00,0.00,0.00,51.46,73.03,2.84,1.93,0.00,42.65,20.00,0.00,1.12,0.00,0.00,0.00,6.50
6.00,0.00,13.36,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,24.21,15.63,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,10.20,26.43,2.45,27.49,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,19.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.67,12.27,18.00,0.00,0.00,0.00,0.00,48.10,70.05,2.57,1.71,0.00,38.80,19.00,0.00,1.08,0.00,0.00,0.00,6.50
7.00,0.00,13.27,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,24.75,15.38,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,9.64,24.72,2.45,27.52,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,19.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.61,12.36,18.00,0.00,0.00,0.00,0.00,44.96,67.48,2.37,1.53,0.00,35.96,19.00,0.00,1.08,0.00,0.00,0.00,6.50
8.00,0.00,13.25,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,25.14,15.35,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,9.16,23.66,2.45,27.50,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,19.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.61,12.47,18.00,0.00,0.00,0.00,0.00,42.51,66.09,2.38,1.47,0.00,33.12,20.00,0.00,1.08,0.00,0.00,0.00,6.50
9.00,0.00,13.37,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,25.41,15.24,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,8.76,23.25,2.45,27.54,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,19.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.68,12.61,18.00,0.00,0.00,0.00,0.00,40.11,64.38,2.33,1.41,0.00,32.05,21.00,0.00,1.08,0.00,0.00,0.00,6.50
10.00,0.00,13.57,0.00,14.00,4.20,5.00,2.60,4.00,1.83,0.40,3.50,17.00,0.00,0.00,4.00,0.00,7.60,25.32,14.92,0.00,5.00,5.00,2.50,17.96,10.00,3.00,4.50,2.80,0.00,8.50,22.97,2.45,27.53,5.00,10.68,0.00,16.50,0.00,0.60,2.90,3.40,3.50,1.20,19.00,7.50,6.50,19.42,2.00,10.60,7.64,5.40,1.20,7.94,12.84,18.00,0.00,0.00,0.00,0.00,37.91,61.69,2.09,1.35,0.00,30.98,22.00,0.00,1.08,0.00,0.00,0.00,6.50
