"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
12.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,67.15,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,28.04,28.04,170.46,174.64,170.52,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
13.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,14.99,129.63,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,35.53,20.54,185.07,189.27,185.13,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.50,85.00,84.00,110.80,20.51,104.00
14.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,52.23,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,28.04,28.04,185.07,189.27,185.13,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.50,85.00,84.00,110.80,20.51,104.00
15.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,57.77,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,61.46,20.51,185.07,189.27,185.13,5.67,75.28,0.00,66.88,59.97,61.01,30.82,30.70,30.50,87.54,84.00,110.80,30.70,104.00
16.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,14.99,141.43,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,61.46,20.51,185.07,198.10,185.13,5.67,75.28,0.00,66.88,59.97,61.01,30.82,30.70,23.90,87.54,84.00,110.80,30.70,104.00
17.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,14.99,137.67,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,23.88,185.07,189.27,185.13,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
18.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,13.37,122.63,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,23.88,185.07,189.27,185.13,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
19.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,15.38,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,25.83,185.07,189.27,185.13,5.67,75.28,75.00,66.88,58.99,61.01,30.82,30.70,30.70,87.54,84.00,110.80,20.51,104.00
20.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,40.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,25.83,163.69,167.86,163.76,5.67,75.28,75.00,66.88,58.99,61.01,30.82,30.70,30.70,87.54,84.00,110.80,20.51,104.00
21.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,40.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,47.81,21.92,154.44,158.59,154.49,5.67,74.89,76.27,66.88,58.99,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
22.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,107.77,19.29,3.99,30.17,12.26,40.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,45.74,23.99,140.73,144.91,140.77,5.67,75.28,75.00,66.88,58.99,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
23.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,110.91,19.29,3.99,30.17,12.26,40.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,34.15,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,23.41,23.41,143.53,147.70,143.58,5.67,74.89,76.27,66.88,58.99,61.01,30.82,30.70,30.70,85.00,28.29,110.80,110.50,104.00
24.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,40.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,34.87,34.87,119.18,123.66,119.20,5.67,74.89,76.27,66.88,58.99,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
