"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,0.00,17.50,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,23.01,63.62,6.80,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.62,68.65,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,109.30,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.50,16.02,18.90,0.00,0.00,0.00,1.00,84.80,103.80,6.87,5.13,0.00,99.20,99.50,0.00,1.24,0.00,0.00,5.00,0.00,7.00
2.00,0.00,17.63,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,22.15,58.01,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.25,66.95,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,96.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.19,15.69,18.90,0.00,0.00,0.00,1.00,83.20,103.20,6.37,4.56,0.00,98.40,84.30,0.00,1.24,0.00,0.00,5.00,0.00,7.00
3.00,0.00,17.96,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,20.92,51.59,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,22.56,64.52,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,83.50,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,12.80,15.35,18.90,0.00,0.00,0.00,1.00,81.00,102.10,5.83,4.20,0.00,96.40,69.90,0.00,1.28,0.00,0.00,5.00,0.00,7.00
4.00,0.00,17.90,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,19.56,50.41,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,21.83,62.09,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,75.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,12.38,15.00,18.90,0.00,0.00,0.00,1.00,78.40,101.60,5.26,3.92,0.00,94.10,63.00,0.00,1.32,0.00,0.00,5.00,0.00,7.00
5.00,0.00,18.08,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,18.58,50.95,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,20.95,59.67,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,67.90,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,12.14,14.79,18.90,0.00,0.00,0.00,1.00,75.80,101.20,4.99,3.77,0.00,91.30,58.80,0.00,1.28,0.00,0.00,5.00,0.00,7.00
6.00,0.00,17.85,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,17.73,49.84,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,19.99,56.91,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,62.80,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,11.96,14.64,18.90,0.00,0.00,0.00,1.00,74.30,100.50,4.81,3.64,0.00,88.30,56.40,0.00,1.32,0.00,0.00,5.00,0.00,7.00
7.00,0.00,17.69,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,17.08,48.07,6.70,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,18.79,53.19,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,58.40,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,11.71,14.44,18.90,0.00,0.00,0.00,1.00,73.10,99.80,4.74,3.60,0.00,85.10,54.60,0.00,1.24,0.00,0.00,5.00,0.00,7.00
8.00,0.00,17.67,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,16.50,44.01,5.20,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,17.76,50.01,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,53.50,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,11.44,14.21,18.90,0.00,0.00,0.00,1.00,71.30,97.90,4.71,3.59,0.00,82.00,48.90,0.00,1.24,0.00,0.00,5.00,0.00,7.00
9.00,0.00,17.45,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,16.38,39.19,1.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,17.24,48.48,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,48.60,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,11.42,14.10,18.90,0.00,0.00,0.00,1.00,69.20,95.60,4.31,3.28,0.00,79.30,42.10,0.00,1.24,0.00,0.00,5.00,0.00,7.00
10.00,0.00,17.58,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,16.41,35.01,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,0.00,16.84,46.95,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,41.80,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,11.48,14.02,18.90,0.00,0.00,0.00,1.00,64.90,91.20,3.80,2.88,0.00,76.60,36.60,0.00,1.24,0.00,0.00,5.00,0.00,7.00
