Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,Tensi?n,Tensión de Operación,Estado
43,CHIMBOTE 138,318,1,0,0,0,0,0,0,0,0,1,138,,1
44,PUCALLPA 60,319,1,0,0,0,0,0,0,0,0,1,60,,1
45,ZORRITOS 220,320,1,0,0,0,0,0,0,0,0,1,220,,1
46,ABANCAY NUEVA 138,321,1,0,0,0,0,0,0,0,0,1,138,,1
47,ARICOTA138,322,1,0,0,0,0,0,0,0,0,1,138,,1
48,ARICOTA II 66,323,1,0,0,0,0,0,0,0,0,1,66,,1
49,CAMPO ARMIÑO 220,324,1,0,0,0,0,0,0,0,0,1,220,,1
50,AYAVIRI138,325,1,0,0,0,0,0,0,0,0,1,138,,1
51,AZANGARO 138,326,1,0,0,0,0,0,0,0,0,1,138,,1
52,CACHIMAYO 138,327,1,0,0,0,0,0,0,0,0,1,138,,1
53,CALLALLI 138,328,1,0,0,0,0,0,0,0,0,1,138,,1
54,CERRO VERDE 138,329,1,0,0,0,0,0,0,0,0,1,138,,1
55,COMBAPATA 138,330,1,0,0,0,0,0,0,0,0,1,138,,1
56,DOLORESPATA 138,331,1,0,0,0,0,0,0,0,0,1,138,,1
57,DESIERTO220,332,1,0,0,0,0,0,0,0,0,1,220,,1
58,JULIACA 138,333,1,0,0,0,0,0,0,0,0,1,138,,1
59,MACHUPICCHU 138,334,1,0,0,0,0,0,0,0,0,1,138,,1
60,MOLLENDO 138,335,1,0,0,0,0,0,0,0,0,1,138,,1
61,MOQUEGUA 220,336,1,0,0,0,0,0,0,0,0,1,220,,1
62,MOQUEGUA 138,337,1,0,0,0,0,0,0,0,0,1,138,,1
63,PUNO 220,338,1,0,0,0,0,0,0,0,0,1,220,,1
64,PUNO 138,339,1,0,0,0,0,0,0,0,0,1,138,,1
65,SANTUARIO 138,340,1,0,0,0,0,0,0,0,0,1,138,,1
66,SOCABAYA 220,341,1,0,0,0,0,0,0,0,0,1,220,,1
67,SOCABAYA 138,342,1,0,0,0,0,0,0,0,0,1,138,,1
68,ILO 138,343,1,0,0,0,0,0,0,0,0,1,138,,1
69,LOS HEROES 220 A,344,1,0,0,0,0,0,0,0,0,1,220,,1
70,LOS HEROES 66,345,1,0,0,0,0,0,0,0,0,1,66,,1
71,TINTAYA 138,346,1,0,0,0,0,0,0,0,0,1,138,,1
72,TOMASIRI 66,347,1,0,0,0,0,0,0,0,0,1,66,,1
73,REPARTICIÓN 138,348,1,0,0,0,0,0,0,0,0,1,138,,1
74,ILO2 220,349,1,0,0,0,0,0,0,0,0,1,220,,1
75,COTARUSE 220,350,1,0,0,0,0,0,0,0,0,1,220,,1
76,CHILCA REP 220,351,1,0,0,0,0,0,0,0,0,1,220,,1
77,CANTERA 220,352,1,0,0,0,0,0,0,0,0,1,220,,1
78,PIURA OESTE 60,353,1,0,0,0,0,0,0,0,0,1,60,,1
79,LA NIÑA 220,354,1,0,0,0,0,0,0,0,0,1,220,,1
80,CONOCOCHA 220,355,1,0,0,0,0,0,0,0,0,1,220,,1
81,HUINCO 220,356,1,0,0,0,0,0,0,0,0,1,220,,1
82,INDEPENDENCIA 60,357,1,0,0,0,0,0,0,0,0,1,60,,1
83,CHILLON 220,358,1,0,0,0,0,0,0,0,0,1,220,,1
84,CHILLON 60,359,1,0,0,0,0,0,0,0,0,1,60,,1
85,CHAVARRIA 60 A,360,1,0,0,0,0,0,0,0,0,1,60,,1
86,CHAVARRIA 60 B,361,1,0,0,0,0,0,0,0,0,1,60,,1
87,BARSI 60,362,1,0,0,0,0,0,0,0,0,1,60,,1
88,BARSI 220,363,1,0,0,0,0,0,0,0,0,1,220,,1
89,OQUENDO 60,364,1,0,0,0,0,0,0,0,0,1,60,,1
90,CAJAMARCA 220,365,1,0,0,0,0,0,0,0,0,1,220,,1
91,PLANICIE 220 A,366,1,0,0,0,0,0,0,0,0,1,220,,1
92,CARABAYLLO 220,367,1,0,0,0,0,0,0,0,0,1,220,,1
93,CARABAYLLO 500,368,1,0,0,0,0,0,0,0,0,1,500,,1
94,CHILCA CTM 500,369,1,0,0,0,0,0,0,0,0,1,500,,1
95,CHILCA CTM 220 A,370,1,0,0,0,0,0,0,0,0,1,220,,1
96,KIMAN AYLLU 138,371,1,0,0,0,0,0,0,0,0,1,138,,1
97,KIMAN AYLLU 220,372,1,0,0,0,0,0,0,0,0,1,220,,1
98,PARAMONGA EXISTENTE 138,373,1,0,0,0,0,0,0,0,0,1,138,,1
99,MACHALA 200,374,1,0,0,0,0,0,0,0,0,1,230,,1
100,CHIMBOTE 500,375,1,0,0,0,0,0,0,0,0,1,500,,1
101,TRUJILLO 500,376,1,0,0,0,0,0,0,0,0,1,500,,1
102,HUARANGAL 60,377,1,0,0,0,0,0,0,0,0,1,60,,1
103,POMACOCHA 220,378,1,0,0,0,0,0,0,0,0,1,220,,1
104,PIEDRA BLANCA 138,379,1,0,0,0,0,0,0,0,0,1,138,,1
105,POROMA 220,380,1,0,0,0,0,0,0,0,0,1,220,,1
106,POROMA500,381,1,0,0,0,0,0,0,0,0,1,500,,1
107,OCONA 500,382,1,0,0,0,0,0,0,0,0,1,500,,1
108,MONTALVO 500,383,1,0,0,0,0,0,0,0,0,1,500,,1
109,MONTALVO 220,384,1,0,0,0,0,0,0,0,0,1,220,,1
110,HUANZA 220,385,1,0,0,0,0,0,0,0,0,1,220,,1
111,INDUSTRIALES 220 A,386,1,0,0,0,0,0,0,0,0,1,220,,1
112,TINTAYA 220,387,1,0,0,0,0,0,0,0,0,1,220,,1
113,LA NIÑA 500,388,1,0,0,0,0,0,0,0,0,1,500,,1
114,INDUSTRIALES 60,389,1,0,0,0,0,0,0,0,0,1,60,,1
115,CARHUAMAYO 50,390,1,0,0,0,0,0,0,0,0,1,50,,1
116,CARIPA138,391,1,0,0,0,0,0,0,0,0,1,138,,1
117,HUAMPANI 60,392,1,0,0,0,0,0,0,0,0,1,60,,1
118,HUÁNUCO 138,393,1,0,0,0,0,0,0,0,0,1,138,,1
119,REFINERIA ZINC 220,394,1,0,0,0,0,0,0,0,0,1,220,,1
120,QUENCORO 138,395,1,0,0,0,0,0,0,0,0,1,138,,1
121,ILO 3 220,567,1,0,0,0,0,0,0,0,0,1,220,,1
122,MIRADOR 220,568,1,0,0,0,0,0,0,0,0,1,220,,1
123,MIRADOR 60,569,1,0,0,0,0,0,0,0,0,1,60,,1
124,ALTO PRADERA 220,666,1,0,0,0,0,0,0,0,0,,220,,1
125,ABANCAY NUEVA 220,668,1,0,0,0,0,0,0,0,0,,220,,1
126,LOMERA 220,671,1,0,0,0,0,0,0,0,0,,220,,1
127,REQUE 220,672,1,0,0,0,0,0,0,0,0,,220,,1
128,SAN JOSE 500,673,1,0,0,0,0,0,0,0,0,,500,,1
129,SANTA TERESA 220,674,1,0,0,0,0,0,0,0,0,,220,,1
130,SURIRAY 220,675,1,0,0,0,0,0,0,0,0,,220,,1
131,ASIA 220,695,1,0,0,0,0,0,0,0,0,,220,,1
132,CERRO DEL AGUILA 220,698,1,0,0,0,0,0,0,0,0,,220,,1
133,CHAGLLA 220,701,1,0,0,0,0,0,0,0,0,,220,,1
134,RAMADA 220,706,1,0,0,0,0,0,0,0,0,,220,,1
135,SANTA ROSA LDS 60,712,1,0,0,0,0,0,0,0,0,,60,,1
136,LOMERA 60,713,1,0,0,0,0,0,0,0,0,,60,,1
137,ZAPALLAL 60,714,1,0,0,0,0,0,0,0,0,,60,,1
138,MALVINAS 220,780,1,0,0,0,0,0,0,0,0,,220,,1
139,MALVINAS 60,781,1,0,0,0,0,0,0,0,0,,60,,1
140,ABANCAY 138,796,1,0,0,0,0,0,0,0,0,,138,,1
141,YAUPI 138,994,1,0,0,0,0,0,0,0,0,,138,,1
142,SANTA ISABEL 220,995,1,0,0,0,0,0,0,0,0,,220,,1
143,YANANGO 220,1001,1,0,0,0,0,0,0,0,0,,220,,1
144,CHIMAY 220,1003,1,0,0,0,0,0,0,0,0,,220,,1
145,ILO3 138,1014,1,0,0,0,0,0,0,0,0,,138,,1
146,MATUCANA 220,1069,1,0,0,0,0,0,0,0,0,,220,,1
147,COLCABAMBA 500,1078,1,0,0,0,0,0,0,0,0,,500,,1
148,COLCABAMBA 220,1079,1,0,0,0,0,0,0,0,0,,220,,1
149,YARABAMBA 500,1080,1,0,0,0,0,0,0,0,0,,500,,1
150,YARABAMBA 220,1081,1,0,0,0,0,0,0,0,0,,220,,1
151,BELAUNDE 220,1088,1,0,0,0,0,0,0,0,0,,220,,1
152,BELAUNDE 138,1089,1,0,0,0,0,0,0,0,0,,138,,1
153,CACLIC 220,1943,1,0,0,0,0,0,0,0,0,,220,,1
154,INDUSTRIALES 220_B,1955,1,0,0,0,0,0,0,0,0,,220,,1
155,PLANICIE60,1957,1,0,0,0,0,0,0,0,0,,60,,1
156,COBRIZAI 69,1969,1,0,0,0,0,0,0,0,0,,60,,1
157,MOLLEPATA 60,1970,1,0,0,0,0,0,0,0,0,,60,,1
158,MOLLEPATA220,1971,1,0,0,0,0,0,0,0,0,,220,,1
159,CARAPONGO 500,1972,1,0,0,0,0,0,0,0,0,,500,,1
160,CARAPONGO 220 A,1973,1,0,0,0,0,0,0,0,0,,220,,1
161,SAN JOSE 220,2016,1,0,0,0,0,0,0,0,0,,220,,1
162,MARCONA 60 A,2029,1,0,0,0,0,0,0,0,0,,60,,1
163,SAN NICOLAS 60,2030,1,0,0,0,0,0,0,0,0,,60,,1
164,CALLAHUANCA EDN 220,2035,1,0,0,0,0,0,0,0,0,,220,,1
165,PUMIRI138,2036,1,0,0,0,0,0,0,0,0,,138,,1
166,PUMIRI220,2037,1,0,0,0,0,0,0,0,0,,220,,1
