Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario,Capacidad Instalada,Generaci?n M?nima,Servicios Auxiliares,Costo de OM,Coef. de Producci?n Promedio,Factor de Indisponibilidad,Tiempo de Llegada,Tiempo de Llegada,Minimo,Maximo,CostoVerPH,Vertimiento,Estado
44,HUINCO G2,2080,1,0,0,0,0,0,0,0,81,1,69.110,20.00,0.1893,0.5879,10.228,,,,20,68,,1,1
45,HUINCO G3,2081,1,0,0,0,0,0,0,0,81,1,69.914,20.00,0.1893,0.5879,10.228,,,,20,69,,1,1
46,HUINCO G4,2082,1,0,0,0,0,0,0,0,81,1,69.346,20.00,0.1893,0.5879,10.228,,,,20,69,,1,1
47,CERRO DEL AGUILA G1,2083,1,0,0,0,0,0,0,0,132,1,189.6920,64.5,1.4770,0.5879,2.3990,,,,65,180,,1,1
48,CERRO DEL AGUILA G2,2084,1,0,0,0,0,0,0,0,132,1,203.0530,70.65,1.4770,0.5879,2.3990,,,,72,193,,1,1
49,CERRO DEL AGUILA G3,2085,1,0,0,0,0,0,0,0,132,1,189.7610,64.5,1.4770,0.5879,2.3990,,,,66,180,,1,1
50,C.H. CAÑA BRAVA,2109,1,0,0,0,0,0,0,0,8,,5.670,1.061,0.0247,0.5879,0.292,,,,,,,,1
51,CHIMAY G1,2147,1,0,0,0,0,0,0,0,144,1,77.643,65.00,0.206554,0.5879,1.6890,,,,,,,1,1
52,CHIMAY G2,2148,1,0,0,0,0,0,0,0,144,1,74.699,45.00,0.206554,0.5879,1.6890,,,,45,75,,1,1
53,MATUCANA G1,2149,1,0,0,0,0,0,0,0,146,1,68.55555,20.00,0.18303,0.5879,8.6504,,,,20,67,,1,1
54,MATUCANA G2,2150,1,0,0,0,0,0,0,0,146,1,68.46641,20.00,0.18303,0.5879,8.6504,,,,20,68.5,,1,1
55,LA VIRGEN,2151,1,0,0,0,0,0,0,0,116,1,84.003,4.69,0.18070,0.5879,2.939,,,,,,,,1
56,CARHUAQUERO G1,2165,1,0,0,0,0,0,0,0,8,1,31.593,10.00,0.131,0.5879,4.488,,,,10,30.5,,1,1
57,CARHUAQUERO G2,2166,1,0,0,0,0,0,0,0,8,1,31.472,10.00,0.131,0.5879,4.488,,,,10,30,,1,1
58,CARHUAQUERO G3,2167,1,0,0,0,0,0,0,0,8,1,31.467,10.00,0.131,0.5879,4.488,,,,10,30.5,,1,1
59,CHEVES G1,2279,1,0,0,0,0,0,0,0,14,1,89.7304,20.00,0.27743,0.5879,5.2301,,,,20,85,,1,1
60,CHEVES G2,2280,1,0,0,0,0,0,0,0,14,1,89.8913,20.00,0.27743,0.5879,5.2301,,,,20,85,,1,1
61,PLATANAL G1,2317,1,0,0,0,0,0,0,0,76,1,113.5711,20,,0.6511,5.6346,,,,20.5,110.5,,1,1
62,PLATANAL G2,2318,1,0,0,0,0,0,0,0,76,1,113.524,20,,0.6511,5.5248,,,,20.5,110.5,,1,1
