Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,Tipo Rer,Tipo Otros,Potencia Instalada,Potencia Instalada,Potencia Instalada,MW,Estado
55,DUNA,2136,1,0,0,0,0,0,0,0,8,1,,,,,,18.37,1
56,C.T. TALLANCA,2154,1,0,0,0,0,0,0,0,78,1,,,,,,,1
57,SANTA ROSA 1,2161,1,0,0,0,0,0,0,0,14,1,,,,1.11777,,,1
58,SANTA ROSA 2,2162,1,0,0,0,0,0,0,0,14,1,,,,1.62887,,,1
59,CSF YARUCAYA,2164,1,0,0,0,0,0,0,0,14,1,,,,,1.295,,1
60,TUPURI,2224,1,0,0,0,0,0,0,0,173,1,,,,,,,1
61,C.E. PUNTA LOMITAS-BL1,2285,1,0,0,0,0,0,0,0,223,1,,,,,,,1
62,C.E. PUNTA LOMITAS-BL2,2287,1,0,0,0,0,0,0,0,227,1,,,,,,,1
63,PTA_LOMITAS_EXP_BL1,2288,1,0,0,0,0,0,0,0,223,1,,,,,,,1
64,PTA_LOMITAS_EXP_BL2,2289,1,0,0,0,0,0,0,0,227,1,,,,,,,1
65,CS_CLEMESI,2290,1,0,0,0,0,0,0,0,109,1,,,114.93,,114.93,,1
66,PE SAN JUAN,2291,1,0,0,0,0,0,0,0,220,1,,,,,,129.80,1
67,REFINERIA_TALARA_G1,2292,0,0,0,0,0,0,0,0,181,0,,,,,,,1
68,REFINERIA_TALARA_G2,2293,0,0,0,0,0,0,0,0,181,0,,,100.87877,,,,1
69,WAYRA_EXP,2294,1,0,0,0,0,0,0,0,221,1,,,,,,177,1
70,CS CARHUAQUERO,2315,1,0,0,0,0,0,0,0,8,1,,,,,0.55,,1
71,CH HUALLIN,2316,1,0,0,0,0,0,0,0,42,1,,,,2.000,,,1
72,CS MATARANI,2349,1,0,0,0,0,0,0,0,225,1,,,80,,,,1
