1,4,2,19,1,0,0,
1,19,1,4,1,0,0,
1,19,43,4,1,0,0,
1,19,44,4,1,0,0,
1,19,45,4,1,0,0,
1,19,46,4,1,0,0,
2,19,3,4,1,0,0,
2,4,3,4,1,0,0,
3,4,5,4,1,0,0,
5,4,34,19,1,0,0,
6,4,7,4,1,0,0,
7,4,28,19,1,0,0,
9,4,8,4,1,0,0,
11,4,33,19,1,0,0,
13,4,55,4,1,0,0,
15,4,17,4,1,0,0,
16,4,7,19,1,0,0,
17,4,6,19,1,0,0,
18,4,19,4,1,0,0,
19,4,9,19,1,0,0,
20,4,31,4,1,0,0,
22,4,10,4,1,0,0,
23,4,35,19,1,0,0,
27,4,50,4,1,0,0,
28,4,11,19,1,0,0,
3,19,4,19,1,0,0,
4,19,25,4,1,0,0,
5,19,16,4,1,0,0,
6,19,30,4,1,0,0,
7,19,15,4,1,0,0,
8,19,36,4,1,0,0,
8,19,56,4,1,0,0,
8,19,57,4,1,0,0,
8,19,58,4,1,0,0,
10,19,28,4,1,0,0,
12,19,21,4,1,0,0,
13,19,14,4,1,0,0,
13,19,51,4,1,0,0,
13,19,52,4,1,0,0,
14,19,26,4,1,0,0,
15,19,22,4,1,0,0,
16,19,6,4,1,0,0,
17,19,32,4,1,0,0,
17,19,41,4,1,0,0,
17,19,42,4,1,0,0,
36,4,50,4,1,0,0,
37,4,22,19,1,0,0,
38,4,40,4,1,0,0,
18,19,14,19,1,0,0,
19,19,15,19,1,0,0,
20,19,16,19,1,0,0,
21,19,12,19,1,0,0,
23,19,33,4,1,0,0,
24,19,12,4,1,0,0,
25,19,20,4,1,0,0,
27,19,15,19,1,0,0,
28,19,34,4,1,0,0,
28,19,47,4,1,0,0,
28,19,48,4,1,0,0,
28,19,49,4,1,0,0,
29,19,14,19,1,0,0,
30,19,38,4,1,0,0,
31,19,37,4,1,0,0,
31,19,59,4,1,0,0,
31,19,60,4,1,0,0,
32,19,23,4,1,0,0,
32,19,61,4,1,0,0,
32,19,62,4,1,0,0,
33,19,2,4,1,0,0,
33,19,53,4,1,0,0,
33,19,54,4,1,0,0,
34,19,4,4,1,0,0,
40,4,1,19,1,0,0,
43,4,2,19,1,0,0,
44,4,2,19,1,0,0,
45,4,2,19,1,0,0,
46,4,2,19,1,0,0,
53,4,36,19,1,0,0,
54,4,36,19,1,0,0,
56,4,50,4,1,0,0,
57,4,50,4,1,0,0,
58,4,50,4,1,0,0,
36,19,3,4,1,0,0,
59,4,22,19,1,0,0,
60,4,22,19,1,0,0,
61,4,35,19,1,0,0,
62,4,35,19,1,0,0,
1,4,2,19,2,0,0,
1,19,2,19,2,0,0,
2,19,5,4,2,0,0,
2,4,34,19,2,0,0,
3,4,5,4,2,0,0,
5,4,34,19,2,0,0,
6,4,28,19,2,0,0,
7,4,28,19,2,0,0,
9,4,8,4,2,0,0,
11,4,33,19,2,0,0,
13,4,55,4,2,0,0,
15,4,17,4,2,0,0,
16,4,7,19,2,0,0,
17,4,6,19,2,0,0,
18,4,19,4,2,0,0,
19,4,9,19,2,0,0,
22,4,10,4,2,0,0,
23,4,35,19,2,0,0,
27,4,50,4,2,0,0,
28,4,11,19,2,0,0,
3,19,4,19,2,0,0,
5,19,16,4,2,0,0,
6,19,30,4,2,0,0,
7,19,15,4,2,0,0,
8,19,50,4,2,0,0,
10,19,28,4,2,0,0,
14,19,26,4,2,0,0,
