"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,11.49,23.93,12.10,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,11.40,14.14,8.00,10.00,23.00,29.73,5.41,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.63,13.62,42.49,3.10,25.66,10.00,18.46,120.00,9.20,29.28,0.60,10.00,10.00,10.69,0.00,17.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,13.85,14.44,18.95,0.90,1.42,43.06,47.50,3.14,2.74,86.40,60.99,0.00,0.20,2.04,62.06,208.54,11.00,170.01,13.50,0.29,38.96,87.55
2.00,13.25,23.86,13.51,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,11.76,14.34,8.00,10.00,23.10,29.52,5.35,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.70,14.23,45.46,3.10,25.36,10.00,18.46,120.00,9.20,28.97,0.60,10.00,10.00,10.69,0.00,17.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,13.91,15.07,18.95,1.01,1.42,42.98,47.64,3.24,2.79,86.40,63.36,0.00,0.30,2.04,63.46,208.67,11.00,168.09,13.50,0.33,38.95,86.29
3.00,13.68,24.50,14.15,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,12.68,14.49,8.00,10.00,22.70,38.38,5.36,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.82,14.86,49.11,3.10,25.20,10.00,18.46,119.00,9.20,28.82,0.60,10.00,10.00,10.69,0.00,16.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,14.82,15.46,18.95,1.10,1.41,48.69,52.38,4.07,3.21,85.68,65.84,0.00,0.30,2.04,64.58,208.13,11.00,167.03,13.50,0.37,38.94,86.06
4.00,14.65,24.13,14.89,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,13.10,14.49,8.00,10.00,22.30,45.94,5.37,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.76,15.04,51.20,3.10,25.07,10.00,18.46,118.00,9.20,28.99,0.60,10.00,10.00,10.69,0.00,16.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,14.64,15.38,18.95,1.12,1.41,50.06,54.63,4.07,3.47,84.96,68.11,0.00,0.30,2.04,65.36,207.81,11.00,166.51,13.50,0.39,39.78,85.99
5.00,14.78,24.02,15.12,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,13.47,14.46,8.00,10.00,22.80,48.28,5.44,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.79,15.03,52.71,3.10,25.11,10.00,18.46,117.00,9.20,29.14,0.60,10.00,10.00,10.69,0.00,19.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,14.85,15.55,18.95,1.11,1.41,58.61,63.80,5.83,4.00,84.24,67.52,0.00,0.40,2.00,65.84,207.10,11.00,165.52,13.50,0.41,40.63,85.21
6.00,14.92,23.66,15.17,19.00,0.00,0.00,4.70,15.94,3.10,0.40,0.00,0.00,13.67,14.49,8.00,10.00,23.30,50.80,5.41,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.80,15.02,54.26,3.10,24.87,10.00,18.46,117.00,9.20,28.90,0.60,10.00,10.00,10.69,0.00,24.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,14.30,15.35,18.95,1.13,1.41,59.44,65.09,5.74,4.31,84.24,68.33,0.00,0.40,2.00,66.21,207.48,11.00,164.69,13.50,0.41,40.12,84.44
7.00,14.76,24.28,14.89,19.00,0.00,0.00,4.70,15.94,3.00,0.40,0.00,0.00,13.38,14.51,8.00,10.00,23.80,57.43,5.40,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.81,15.42,55.71,3.10,24.63,10.00,18.46,117.00,9.20,28.94,0.60,10.00,10.00,10.69,0.00,31.00,10.00,11.66,5.00,10.00,0.00,11.66,1.10,14.36,15.48,18.95,1.12,1.41,71.01,73.95,7.48,5.28,84.24,69.61,0.00,0.40,2.00,66.07,208.07,11.00,164.31,13.50,0.41,39.61,84.12
8.00,13.99,23.76,14.22,19.00,0.00,0.00,4.70,15.94,3.00,0.40,0.00,0.00,13.38,14.57,8.00,10.00,24.40,60.22,5.40,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.88,16.07,56.85,3.10,24.29,10.00,18.46,117.00,9.20,28.90,0.60,10.00,10.00,10.69,0.00,41.00,10.00,11.66,5.00,10.70,0.00,11.66,1.10,14.43,15.42,18.95,1.12,1.41,72.49,74.58,7.40,5.78,84.24,71.67,25.00,0.40,1.96,65.60,209.21,11.00,164.34,13.50,0.39,39.55,84.12
9.00,13.57,23.71,13.52,19.00,0.00,0.00,4.70,15.94,3.00,0.40,0.00,0.00,12.73,14.73,8.00,10.00,25.40,60.47,5.41,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.96,16.03,58.03,3.10,24.03,10.00,18.46,118.00,9.20,29.19,0.60,10.00,10.00,10.69,0.00,51.00,10.00,11.66,5.00,10.70,0.00,11.66,1.10,13.96,15.20,18.95,1.12,1.41,80.65,80.59,9.33,6.20,84.96,72.21,65.00,0.30,1.96,64.97,209.40,11.00,166.11,13.50,0.37,39.48,85.04
10.00,12.00,23.17,12.29,19.00,0.00,0.00,4.70,15.94,3.00,0.40,0.00,0.00,12.91,14.76,8.00,10.00,26.40,61.17,5.76,5.50,15.55,2.50,19.24,19.24,10.00,13.61,0.00,11.98,16.07,58.52,3.10,24.02,10.00,18.46,117.00,9.20,29.33,0.60,10.00,10.00,10.69,0.00,62.00,10.00,11.66,5.00,10.70,0.00,11.66,1.10,13.73,15.23,18.95,0.94,1.41,80.72,81.45,9.16,6.36,84.24,69.41,82.00,0.20,1.96,64.49,211.45,11.00,168.50,13.50,0.34,39.56,86.45
