"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,186.00,0.00,0.00,0.00,0.00,0.00
2.00,150.38,0.00,0.00,0.00,0.00,0.00
3.00,150.38,0.00,0.00,0.00,0.00,0.00
4.00,150.38,0.00,0.00,0.00,0.00,0.00
5.00,186.00,0.00,0.00,0.00,0.00,0.00
6.00,186.00,0.00,0.00,0.00,0.00,0.00
7.00,150.38,0.00,0.00,0.00,0.00,0.00
8.00,150.38,0.00,0.00,0.00,0.00,0.00
9.00,150.38,0.00,0.00,0.00,0.00,0.00
10.00,150.38,0.00,0.00,0.00,0.00,0.00
11.00,150.38,0.00,0.00,0.00,0.00,0.00
12.00,150.38,0.00,0.00,0.00,0.00,0.00
13.00,170.43,0.00,0.00,0.00,0.00,0.00
14.00,170.43,0.00,0.00,0.00,0.00,0.00
15.00,207.00,0.00,0.00,0.00,0.00,0.00
16.00,207.00,0.00,0.00,0.00,0.00,0.00
17.00,201.00,0.00,0.00,0.00,0.00,0.00
18.00,207.00,0.00,0.00,0.00,0.00,0.00
19.00,207.00,0.00,0.00,0.00,0.00,0.00
20.00,207.00,0.00,0.00,0.00,0.00,0.00
21.00,164.37,0.00,0.00,0.00,0.00,0.00
22.00,173.17,0.00,0.00,0.00,0.00,0.00
23.00,176.29,0.00,0.00,0.00,0.00,0.00
24.00,169.20,0.00,0.00,0.00,0.00,0.00
25.00,222.00,0.00,0.00,0.00,0.00,0.00
26.00,222.00,0.00,0.00,0.00,0.00,0.00
27.00,222.00,0.00,0.00,0.00,0.00,0.00
28.00,222.00,0.00,0.00,0.00,0.00,0.00
29.00,222.00,0.00,0.00,0.00,0.00,0.00
30.00,222.00,0.00,0.00,0.00,0.00,0.00
31.00,222.00,0.00,0.00,0.00,0.00,0.00
32.00,222.00,0.00,0.00,0.00,0.00,0.00
33.00,222.00,0.00,0.00,0.00,0.00,0.00
34.00,222.00,0.00,0.00,0.00,0.00,0.00
35.00,183.89,0.00,0.00,0.00,0.00,0.00
36.00,186.03,0.00,0.00,0.00,0.00,0.00
37.00,158.83,0.00,0.00,0.00,0.00,0.00
38.00,132.00,0.00,0.00,0.00,0.00,0.00
39.00,111.29,0.00,0.00,0.00,0.00,0.00
40.00,117.95,0.00,0.00,0.00,0.00,0.00
41.00,132.77,0.00,0.00,0.00,0.00,0.00
42.00,135.85,0.00,0.00,0.00,0.00,0.00
43.00,137.27,0.00,0.00,0.00,0.00,0.00
44.00,156.38,0.00,0.00,0.00,0.00,0.00
45.00,149.64,0.00,0.00,0.00,0.00,0.00
46.00,96.00,0.00,0.00,0.00,0.00,0.00
47.00,148.62,0.00,0.00,0.00,0.00,0.00
48.00,134.60,0.00,0.00,0.00,0.00,0.00
