"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,0.22,11.46,0.49,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,3.42,17.56,0.00,0.00,21.02,35.73,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.98,20.27,67.97,2.10,28.12,13.66,18.05,13.58,18.05,3.90,0.60,19.51,19.51,19.51,2.40,121.10,11.22,9.80,3.50,10.80,6.83,7.50,2.40,4.63,10.77,18.00,0.00,0.00,0.09,1.23,87.30,95.30,4.55,7.36,11.18,84.50,112.00,0.00,2.00,7.76,1.94,11.00,2.51,23.00
2.00,0.04,11.96,0.06,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,1.01,17.56,0.00,0.00,21.06,31.29,0.00,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.09,19.69,65.69,2.10,28.12,13.66,18.05,2.89,18.05,0.77,0.60,19.51,19.51,19.51,2.40,119.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,10.33,18.00,0.00,0.00,0.04,1.23,82.60,92.70,4.02,6.43,1.94,82.70,107.60,0.00,2.00,1.95,0.02,11.00,0.01,23.00
3.00,0.00,13.77,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.10,26.65,4.60,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,19.11,62.97,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,115.60,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,9.29,18.00,0.00,0.00,0.00,1.23,78.20,91.50,3.58,5.56,0.00,81.70,103.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
4.00,0.00,14.18,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.14,22.92,7.30,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.52,60.11,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,111.70,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,8.07,18.00,0.00,0.00,0.00,1.23,74.50,90.00,3.16,4.71,0.00,80.70,98.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
5.00,0.00,13.40,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.18,19.49,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,18.07,57.25,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,106.50,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,6.15,18.00,0.00,0.00,0.00,1.23,72.90,88.20,2.96,4.34,0.00,79.40,91.50,0.00,2.00,0.00,0.00,11.00,0.00,23.00
6.00,0.00,11.66,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.21,18.69,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.66,54.40,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,101.80,11.22,9.80,3.50,10.80,6.83,7.40,2.40,4.63,4.01,18.00,0.00,0.00,0.00,1.23,71.20,86.00,2.84,4.13,0.00,78.20,85.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
7.00,0.00,11.55,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.24,18.77,7.40,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.43,52.93,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,98.60,11.22,9.80,3.50,10.80,6.83,7.40,2.40,3.67,2.92,18.00,0.00,0.00,0.00,1.23,69.10,83.00,2.93,4.10,0.00,77.50,79.50,0.00,2.00,0.00,0.00,11.00,0.00,23.00
8.00,0.00,11.73,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.27,19.61,7.50,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.25,51.91,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,95.70,11.22,9.80,3.50,10.80,6.83,7.40,2.40,2.90,2.17,18.00,0.00,0.00,0.00,1.23,65.80,79.00,3.09,4.13,0.00,77.50,74.90,0.00,2.00,0.00,0.00,11.00,0.00,23.00
9.00,0.00,12.87,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.30,20.71,6.90,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.50,52.03,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,94.00,11.22,9.80,3.50,10.80,6.83,7.40,2.40,2.38,1.83,18.00,0.00,0.00,0.00,1.23,65.70,78.90,3.17,4.19,0.00,79.70,73.80,0.00,2.00,0.00,0.00,11.00,0.00,23.00
10.00,0.00,13.91,0.00,17.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,21.33,23.50,5.60,0.00,15.61,2.50,17.95,14.05,13.66,17.56,1.40,0.00,17.89,52.52,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,92.40,11.22,9.80,3.50,10.80,6.83,7.40,2.40,1.96,1.62,18.00,0.00,0.00,0.00,1.23,64.90,78.50,3.23,4.25,0.00,82.10,73.20,0.00,2.00,0.00,0.00,11.00,0.00,23.00
