Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,COG_OQUENDO,2364,1,0,0,0,0,0,0,0,0,1
2,RER-CARHUAQUERO_IV,2365,1,0,0,0,0,0,0,0,0,1
3,RO_YUNCAN_G3,2366,1,0,0,0,0,0,0,0,0,1
4,RO_CHEVES_MIN,2367,1,0,0,0,0,0,0,0,0,1
5,RO_QUITARACSA,2368,1,0,0,0,0,0,0,0,0,1
6,CARHUAQUERO123,2369,1,0,0,0,0,0,0,0,0,1
7,COG_REFINERIA_TALARA_TV1+TV2,2370,1,0,0,0,0,0,0,0,0,1
8,RO_CAÑON_PATO,2371,1,0,0,0,0,0,0,0,0,1
9,RO_MALACAS_TG4_TG6,2373,1,0,0,0,0,0,0,0,0,1
10,RO_RON_G2,2374,1,0,0,0,0,0,0,0,0,1
11,CHARCANIV,2392,1,0,0,0,0,0,0,0,0,1
12,RESTR_CHARCANIV,2393,1,0,0,0,0,0,0,0,0,1
13,CHILCA,2394,1,0,0,0,0,0,0,0,0,1
14,PRUEBA_KLP2X1,2396,1,0,0,0,0,0,0,0,0,1
15,PRUEBA_KLP3X1,2397,1,0,0,0,0,0,0,0,0,1
16,RO_VENTANILLA,2401,1,0,0,0,0,0,0,0,0,1
17,RO_LAS_FLORES,2417,1,0,0,0,0,0,0,0,0,1
18,PR_CHIMAY_G2,2418,1,0,0,0,0,0,0,0,0,1
19,REST_TG1_KG,2432,1,0,0,0,0,0,0,0,0,1
20,REST_TG2_CHILCA,2433,1,0,0,0,0,0,0,0,0,1
