Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,MAL2,2435,1,0,0,0,0,0,0,0,0,1
2,MAL3,2436,1,0,0,0,0,0,0,0,0,1
3,MAL4,2437,1,0,0,0,0,0,0,0,0,1
4,AGU1,2438,1,0,0,0,0,0,0,0,0,1
5,AGU2,2439,1,0,0,0,0,0,0,0,0,1
6,AGU3,2440,1,0,0,0,0,0,0,0,0,1
7,AGU4,2441,1,0,0,0,0,0,0,0,0,1
8,MAL0H,2442,1,0,0,0,0,0,0,0,0,1
9,MAL01H,2443,1,0,0,0,0,0,0,0,0,1
10,MAL02H,2444,1,0,0,0,0,0,0,0,0,1
11,MAL03H,2445,1,0,0,0,0,0,0,0,0,1
12,MAL04H,2446,1,0,0,0,0,0,0,0,0,1
13,MAL05H,2447,1,0,0,0,0,0,0,0,0,1
14,MAL06H,2448,1,0,0,0,0,0,0,0,0,1
15,MAL07H,2449,1,0,0,0,0,0,0,0,0,1
16,MAL08H,2450,1,0,0,0,0,0,0,0,0,1
17,MAL09H,2451,1,0,0,0,0,0,0,0,0,1
