ETAPA \ GENERADOR,MAJES,CARPAPATA,REPARTICION,PARAMONGA,HUAYCOLORO,LA JOYA,STACRUZ12,HUASAHUASI,RONCADOR,PURMACANA,NIMPERIAL,MAPLE,TACNASOLAR,PANAMERICANASOLAR,PIZARRAS,PIAS,POECHOS2,PE TALARA,PE CUPISNIQUE,ELOR,CURUMUY,POECHOS1,CANCHAYLLO,CHANCAY,RUCUY,RUNATULLOII,RUNATULLOIII,LAGRINGAV,MOQUEGUASOLAR,PQEEOLICOMARCONA,PQEEOLICO3HERMANAS,YANAPAMPA,TABLAZO,POTRERO,CH MARANON,CS RUBI,YARUCAYA,INTIPAMPA,CHHER1,CHANGELI,CHANGELII,CHANGELIII,CTB DONA CATALINA,WAYRAI,CHZANA,8AGOSTO,RENOVANDESH1,EL CARMEN,CT CANA BRAVA,CT SAN JACINTO,CH MANTA,CTB CALLAO,HUAMBOS,DUNA,CT TALLANCA,SANTA ROSA 1,SANTA ROSA 2,CSF YARUCAYA,TUPURI,CE PUNTA LOMITASBL1,CE PUNTA LOMITASBL2,PTALOMITASEXPBL1,PTALOMITASEXPBL2,CSCLEMESI,PE SAN JUAN,WAYRAEXP,CS CARHUAQUERO,CH HUALLIN,CS MATARANI,CS SAN MARTIN
11,0,24.06,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,15.35,13,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,16.3,42.3,3.1,0,19.51,19.32,3.9,9.2,0,0.6,20,19.51,19.51,2.4,29,12.88,20.49,19.51,8,0,0,17.56,2.4,6.89,11.72,9,0,0,0,1,17.1,38.1,0.79,0.46,2.6,73.75,14.2,0,2,0,0
12,0,23.8,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,1.59,0.56,17.56,0,8,14.08,13,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0.57,15.4,39.6,3.1,0,19.51,19.32,33.3,9.2,0.05,0.6,20,19.51,19.51,2.4,24.6,12.88,20.49,19.51,8,0,0,17.56,2.4,7.29,12.04,9,0,0,0,1,15.8,35.2,0.61,0.39,24.3,71.42,13,0,2,0.07,0
13,0.82,24.03,0.77,14,4.2,8.4,9.7,19.22,0,0,3.5,0,5.24,6.28,17.56,0,8,12.78,13.1,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,6.03,14.4,36.9,3.1,0,19.51,19.32,84.7,9.2,1.95,0.6,20,19.51,19.51,2.4,19.3,12.88,20.49,19.51,8,0,0,17.56,2.4,7.8,12.41,9,0,0,0.03,1,14.6,32.1,0.43,0.32,62.7,68.98,11.6,0,2,6.07,0
14,2.68,23.89,2.84,14,4.2,8.4,9.7,19.22,0,0,3.5,0,10.03,10.54,17.56,0,8,11.39,12.5,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,9.39,14,36.5,3.1,0,19.51,19.32,116.8,9.2,11.02,0.6,20,19.51,19.51,2.4,14.5,12.88,20.49,19.51,8,0,0,17.56,2.4,8.61,12.96,9,0,0,0.06,1,15.3,32.2,0.27,0.24,85.5,66.18,9.7,0,2,22.37,0
15,5.72,24.05,5.46,14,4.2,8.4,9.7,19.22,0,0,3.5,0,14.68,14.07,17.56,0,8,9.92,11.7,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,11.91,13.9,36.8,3.1,0,19.51,19.32,129.5,9.2,25.98,0.6,20,19.51,19.51,2.4,9.9,12.88,20.49,19.51,8,0,0,17.56,2.4,9.38,13.42,9,0,0,0.07,1,16.6,33.4,0.17,0.22,94.1,63.76,7.6,0,2,43.69,0
16,8.82,24.11,8.08,14,4.2,8.4,9.7,19.22,0,0,3.5,0,13.86,15.75,17.56,0,8,8.26,12,8.1,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.12,14.6,39.2,3.1,0,19.51,19.32,133.3,9.2,27.3,0.6,20,19.51,19.51,2.4,8.3,12.88,20.49,19.51,8,0,0,17.56,2.4,10.01,13.58,9,0,0,0.1,1,19.3,36.4,0.26,0.38,97,62.47,6.8,0,2,58.43,0
17,2.1,24.06,2.22,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.82,15.08,17.56,0,8,6.68,12.6,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,12.84,15.4,42.4,3.1,0,19.51,19.32,135.1,9.2,30.07,0.6,20,19.51,19.51,2.4,7.7,12.88,20.49,19.51,8,0,0,17.56,1.2,10.65,13.84,9,0,0,0.49,1,22.4,40,0.45,0.63,98.5,62.06,6.3,0.1,2,66.48,0
18,2.46,24.04,2.6,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.05,14.6,17.56,0,8,5.37,15.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,12.18,16.7,47.5,3.1,0,19.51,19.32,136.1,9.2,35.15,0.6,20,19.51,19.51,2.4,8,12.88,20.49,19.51,8,0,0,17.56,1.2,11.34,14.4,9,0,0,0.67,1,27,44.3,0.95,1.13,99.5,64.29,6.6,0.2,2,69.11,0
19,2.74,23.95,2.91,14,4.2,8.4,9.7,19.22,0,0,3.5,0,16.14,15.17,17.56,0,8,4.07,18.3,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,12.39,18.2,53.3,3.1,0,19.51,19.32,136.3,9.2,34.86,0.6,20,19.51,19.51,2.4,8.6,12.88,20.49,19.51,8,0,0,17.56,1.2,12,14.87,9,0,0,0.83,1,32,48.9,1.53,1.67,100,67.31,7.1,0.2,2,70.39,7.35
20,2.99,23.92,3.15,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.58,17.11,17.56,0,8,2.76,22.4,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,14,19.7,59.1,3.1,0,19.51,19.32,135.6,9.2,35.71,0.6,20,19.51,19.51,2.4,11.9,12.88,20.49,19.51,8,0,0,17.56,1.2,12.59,15.02,9,0,0,0.93,1,36.7,51.7,2.36,2.33,99.8,72.68,13.4,0.3,2,70.82,7.35
21,3.21,23.89,3.35,14,4.2,8.4,9.7,19.22,0,0,3.5,0,16.2,17.51,17.56,0,8,1.86,26.8,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,14.16,21.2,64.9,3.1,0,19.51,19.32,130.5,9.2,36.2,0.6,20,19.51,19.51,2.4,16.1,12.88,20.49,19.51,8,0,0,17.56,1.2,13.09,15.19,9,0,0,1.01,1,41.4,54,3.22,3.01,97.2,78.14,21.6,0.3,2,71.33,14.88
22,3.4,23.96,3.49,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.65,17.18,17.56,0,8,2.18,32.8,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.99,22.2,68.7,3.1,0,19.51,19.32,123.5,9.2,35.44,0.6,20,19.51,19.51,2.4,22.1,12.88,20.49,19.51,8,0,0,17.56,1.2,13.29,15.36,9,0,0,1.03,1,45.2,55.8,4.21,3.73,93.4,83.85,35.2,0.3,2,71.76,14.88
23,3.5,23.74,3.52,14,4.2,8.4,9.7,19.22,0,0,3.5,0,13.78,17.01,17.56,0,8,2.52,39.4,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.94,23,72,3.1,0,19.51,19.32,122.5,9.2,35.42,0.6,20,19.51,19.51,2.4,28.7,12.88,20.49,19.51,8,0,0,17.56,1.2,13.36,15.36,9,0,0,1.02,1,48.7,57.5,5.18,4.48,92.6,89.46,50.7,0.4,2,71.53,15.21
24,3.53,23.73,3.54,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.41,16.36,17.56,0,8,2.94,46.2,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.21,23.5,74.8,3.1,0,19.51,19.32,123.5,9.2,35.07,0.6,20,19.51,19.51,2.4,42.1,12.88,20.49,19.51,8,0,0,17.56,1.2,13.02,14.81,9,0,0,1.04,1,52.9,59.8,6.11,5.3,92.6,94.76,65.4,0.4,2,71.48,15.21
25,3.53,23.57,3.54,14,4.2,8.4,9.7,19.22,0,0,3.5,0,14.59,17.17,17.56,0,8,3.37,53,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.86,23.9,77.5,3.1,0,19.51,19.32,125.8,9.2,33.44,0.6,20,19.51,19.51,2.4,57.8,12.88,20.49,19.51,8,0,0,17.56,1.2,12.8,14.45,9,0,0,1.03,1,57.2,62.3,7.09,6.11,92.8,99.79,79.7,0.4,2,71.9,22.79
26,3.46,23.76,3.46,14,4.2,8.4,9.7,19.22,0,0,3.5,0,13.86,16.38,17.56,0,8,3.8,53.2,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,13.47,24.1,78.5,3.1,0,19.51,19.32,128.4,9.2,34.83,0.6,20,19.51,19.51,2.4,71,12.88,20.49,19.51,8,0,0,17.56,1.2,12.91,14.62,9,0,0,1.02,1,60.3,65.3,8.24,6.89,93.1,103.96,89.9,0.4,2,71.92,22.79
27,3.27,23.74,3.22,14,4.2,8.4,9.7,19.22,0,0,3.5,0,14.68,14.7,17.56,0,8,4.14,51.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,11.88,24.3,79,3.1,0,19.51,19.32,129.6,9.2,30.69,0.6,20,19.51,19.51,2.4,83.4,12.88,20.49,19.51,8,0,0,17.56,1.2,12.85,14.54,9,0,0,1.02,1,62.9,68.4,9.16,7.51,92.8,107.31,98.5,0.3,2,71.64,29.98
28,3.02,23.53,2.94,14,4.2,8.4,9.7,19.22,0,0,3.5,0,15.1,15.19,17.56,0,8,4.18,50.4,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,12.68,24.3,79.2,3.1,0,19.51,19.32,128,9.2,26.12,0.6,20,19.51,19.51,2.4,91.7,12.88,20.49,19.51,8,0,0,17.56,1.2,12.24,13.75,9,0,0,0.87,1,64.8,71.2,9.37,7.66,91.1,108.18,105.8,0.2,2,71.07,29.98
29,2.75,23.32,2.65,14,4.2,8.4,9.7,19.22,0,0,3.5,0,13.89,10.37,17.56,0,8,4.24,50.3,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,9.14,24.3,79.2,3.1,0,19.51,19.32,122.9,9.2,33.47,0.6,20,19.51,19.51,2.4,98.6,12.88,20.49,19.51,8,0,0,17.56,1.2,11.57,12.9,9,0,0,0.84,1,66.4,74,9.47,7.76,87,108.61,112.5,0.2,2,68.46,29.1
30,2.4,23.36,2.36,14,4.2,8.4,9.7,19.22,0,0,3.5,0,8.1,11.86,17.56,0,8,4.32,51.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,9.03,24.3,79.1,3.1,0,19.51,19.32,107.1,9.2,19.56,0.6,20,19.51,19.51,2.4,105.1,12.88,20.49,19.51,8,0,0,17.56,1.2,10.7,11.93,9,0,0,0.79,1,68.5,77.3,9.24,7.67,77.6,107.68,116.6,0.1,2,64.97,29.1
31,1.99,23.41,1.94,14,4.2,8.4,9.7,19.22,0,0,3.5,0,7.75,12.28,17.56,0,8,4.3,52.2,7.2,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,10.42,24.3,79,3.1,0,19.51,19.32,70,9.2,34.28,0.6,20,19.51,19.51,2.4,111.5,12.88,20.49,19.51,8,0,0,17.56,1.2,9.99,11.05,9,0,0,0.66,1,70.8,80.6,9.04,7.64,58.9,107.03,119.8,0.1,2,59.92,25.69
32,1.47,23.3,1.4,14,4.2,8.4,9.7,19.22,0,0,3.5,0,6.59,9.49,17.56,0,8,4.01,52.3,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,7.98,24.1,77.6,3.1,0,19.51,19.32,41,9.2,9.68,0.6,20,19.51,19.51,2.4,113.4,12.88,20.49,19.51,8,0,0,17.56,1.2,9.75,10.44,9,0,0,0.48,1,69.9,81.2,8.93,7.8,34.9,107.17,118.3,0.1,2,52.08,25.69
33,0.72,23.5,0.91,14,4.2,8.4,9.7,19.22,0,0,3.5,0,8.84,8.19,17.56,0,8,3.84,51.9,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,6.15,23.7,75.9,3.1,0,19.51,19.32,12.2,9.2,17.29,0.6,20,19.51,19.51,2.4,113.8,12.88,20.49,19.51,8,0,0,17.56,1.2,9.42,9.71,9,0,0,0.41,1,67.8,80.8,8.6,7.8,11.1,107.08,115.1,0.1,2,29.39,16.41
