"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,3.75,24.50,14.92,77.03,5.13,2.82,163.91,112.36,101.94,44.06,35.37,200.30,13.33,1.97,6.88,87.69,6.39,9.98,35.64,5.46,8.24,0.00,0.00,31.72,62.25,63.00,31.70,130.81,139.33,130.84,0.00,70.57,45.58,30.17,46.40,54.97,30.67,30.56,30.55,46.51,46.54,80.36,0.00,203.20,14.04,20.25
2.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,3.75,24.50,14.92,81.52,5.13,2.82,163.91,112.36,101.94,44.06,35.37,200.30,13.33,1.97,6.88,87.69,6.39,9.98,39.53,5.46,9.14,0.00,0.00,26.85,26.84,26.86,26.85,0.00,188.35,184.23,0.00,70.87,53.02,43.84,43.80,54.97,30.67,30.56,30.55,46.65,46.68,21.76,0.00,203.20,14.04,20.25
3.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,3.75,24.50,14.92,81.58,5.13,2.82,163.91,112.36,101.94,44.06,35.37,200.30,13.33,1.97,6.88,87.69,6.39,9.98,40.12,5.46,9.28,0.00,0.00,32.82,0.00,67.88,50.98,0.00,197.14,184.23,0.00,70.87,53.07,20.62,39.18,54.97,30.67,30.56,30.55,46.48,46.51,52.03,0.00,203.20,14.04,20.25
4.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,110.37,17.91,3.75,24.50,14.92,84.03,5.13,2.82,163.91,112.36,101.94,44.06,35.37,200.30,13.33,1.97,6.88,87.69,6.39,9.98,38.36,5.46,8.87,0.00,0.00,0.00,0.00,53.87,53.52,0.00,197.14,184.23,0.00,67.01,60.92,44.17,48.27,54.97,30.67,30.56,30.55,46.53,46.56,81.97,0.00,203.20,14.04,20.25
5.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,104.65,17.91,3.75,24.50,14.92,86.99,5.13,2.82,163.91,112.36,94.97,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,31.46,5.46,7.28,144.33,0.00,0.00,67.10,61.17,0.00,0.00,197.14,184.23,0.00,67.01,67.01,29.35,45.45,54.97,30.67,30.56,30.55,46.36,46.39,26.62,26.62,203.20,14.04,20.25
6.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,106.05,17.91,3.75,24.50,14.92,87.82,5.13,2.82,163.91,112.36,96.67,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,34.61,5.46,8.01,144.33,0.00,0.00,0.00,0.00,61.17,130.75,139.26,130.78,0.00,67.01,67.01,40.81,50.95,54.97,30.67,30.56,30.55,46.51,46.53,0.00,61.42,203.20,14.04,20.25
7.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,106.72,17.91,3.75,24.50,14.92,81.71,5.13,2.82,163.91,112.36,97.49,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,36.87,5.46,8.53,144.33,0.00,0.00,0.00,0.00,67.33,122.57,130.11,122.60,0.00,67.01,67.01,41.76,51.36,54.97,30.67,30.56,30.55,46.65,46.68,0.00,83.51,203.20,14.04,20.25
8.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,106.20,17.91,3.75,24.50,14.92,81.71,5.13,2.82,163.91,112.36,96.85,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,37.38,5.46,8.65,144.33,0.00,25.00,0.00,0.00,0.00,102.84,108.99,102.85,0.00,69.28,34.81,43.44,48.12,54.97,30.67,30.56,30.55,46.36,46.39,0.00,25.92,203.20,14.04,20.25
9.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,107.35,17.91,3.75,24.50,14.92,81.71,5.13,2.82,163.91,112.36,98.26,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,40.04,5.46,9.26,144.33,0.00,67.50,0.00,0.00,20.62,121.18,0.00,121.21,0.00,67.01,30.93,39.08,50.21,54.97,30.67,30.56,30.55,46.51,46.53,43.79,43.78,203.20,14.04,20.25
10.00,28.67,29.95,67.13,635.03,206.59,7.75,8.13,108.20,17.91,3.75,24.50,14.92,63.60,5.13,2.82,163.91,112.36,99.29,44.06,33.15,200.30,13.33,1.97,6.88,87.69,6.39,9.98,40.66,5.46,9.40,144.33,0.00,0.00,0.00,0.00,67.33,175.11,0.00,0.00,0.00,67.01,30.93,43.53,48.13,54.97,30.67,30.56,30.55,46.51,46.53,45.37,45.36,203.20,14.04,20.25
