"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,0.00,5.84,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,18.90,21.53,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,2.70,18.00,0.00,27.00,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,50.57,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,5.03,5.42,18.90,0.00,0.00,0.00,0.00,10.76,7.64,1.60,1.76,0.00,19.00,27.45,0.00,1.04,0.00,0.00,0.00,8.50
2.00,0.00,6.46,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,17.60,17.28,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,2.50,16.90,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,40.24,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,4.57,5.33,18.90,0.00,0.00,0.00,0.00,11.35,10.51,1.58,1.50,0.00,17.57,19.48,0.00,1.04,0.00,0.00,0.00,8.50
3.00,0.00,6.80,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,16.30,12.43,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,2.10,15.40,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,29.74,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,4.43,5.27,18.90,0.00,0.00,0.00,0.00,11.23,13.74,1.56,1.33,0.00,15.92,13.33,0.00,1.00,0.00,0.00,0.00,8.50
4.00,0.00,6.89,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,15.70,11.25,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,1.40,13.50,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,22.66,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,4.41,5.23,18.90,0.00,0.00,0.00,0.00,10.52,13.84,1.53,1.20,0.00,14.20,10.75,0.00,1.04,0.00,0.00,0.00,8.50
5.00,0.00,6.84,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,15.40,10.21,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,0.60,11.60,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,16.74,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,4.18,5.19,18.90,0.00,0.00,0.00,0.00,9.61,12.90,1.56,1.10,0.00,12.46,9.42,0.00,1.04,0.00,0.00,0.00,8.50
6.00,0.00,6.63,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,15.80,8.74,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,0.20,10.20,0.00,27.00,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,16.45,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,3.89,5.14,18.90,0.00,0.00,0.00,0.00,9.05,11.69,1.60,1.01,0.00,13.65,8.99,0.00,1.00,0.00,0.00,0.00,8.50
7.00,0.00,6.47,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,16.30,8.15,8.00,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,0.90,9.00,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,18.00,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,3.80,5.08,18.90,0.00,0.00,0.00,0.00,7.94,10.74,1.46,0.91,0.00,11.81,10.80,0.00,1.04,0.00,0.00,0.00,8.50
8.00,0.00,6.51,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,17.00,6.25,1.70,4.20,15.53,1.60,18.93,10.00,4.50,6.50,2.80,0.00,0.80,7.70,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,13.86,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,3.78,5.02,18.90,0.00,0.00,0.00,0.00,7.69,8.72,1.26,0.80,0.00,9.91,7.63,0.00,1.04,0.00,0.00,0.00,8.50
9.00,0.00,6.74,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,17.60,3.93,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,0.70,6.50,0.00,27.30,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,7.81,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,3.74,5.08,18.90,0.00,0.00,0.00,0.00,6.72,7.35,1.08,0.76,0.00,7.98,7.11,0.00,1.00,0.00,0.00,0.00,8.50
10.00,0.00,7.44,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,0.00,0.00,4.00,0.00,7.00,17.60,2.83,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,1.00,5.80,0.00,27.30,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,3.01,7.50,6.50,19.42,2.00,10.60,7.63,5.80,1.20,3.70,5.18,18.90,0.00,0.00,0.00,0.00,4.71,5.12,0.90,0.75,0.00,6.06,4.35,0.00,1.00,0.00,0.00,0.00,8.50
