"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
1.00,7.02,16.92,7.97,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,15.61,17.66,17.48,0.00,4.30,7.90,50.00,7.90,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,14.74,1.93,9.19,3.35,27.00,19.42,17.96,144.28,17.96,34.06,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,5.91,5.12,18.00,0.00,0.00,0.70,1.00,20.05,0.00,2.49,0.00,103.19,25.80,93.00,0.10,2.00,78.24,241.73,11.00,143.00
2.00,4.12,18.66,5.20,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,12.36,16.33,17.48,0.00,4.30,7.71,50.00,7.90,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,13.43,1.83,8.32,3.35,27.00,19.42,17.96,119.17,17.96,27.47,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,5.81,4.90,18.00,0.00,0.00,0.50,1.00,20.05,0.00,2.49,0.00,91.55,27.50,101.00,0.10,2.00,64.27,218.87,11.00,109.00
3.00,1.80,18.50,3.29,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,2.25,13.47,17.48,0.00,4.30,7.33,50.00,7.90,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,9.39,1.80,8.04,3.35,27.00,19.42,17.96,76.76,17.96,18.29,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,5.54,4.53,18.00,0.00,0.00,0.43,1.00,23.44,0.00,2.78,0.00,68.96,29.20,108.00,0.10,2.00,36.34,182.87,11.00,55.00
4.00,0.49,17.90,1.74,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,8.13,17.48,0.00,4.30,6.87,50.00,7.90,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,3.90,1.83,8.34,3.35,27.00,19.42,17.96,36.27,17.96,8.57,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,5.22,4.12,18.00,0.00,0.00,0.30,1.00,23.44,0.00,2.78,0.00,36.83,30.50,113.00,0.00,2.00,12.56,133.77,11.00,2.00
5.00,0.05,17.19,0.45,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,3.08,17.48,0.00,4.30,6.52,50.00,7.90,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,0.72,1.99,9.33,3.35,27.00,19.42,17.96,9.25,17.96,1.92,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,4.59,3.55,18.00,0.00,0.00,0.10,1.00,23.44,0.00,2.78,0.00,7.58,31.80,114.00,0.00,2.00,2.01,78.76,11.00,1.00
6.00,0.00,17.53,0.06,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.56,17.48,0.00,4.30,6.21,50.00,7.90,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.07,2.30,10.99,3.35,27.00,19.42,17.96,1.46,17.96,0.22,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,3.87,2.93,18.00,0.00,0.00,0.05,1.00,23.44,0.00,2.78,0.00,0.94,32.80,110.00,0.00,2.00,0.17,21.09,11.00,0.00
7.00,0.00,17.58,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,6.06,50.00,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,2.69,12.67,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,115.40,12.82,19.42,7.00,10.80,8.34,17.48,2.40,2.95,2.04,18.00,0.00,0.00,0.00,1.00,30.31,33.82,3.67,1.64,0.00,33.80,105.00,0.00,2.00,0.00,0.00,11.00,0.00
8.00,0.00,17.71,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,5.98,43.40,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,3.17,14.38,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,112.10,12.82,19.42,7.00,10.80,8.34,17.48,2.40,1.97,1.06,18.00,0.00,0.00,0.00,1.00,30.31,33.82,3.67,1.64,0.00,34.70,97.00,0.00,2.00,0.00,0.00,11.00,0.00
9.00,0.00,17.50,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,6.20,37.10,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,3.58,16.05,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,107.00,12.82,19.42,7.00,10.80,8.34,17.48,2.40,1.61,0.78,18.00,0.00,0.00,0.00,1.00,53.21,60.32,6.44,2.95,0.00,35.50,90.00,0.00,2.00,0.00,0.00,11.00,0.00
10.00,0.00,17.77,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,6.53,31.60,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,3.95,17.68,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,101.30,12.82,19.42,7.00,10.80,8.34,17.48,2.40,1.47,0.74,18.00,0.00,0.00,0.00,1.00,53.21,60.32,6.44,2.95,0.00,35.40,84.00,0.00,2.00,0.00,0.00,11.00,0.00
11.00,0.00,17.47,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,7.17,28.20,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,4.38,18.98,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,93.70,12.82,19.42,7.00,10.80,8.34,17.48,2.40,1.24,0.67,18.00,0.00,0.00,0.00,1.00,57.96,61.75,7.39,3.80,0.00,35.30,77.00,0.00,2.00,0.00,0.00,11.00,0.00
12.00,0.00,17.80,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,7.91,25.60,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,4.88,19.95,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,86.90,12.82,19.42,7.00,10.80,8.34,17.48,2.40,0.98,0.58,18.00,0.00,0.00,0.00,1.00,57.96,61.75,7.39,3.80,0.00,35.00,71.00,0.00,2.00,0.00,0.00,11.00,0.00
13.00,0.00,17.60,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,8.53,25.10,8.00,0.00,15.53,2.50,18.45,9.50,10.68,14.56,1.45,0.00,5.32,20.54,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,82.30,12.82,19.42,7.00,10.80,8.34,17.48,2.40,0.89,0.52,18.00,0.00,0.00,0.00,1.00,67.26,72.24,8.31,3.80,0.00,34.80,65.00,0.00,2.00,0.00,0.00,11.00,0.00
14.00,0.00,17.51,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,9.10,24.80,8.00,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,0.00,5.68,20.74,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,77.50,12.82,19.42,7.00,10.80,8.34,17.48,2.40,0.86,0.46,18.00,0.00,0.00,0.00,1.00,67.26,72.24,8.31,3.80,0.00,34.70,60.00,0.00,2.00,0.00,0.00,11.00,0.00
15.00,0.00,17.54,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,9.49,25.30,8.00,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,0.00,5.86,20.39,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,72.30,12.82,19.42,7.00,10.80,8.34,17.48,2.40,0.76,0.43,18.00,0.00,0.00,0.00,1.00,57.02,66.28,4.01,1.60,0.00,34.70,54.00,0.00,2.00,0.00,0.00,11.00,0.00
16.00,0.00,17.67,0.00,14.00,3.00,7.50,6.40,8.30,3.40,0.40,0.00,20.39,0.00,0.00,17.48,0.00,4.30,9.83,25.30,8.00,0.00,3.40,2.50,18.45,9.50,10.68,14.56,1.45,0.00,5.84,19.49,3.35,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,66.30,12.82,19.42,7.00,10.80,8.34,17.48,2.40,0.64,0.41,18.00,0.00,0.00,0.00,1.00,57.02,66.28,4.01,1.60,0.00,34.00,49.00,0.00,2.00,0.00,0.00,11.00,0.00
