"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,13.85,22.73,14.60,0.00,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,17.71,17.26,17.49,0.00,6.80,1.91,8.69,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,14.53,6.90,24.30,3.30,26.20,19.44,18.46,141.93,17.88,39.93,0.60,19.44,19.44,19.44,1.20,7.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,1.80,2.20,18.90,0.00,0.00,0.68,1.00,29.95,36.92,2.90,2.26,109.29,39.72,9.00,0.30,2.00,79.25,252.40,6.50,203.90,24.00,0.28,45.89
2.00,15.35,23.06,15.68,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,17.33,17.39,17.49,0.00,6.80,1.12,6.87,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,14.74,7.80,27.50,3.30,26.10,19.44,18.46,142.80,17.88,39.95,0.60,19.44,19.44,19.44,1.20,6.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.10,2.20,18.90,0.00,0.00,0.76,1.00,26.82,34.20,3.80,2.90,110.39,44.96,9.00,0.30,2.00,79.59,252.40,6.50,204.00,24.00,0.30,47.38
3.00,16.44,22.99,16.73,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,17.77,17.55,17.49,0.00,6.80,3.39,7.50,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,14.91,8.70,31.60,3.30,26.00,19.44,18.46,143.21,17.88,39.97,0.60,19.44,19.44,19.44,1.20,5.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.20,2.30,18.90,0.00,0.00,0.83,1.00,34.20,38.20,4.40,3.53,110.89,49.58,10.00,0.30,2.00,79.72,252.40,6.50,204.00,24.00,0.32,48.88
4.00,17.24,23.30,17.64,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,18.43,17.73,17.49,0.00,6.80,2.85,9.70,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.07,9.70,35.40,3.30,25.90,19.44,18.46,143.27,17.88,39.97,0.60,19.44,19.44,19.44,1.20,6.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.40,2.40,18.90,0.00,0.00,0.85,1.00,39.60,42.80,4.90,4.12,111.05,52.36,12.00,0.40,2.00,79.86,252.40,6.50,204.00,24.00,0.32,49.52
5.00,17.91,23.22,18.13,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,18.78,17.88,17.49,0.00,6.80,2.94,9.30,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.17,10.70,38.50,3.30,25.70,19.44,18.46,142.88,17.88,39.96,0.60,19.44,19.44,19.44,1.20,9.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.50,2.80,18.90,0.00,0.00,0.84,1.00,44.50,47.10,5.30,4.59,110.50,55.80,17.00,0.40,2.00,79.91,252.40,6.50,204.00,24.00,0.33,50.17
6.00,18.32,23.43,18.32,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,18.18,17.98,17.49,0.00,6.80,4.94,13.60,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.14,11.60,41.40,3.30,25.50,19.44,18.46,142.67,17.88,39.92,0.60,19.44,19.44,19.44,1.20,13.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.60,3.00,18.90,0.00,0.00,0.85,1.00,48.90,50.90,5.70,4.66,109.78,61.24,23.00,0.40,2.00,79.93,252.40,6.50,204.00,24.00,0.33,50.16
7.00,18.27,23.56,18.11,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,16.97,18.06,17.49,0.00,6.80,7.05,16.90,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.16,12.00,44.00,3.30,25.30,19.44,18.46,142.30,17.88,39.84,0.60,19.44,19.44,19.44,1.20,23.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.30,2.60,18.90,0.00,0.00,0.85,1.00,51.90,53.00,6.10,4.79,109.23,65.84,32.00,0.40,2.00,79.93,252.40,6.50,204.00,24.00,0.32,50.15
8.00,17.75,23.62,17.46,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,16.73,18.10,17.49,0.00,6.80,9.51,19.90,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.15,12.50,46.60,3.30,25.30,19.44,18.46,141.82,17.88,39.59,0.60,19.44,19.44,19.44,1.20,37.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.30,2.20,18.90,0.00,0.00,0.84,1.00,54.50,54.90,6.40,5.13,108.45,67.91,44.00,0.30,2.00,79.92,252.40,6.50,204.00,24.00,0.32,49.64
9.00,16.22,23.58,16.15,14.70,4.20,7.70,7.20,19.14,2.50,0.40,3.00,19.00,17.52,18.03,17.49,0.00,6.80,11.25,21.90,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,15.04,13.50,49.50,3.30,25.10,19.44,18.46,141.06,17.88,39.20,0.60,19.44,19.44,19.44,1.20,53.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,2.60,2.10,18.90,0.00,0.00,0.84,1.00,56.00,56.30,6.50,5.45,106.87,69.92,55.00,0.20,2.00,79.90,252.40,6.50,204.00,24.00,0.33,49.14
10.00,14.57,23.57,14.74,14.70,4.20,7.70,7.20,19.14,3.50,0.40,3.00,19.00,18.29,17.97,17.49,0.00,6.80,10.84,23.60,8.10,5.50,8.60,4.60,18.46,18.46,19.44,19.44,0.00,14.85,14.30,52.20,3.30,25.10,19.44,18.46,139.07,17.88,38.71,0.60,19.44,19.44,19.44,1.20,71.00,8.00,19.44,8.00,10.70,7.15,17.49,2.40,3.10,2.30,18.90,0.00,0.00,0.71,1.00,58.10,58.10,6.70,5.74,103.62,71.75,67.00,0.20,2.00,79.87,252.40,6.50,203.90,24.00,0.33,46.29
