"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
12.00,6.99,16.99,0.23,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,0.01,4.44,3.10,0.00,7.40,28.20,73.20,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,0.18,17.57,58.50,2.40,26.30,3.80,10.68,13.56,19.00,1.69,0.60,7.00,8.00,8.00,1.20,111.70,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,15.73,17.38,18.90,0.00,0.00,0.34,0.20,70.80,70.90,6.94,5.99,12.87,78.10,112.80,0.10,1.08,6.29,101.66,5.00,0.00,11.00
13.00,0.70,16.81,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.50,3.10,0.00,7.40,27.90,68.40,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,0.00,17.85,59.40,2.40,26.60,3.80,10.68,0.98,19.00,0.03,0.60,7.00,8.00,8.00,1.20,108.50,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,15.64,17.30,18.90,0.00,0.00,0.12,0.20,70.80,70.80,6.28,5.07,0.87,89.50,104.60,0.00,1.12,0.38,44.91,5.00,0.00,11.00
14.00,0.00,16.99,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,27.40,64.50,2.10,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.13,59.90,2.40,26.80,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,102.10,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,15.54,17.21,18.90,0.00,0.00,0.06,0.20,70.40,69.50,5.85,4.60,0.00,90.50,92.20,0.00,1.16,0.00,11.16,5.00,0.00,11.00
15.00,0.00,17.01,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,26.50,63.30,6.80,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.39,59.20,2.40,27.00,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,94.60,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,15.23,17.02,18.90,0.00,0.00,0.00,0.20,68.50,67.70,5.51,4.29,0.00,91.40,78.40,0.00,1.24,0.00,0.00,5.00,0.00,11.00
16.00,0.00,16.89,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,25.50,61.40,8.00,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.64,58.70,2.40,27.20,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,85.30,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,14.84,16.81,18.90,0.00,0.00,0.00,0.20,66.10,72.60,5.48,4.17,0.00,91.10,67.90,0.00,1.24,0.00,0.00,5.00,0.00,11.00
17.00,0.00,16.96,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,24.10,57.50,8.00,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.75,58.90,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,75.30,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,14.24,16.47,18.90,0.00,0.00,0.00,0.20,65.70,73.20,5.55,4.13,0.00,90.40,58.40,0.00,1.24,0.00,0.00,5.00,0.00,11.00
18.00,0.00,17.12,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,22.80,54.40,8.00,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.73,58.90,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,68.80,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.56,16.08,18.90,0.00,0.00,0.00,0.20,66.00,74.00,5.19,3.90,0.00,90.20,53.80,0.00,1.24,0.00,0.00,5.00,0.00,11.00
19.00,0.00,17.37,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,21.60,53.30,8.00,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.58,58.30,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,63.60,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.17,15.76,18.90,0.00,0.00,0.00,0.20,66.00,74.90,4.67,3.61,0.00,90.10,50.90,0.00,1.24,0.00,0.00,5.00,0.00,11.00
20.00,0.00,17.00,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,20.60,51.10,8.00,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,18.30,57.50,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,56.00,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,12.87,15.45,18.90,0.00,0.00,0.00,0.20,65.80,74.90,4.15,3.31,0.00,88.90,44.30,0.00,1.24,0.00,0.00,5.00,0.00,11.00
21.00,0.00,16.42,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,20.10,45.30,6.70,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,17.88,55.90,2.40,27.40,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,47.60,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,12.99,15.44,18.90,0.00,0.00,0.00,0.20,65.40,84.70,3.63,2.99,0.00,87.40,36.40,0.00,1.20,0.00,0.00,5.00,0.00,11.00
22.00,0.00,16.99,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,19.70,39.70,5.20,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,17.31,54.00,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,50.50,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.26,15.52,18.90,0.00,0.00,0.00,0.20,69.00,84.40,3.38,2.68,0.00,95.20,31.30,0.00,1.20,0.00,0.00,5.00,0.00,11.00
23.00,0.00,17.70,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,19.60,34.90,5.10,5.00,15.53,4.40,18.45,10.00,7.00,10.00,2.80,0.00,16.68,51.20,2.40,27.20,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,33.60,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.51,15.64,18.90,0.00,0.00,0.00,0.20,64.40,84.10,3.23,2.37,0.00,82.80,27.10,0.00,1.20,0.00,0.00,5.00,0.00,11.00
24.00,0.00,18.70,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,19.60,29.90,5.10,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,0.00,16.00,48.30,2.40,27.30,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,27.90,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.77,15.77,18.90,0.00,0.00,0.00,0.20,63.60,81.80,2.80,1.96,0.00,80.10,22.90,0.00,1.16,0.00,0.00,5.00,0.00,11.00
25.00,0.00,19.58,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,20.20,24.30,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,0.00,15.15,45.10,2.40,27.40,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,22.60,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.50,15.60,18.90,0.00,0.00,0.00,0.20,60.70,78.70,2.28,1.51,0.00,77.20,18.80,0.00,1.20,0.00,0.00,5.00,0.00,11.00
26.00,0.00,19.06,0.00,14.00,4.20,7.20,3.00,9.00,1.82,0.00,3.40,19.63,0.00,0.00,3.10,0.00,7.40,20.80,19.00,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,0.00,14.13,42.00,2.40,27.50,3.80,10.68,0.00,19.00,0.00,0.60,7.00,8.00,8.00,1.20,18.30,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,13.07,15.33,18.90,0.00,0.00,0.00,0.20,57.10,75.40,2.28,1.51,0.00,73.70,16.60,0.00,1.16,0.00,0.00,5.00,0.00,11.00
