Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario,Capacidad Instalada,Generaci?n M?nima,Servicios Auxiliares,Costo de OM,Coef. de Producci?n Promedio,Factor de Indisponibilidad,Tiempo de Llegada,Tiempo de Llegada,Minimo,Maximo,CostoVerPH,Vertimiento,Estado
1,SHEQUE,2,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.15,0.43,0,,,1
2,HUINCO RES,3,1,0,0,0,0,0,0,0,0,1,0,10.5,,5000,,0.02,0.26,0,,,1
3,LAGO JUNIN,100,0,0,0,0,0,0,0,0,0,1,0,300,,5000,,115,556.17,0,,,1
4,PRESA MALPASO,101,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,20.466,25.882,0,,,1
5,AGUADA BLANCA,103,1,0,0,0,0,0,0,0,0,1,0,5000,0,5000,,26,43,0,,,1
6,CAMPANARIO,104,1,0,0,0,0,0,0,0,0,1,0,5000,0,5000,,0.0253,0.0905,0,,,1
7,CINCEL,105,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.062,0.1928,0,,,1
8,CIRATO,106,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.2165,0.5977,0,,,1
9,ARICOTA RES,109,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.045,0.045,0,,,1
10,PRESA GALLITO CIEGO,111,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,300,300,0,,,1
11,PRESA COMPEN GALLITO,112,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.72,0.72,0,,,1
12,SAN GABAN,113,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.025,0.148,0,,,1
13,TULUMAYO,114,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.2,1.5,0,,,1
14,SAN DIEGO,115,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0,0.72,0,,,1
15,HUALLAMAYO,116,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,0.6124,1.0254,0,,,1
16,TABLACHACA,118,1,0,0,0,0,0,0,0,0,1,0,5000,,5000,,1.4121,3.4454,0,,,1
17,CHAGLLA EM,756,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,346.63,356.298,0,,,1
18,AGUASHCOCHA EM,799,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,9.613,0,,,1
19,HUACHON,827,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,71.35,0,,,1
20,LAGUNAS ELP,829,0,0,0,0,0,0,0,0,0,1,0,30,,5000,,0,212.66,0,,,1
21,MACUSANI,830,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,37.46,0,,,1
22,PICUNCHE,832,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.085,0.4874,0,,,1
23,SHAPIRINGO,833,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.0003,0.27,0,,,1
24,RAJUCOLTA EM,834,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,10.831,0,,,1
25,SIBINACOCHA EM,835,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,40,120,0,,,1
26,VICONGA EM,836,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,30,0,,,1
27,VICTORIA EM,837,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,1.51,0,,,1
28,CERRO DEL AGUILA EM,838,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,14.5096,25.8601,0,,,1
29,CULLICOCHA EM,839,0,0,0,0,0,0,0,0,0,1,,5000,,5000,,0,11,0,,,1
30,PALLCA,840,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.263,0.636,0,,,1
31,EMB CHECRAS,879,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.152,0.578,0,,,1
32,RESER CAPILLUCAS,882,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.02,1.353,0,,,1
33,PULMON MATUCANA,1025,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.02,0.06,0,,,1
34,TOMA HUAMPANI,1042,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.03,0.03,0,,,1
35,RESERV RESTIT,2003,1,0,0,0,0,0,0,0,0,1,,5000,,5000,,0.119,0.59,0,,,1
36,TOMA SURCO,2246,1,0,0,0,0,0,0,0,0,1,0,12.5,0,5000,,0.03,0.031,,,,1
