Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,KALLPA-TG1,1987,1,0,0,0,0,0,0,0,0,1
2,KALLPA-TG2,1988,1,0,0,0,0,0,0,0,0,1
3,KALLPA-TG3,1989,1,0,0,0,0,0,0,0,0,1
4,KALLPA-TV,1990,1,0,0,0,0,0,0,0,0,1
5,OLLEROS-TG1,1991,1,0,0,0,0,0,0,0,0,1
6,CHILCA1-TG1,1992,1,0,0,0,0,0,0,0,0,1
7,CHILCA1-TG2,1993,1,0,0,0,0,0,0,0,0,1
8,CHILCA1-TG3,1994,1,0,0,0,0,0,0,0,0,1
9,CHILCA1-TV,1995,1,0,0,0,0,0,0,0,0,1
10,VENTANILLA-TG3,1996,1,0,0,0,0,0,0,0,0,1
11,VENTANILLA-TG4,1997,1,0,0,0,0,0,0,0,0,1
12,FENIX-TG11,1998,1,0,0,0,0,0,0,0,0,1
13,FENIX-TG12,1999,1,0,0,0,0,0,0,0,0,1
14,FENIX-TV,2000,1,0,0,0,0,0,0,0,0,1
15,CHILCA2-TG1,2001,1,0,0,0,0,0,0,0,0,1
16,VENTANILLA-TV,2002,1,0,0,0,0,0,0,0,0,1
17,SANTA ROSA - UTI5,2225,1,0,0,0,0,0,0,0,0,1
18,SANTA ROSA - UTI6,2226,1,0,0,0,0,0,0,0,0,1
19,SANTA ROSA - TG7,2227,1,0,0,0,0,0,0,0,0,1
20,OQUENDO,2234,1,0,0,0,0,0,0,0,0,1
21,MALACAS - TG5,2235,1,0,0,0,0,0,0,0,0,1
22,OQUENDO-TV,2389,1,0,0,0,0,0,0,0,0,1
