Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,KALLPATG1,11,1,0,0,0,0,1,0,0,0,1
2,KALLPATG2,12,1,0,0,0,0,1,0,0,0,1
3,KALLPATG3,13,1,0,0,0,0,1,0,0,0,1
4,KALLPATV,14,1,0,0,0,0,1,0,0,0,1
5,CHILCA1_TG11,26,1,0,0,0,0,2,0,0,0,1
6,CHILCA1_TG12,27,1,0,0,0,0,2,0,0,0,1
7,CHILCA1_TG13,28,1,0,0,0,0,2,0,0,0,1
8,CHILCA1_TV,29,1,0,0,0,0,2,0,0,0,1
9,AGE_TG1,144,1,0,0,0,0,3,0,0,0,1
10,AGE_TG2,145,1,0,0,0,0,3,0,0,0,1
11,MAK1,149,1,0,0,0,0,4,0,0,0,1
12,MAK2,150,1,0,0,0,0,4,0,0,0,1
13,M_TG4,154,1,0,0,0,0,5,0,0,0,1
14,M_TG5,155,1,0,0,0,0,23,0,0,0,1
15,VENT_TV,161,1,0,0,0,0,6,0,0,0,1
16,VENT_TG3,162,1,0,0,0,0,6,0,0,0,1
17,VENT_TG4,163,1,0,0,0,0,6,0,0,0,1
18,DOLORES1_ALCO1,177,1,0,0,0,0,176,0,0,0,1
19,DOLORES1_ALCO2,178,1,0,0,0,0,176,0,0,0,1
20,DOLORES1_GM1,179,1,0,0,0,0,176,0,0,0,1
21,DOLORES1_GM2,180,1,0,0,0,0,176,0,0,0,1
22,DOLORES1_GM3,181,1,0,0,0,0,176,0,0,0,1
23,DOLORES2_SLZ1,184,1,0,0,0,0,183,0,0,0,1
24,DOLORES2_SLZ2,185,1,0,0,0,0,183,0,0,0,1
25,PLANTAILO_TG2,188,1,0,0,0,0,7,0,0,0,1
26,PLANTAILO_TG3,189,1,0,0,0,0,7,0,0,0,1
27,PLANTAILO_TG1,190,1,0,0,0,0,7,0,0,0,1
28,ILO2_CARB_TV1,208,1,0,0,0,0,8,0,0,0,1
29,INDEP_WAR1,225,1,0,0,0,0,9,0,0,0,1
30,INDEP_WAR2,226,1,0,0,0,0,9,0,0,0,1
31,INDEP_WAR3,227,1,0,0,0,0,9,0,0,0,1
32,INDEP_WAR4,228,1,0,0,0,0,9,0,0,0,1
33,FENIX GT12,231,1,0,0,0,0,230,0,0,0,1
34,OLLEROS TG1,235,1,0,0,0,0,10,0,0,0,1
35,TG1-LAS FLORES,238,1,0,0,0,0,11,0,0,0,1
36,OQUENDO_TG1,241,1,0,0,0,0,240,0,0,0,1
37,CUMMINS,247,1,0,0,0,0,12,0,0,0,1
38,SH_TV1,248,1,0,0,0,0,12,0,0,0,1
39,SH_TV2,249,1,0,0,0,0,12,0,0,0,1
40,SH_TV3,250,1,0,0,0,0,12,0,0,0,1
41,CHI_SLZ12_SLZ1,256,1,0,0,0,0,13,0,0,0,1
42,CHI_SLZ12_SLZ2,257,1,0,0,0,0,13,0,0,0,1
43,MOLL123_GD1,267,1,0,0,0,0,14,0,0,0,1
44,MOLL123_GD2,268,1,0,0,0,0,14,0,0,0,1
45,MOLL123_GD3,269,1,0,0,0,0,14,0,0,0,1
46,TG8 SIEMENS,641,1,0,0,0,0,640,0,0,0,1
47,FENIX GT12,647,1,0,0,0,0,646,0,0,0,1
48,OQUENDO_TG1,649,1,0,0,0,0,648,0,0,0,1
49,FENIX GT11,651,1,0,0,0,0,15,0,0,0,1
50,FENIX TV10,652,1,0,0,0,0,15,0,0,0,1
51,FENIX GT12,653,1,0,0,0,0,15,0,0,0,1
52,TG1-01MKA10,677,1,0,0,0,0,16,0,0,0,1
53,BLOQUE A,734,1,0,0,0,0,733,0,0,0,1
54,BLOQUE B,735,1,0,0,0,0,733,0,0,0,1
55,PUERTO BRAVO TG1,742,1,0,0,0,0,17,0,0,0,1
56,PUERTO BRAVO TG2,743,1,0,0,0,0,17,0,0,0,1
57,PUERTO BRAVO TG4,744,1,0,0,0,0,17,0,0,0,1
58,PUERTO BRAVO TG3,745,1,0,0,0,0,17,0,0,0,1
59,NEPI_TG41,762,1,0,0,0,0,18,0,0,0,1
60,NEPI_TG43,763,1,0,0,0,0,18,0,0,0,1
61,NEPI_TG42,764,1,0,0,0,0,18,0,0,0,1
62,GT-1,769,1,0,0,0,0,19,0,0,0,1
63,GT-2,771,1,0,0,0,0,19,0,0,0,1
64,G1-G11,775,1,0,0,0,0,20,0,0,0,1
65,G1-G22,812,1,0,0,0,0,21,0,0,0,1
66,TG6,886,1,0,0,0,0,22,0,0,0,1
67,CHILCA2_TG41,1017,1,0,0,0,0,24,0,0,0,1
68,CHILCA2_TV42,1018,1,0,0,0,0,24,0,0,0,1
69,CHILTG_D2,1021,1,0,0,0,0,13,0,0,0,1
70,UTI5,1027,1,0,0,0,0,25,0,0,0,1
71,UTI6,1028,1,0,0,0,0,25,0,0,0,1
72,TG7 WEST,1029,1,0,0,0,0,25,0,0,0,1
73,TG8 GAS,1039,1,0,0,0,0,26,0,0,0,1
74,OLLEROS TV,1965,1,0,0,0,0,10,0,0,0,1
75,ECUADOR-TG,2123,1,0,0,0,0,27,0,0,0,1
76,TV1-OQUENDO,2251,0,0,0,0,0,28,0,0,0,1
77,TV2 REFINERIA TALARA,2328,0,0,0,0,0,29,0,0,0,1
78,TV1 REFINERIA TALARA,2329,0,0,0,0,0,29,0,0,0,1
