8,Capacidad,5,0,CAPACIDAD,3,DECIMAL,MW,Cap,
8,Perdidas Máximas,76,0,Perdidas Máximas,4,BOOLEAN,,,
8,Reduccion de Barra,79,0,Reduccion,5,BOOLEAN,,,
8,Capacidad Relajada,7,0,Capacidad Relajada,6,DECIMAL,Mvar,Caprel,
8,Perdidas Transversales,8,0,Perdidas Transversales,7,DECIMAL,MW,,
8,Tipo de Linea,2,0,TIPO DE LINEA,8,BOOLEAN,,,
8,Penalizaci?n por P?rdidas,6,0,Penalizaci?n por P?rdidas,9,DECIMAL,$/MWh,,
8,Conductancia/2 (S),101,0,Conductancia/2 (S),10,DECIMAL,,G,
8,Susceptancia/2 (S),102,0,Susceptancia/2 (S),11,DECIMAL,,S,
9,ConsideraEscenario,38,0,Considera en Escenario?,0,BOOLEAN,,,
9,Resistencia,50,0,RESISTENCIA 2D,1,DECIMAL,MW,,
9,Reactancia,51,0,REACTANCIA 2D,2,DECIMAL,%,,
9,Capacidad,52,0,CAPACIDAD 2D,3,DECIMAL,MW,,
9,Perdidas Máximas,77,0,Perdidas Máximas,4,BOOLEAN,,,
9,Reduccion de Barra,80,0,Reduccion,5,,,,
9,Capacidad Ilimitada,103,0,Capacidad Ilimitada,6,BOOLEAN,,Caprel,
10,Considera en Escenario?,39,0,Considera en Escenario?,0,BOOLEAN,,,
10,Resistencia,53,0,RESISTENCIA 3D,1,DECIMAL,MW,,
10,Reactancia,54,0,REACTANCIA 3D,2,DECIMAL,%,,
10,Capacidad,55,0,CAPACIDAD 3D,3,DECIMAL,MW,,
10,Perdidas Máximas,78,0,Perdidas Máximas,4,BOOLEAN,,,
10,Reduccion de Barra,81,0,Reduccion,5,,,,
10,Capacidad Ilimitada,104,0,Capacidad Ilimitada,6,BOOLEAN,,Caprel,
11,Considera en Escenario,70,0,Considera en Escenario,0,BOOLEAN,,,
11,ProvBaseUp,91,0,Provision Base Up,1,INTEGER,,,
11,PotTramo1Up,93,0,Potencia Tramo 1 Up,2,DECIMAL,,,
11,PotTramo1Dn,94,0,Potencia Tramo 1 Dn,3,DECIMAL,,,
11,PrecTramo1Up,95,0,Precio Tramo 1 Up,4,DECIMAL,,,
11,PrecTramo1Dn,99,0,Precio Tramo 1 Dn,5,DECIMAL,,,
11,ProvBaseDn,100,0,Provision Base Dn,6,INTEGER,,,
12,Considera en Escenario,67,0,Considera en Escenario,0,DECIMAL,,,
12,HARRIBA,65,0,HACIA ARRIBA,1,DECIMAL,,,
12,HABAJO,66,0,HACIA ABAJO,2,DECIMAL,,,
12,Tiempomin,89,0,Tiempo Minimo,3,DECIMAL,,,
13,Considera Escenario,88,0,CONSIDERA ESCENARIO,0,BOOLEAN,,,
13,UNIDAD,87,0,UNIDAD,1,STRING,,,
18,Considera Escenario,108,0,Considera escenario,0,BOOLEAN,,,
18,Precio Combustible (*),105,0,Precio Combustible (*),1,DECIMAL,,,
18,CVNC (*),106,0,CVNC (*),2,DECIMAL,,,
19,Considera en Escenario,32,0,Considera en Escenario,0,BOOLEAN,,,
19,Caudal Descargable M?nimo,23,0,Caudal Descargable M?nimo,1,DECIMAL,m3/s,Cdmin,
19,Caudal Descargable M?ximo,24,0,Caudal Descargable M?ximo,2,DECIMAL,m3/s,Cdmax,
19,Caudal Vertido M?nimo,25,0,Caudal Vertido M?nimo,3,DECIMAL,m3/s,Cvmin,
19,Caudal Vertido M?ximo,26,0,Caudal Vertido M?ximo,4,DECIMAL,m3/s,Cvmax,
19,Costo de Vertimiento,27,0,Costo de Vertimiento,5,DECIMAL,K$/hm3,Cosver,
19,Volumen M?nimo,28,0,Volumen M?nimo,6,DECIMAL,hm3,Vmin,
19,Volumen M?ximo,29,0,Volumen M?ximo,7,DECIMAL,hm3,Vmax,
19,Vertimiento Controlable,30,0,Vertimiento Controlable,8,BOOLEAN,,VControl,
19,Tiempo de Llegada Ver,43,0,Tiempo de Llegada Ver,9,DECIMAL,,,
19,Tiempo de Llegada Turb.,44,0,Tiempo de Llegada Turb.,10,DECIMAL,,,
21,Considera en Escenario?,36,0,Considera en Escenario?,0,BOOLEAN,,,
21,Potencia Instalada,14,0,Potencia Instalada,1,DECIMAL,MW,,
21,Potencia Instalada,15,0,Potencia Instalada,2,DECIMAL,MW,,
21,Potencia Instalada Hidro,71,0,Potencia Instalada,3,DECIMAL,MW,,
22,Considera en Escenario,92,0,Considera en Escenario,0,BOOLEAN,,,
25,Considera en Escenario?,35,0,Considera en Escenario?,0,BOOLEAN,,,
25,Tipp Rer,96,0,Tipo Rer,1,INTEGER,,,
25,Tipo Otros,97,0,Tipo Otros,2,INTEGER,,,
25,Potencia Instalada,16,0,Potencia Instalada,3,DECIMAL,MW,,
25,Potencia Instalada,17,0,Potencia Instalada,4,DECIMAL,MW,,
25,Potencia Instalada,74,0,Potencia Instalada,5,DECIMAL,MW,,
25,Potencia Instalada,75,0,MW,6,DECIMAL,MW,,
27,Considera Escenario,109,0,Considera escenario,0,BOOLEAN,,,
27,TiempoES,110,0,Tiempo E/S,1,DECIMAL,,,
27,TiempoFS,111,0,Tiempo F/S,2,DECIMAL,,,
