-1,Tcambio,98,0,Tipo Cambio,0,DECIMAL,S/.,,
3,Considera en Escenario?,37,0,Considera en Escenario?,0,BOOLEAN,,u0,
3,Capacidad Instalada,12,0,Capacidad Instalada,1,DECIMAL,MW,PmaxiT,
3,Generaci?n M?nima,13,0,Generaci?n M?nima,2,DECIMAL,MW,PminiT,
3,Factor de Indisponibilidad,45,0,Factor de Indisponibilidad,3,DECIMAL,%,FindiT,
3,CAP,46,0,Costo de Arranque,4,DECIMAL,K$,Arr,
3,Costo de Parada,47,0,Costo de Parada,5,DECIMAL,K$,,
3,Servicios Auxiliares,48,0,Servicios Auxiliares,6,DECIMAL,MW,AuxT,
3,CostoVar,49,0,Costo Variable O,7,DECIMAL8,$/MWh,,
3,CostoComb,58,0,Costo de Combustible,8,DECIMAL,,,
3,CostoTrans,59,0,Costo de Transporte,9,DECIMAL,,,
3,Fcomb,60,0,Funcion Combustible,10,DECIMAL,,,
3,Tipo Planta,62,0,Tipo PLanta,11,BOOLEAN,,Tipoterm,
3,Funcion Combustible,63,0,Funcion Combustible,12,STRING,,,
3,TMinOper,82,0,Tiempo Mínimo de Operación,13,DECIMAL,Seg,TminO,
3,TMinFS,83,0,Tiempo Mínimo entre Arranques,14,DECIMAL,Seg,TminFS,
3,Minimo,61,0,Minimo,15,DECIMAL,,,
3,Maximo,64,0,Maximo,16,DECIMAL,,,
3,Fuente,107,0,Fuente de Combustible,17,DECIMAL,XX,,
4,Considera en Escenario,31,0,Considera en Escenario,0,BOOLEAN,,,
4,CapInstalada,9,0,Capacidad Instalada,1,DECIMAL,MW,PmaxiH,
4,GMIN,10,0,Generaci?n M?nima,2,DECIMAL,MW,PminiH,
4,ServAux,11,0,Servicios Auxiliares,3,DECIMAL,MW,AuxH,
4,COM,20,0,Costo de OM,4,DECIMAL,$/MWh,OyM,
4,CoefPP,21,0,Coef. de Producci?n Promedio,5,DECIMAL,MW/m3/s,K,
4,Factor de Indisponibilidad,22,0,Factor de Indisponibilidad,6,DECIMAL,%,FindiH,
4,Tiempo de Llegada,18,0,Tiempo de Llegada,7,DECIMAL,S,,
4,Tiempo de Llegada,19,0,Tiempo de Llegada,8,DECIMAL,S,,
4,Minimo,84,0,Minimo,9,DECIMAL,,,
4,Maximo,85,0,Maximo,10,DECIMAL,,,
4,Costo de Vertimiento PH,90,0,CostoVerPH,11,DECIMAL,k$/hm3,Cosver,
4,Vertimiento?,40,0,Vertimiento,12,NUMERIC,,Vertimiento,
5,CostoComb,69,0,Costo de Combustible,1,DECIMAL,,,
6,PotEfec,56,0,Potencia Efectiva,1,DECIMAL,MW,,
6,Rend,57,0,Rendimiento,2,DECIMAL,MW/m3/S,,
7,Considera en Escenario?,34,0,Considera en Escenario?,0,BOOLEAN,,,
7,T,1,0,Tensi?n,1,DECIMAL,KV,Tens,
7,TensionOper,112,0,Tensión de Operación,2,DECIMAL,kV,TensOp,
8,Considera en Escenario?,33,0,Considera en Escenario?,0,BOOLEAN,,,
8,Resistencia,3,0,RESISTENCIA,1,DECIMAL,Ohm,R,
8,Reactancia,4,0,REACTANCIA,2,DECIMAL,%,X,
