Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,MAL1,2404,1,0,0,0,0,0,0,0,0,1
2,MAL2,2405,1,0,0,0,0,0,0,0,0,1
3,MAL3,2406,1,0,0,0,0,0,0,0,0,1
4,MAL4,2407,1,0,0,0,0,0,0,0,0,1
5,MAL5,2408,1,0,0,0,0,0,0,0,0,1
6,MAL6,2409,1,0,0,0,0,0,0,0,0,1
7,AGE1,2410,1,0,0,0,0,0,0,0,0,1
8,AGE2,2411,1,0,0,0,0,0,0,0,0,1
9,AGE3,2412,1,0,0,0,0,0,0,0,0,1
10,AGE4,2413,1,0,0,0,0,0,0,0,0,1
11,AGE5,2414,1,0,0,0,0,0,0,0,0,1
12,AGE6,2415,1,0,0,0,0,0,0,0,0,1
