"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
26.00,0.00,20.25,0.00,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,18.80,62.70,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,24.60,72.10,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,92.70,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,12.69,15.60,18.00,0.00,0.00,0.00,1.00,50.50,68.50,8.16,7.00,0.00,66.20,76.30,0.00,1.30,0.00,0.00,15.00
27.00,0.00,20.44,0.00,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,17.80,58.70,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,24.00,69.50,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,85.00,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,11.74,14.88,18.00,0.00,0.00,0.00,1.00,49.30,68.20,8.06,6.69,0.00,64.30,64.50,0.00,1.30,0.00,0.00,15.00
28.00,0.00,20.36,0.00,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,16.90,54.40,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,23.50,67.20,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,77.80,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.47,14.17,18.00,0.00,0.00,0.00,1.00,47.30,66.70,7.69,6.34,0.00,62.30,58.10,0.00,1.30,0.00,0.00,15.00
29.00,0.00,20.15,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,15.90,49.40,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,23.10,64.90,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,70.90,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.48,13.63,18.00,0.00,0.00,0.00,1.00,44.10,63.70,7.34,5.92,0.00,59.80,53.50,0.00,1.30,0.00,0.00,15.00
30.00,0.00,20.46,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,15.20,44.50,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,22.70,62.80,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,64.00,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.31,13.61,18.00,0.00,0.00,0.00,1.00,40.60,61.00,7.05,5.31,0.00,57.40,48.60,0.00,1.30,0.00,0.00,15.00
31.00,0.00,20.47,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,15.00,39.40,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,22.30,60.80,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,57.20,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.22,13.58,18.00,0.00,0.00,0.00,1.00,38.10,59.40,6.67,4.72,0.00,55.30,43.70,0.00,1.30,0.00,0.00,15.00
32.00,0.00,21.00,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,15.20,35.00,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,21.20,56.70,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,50.20,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.33,13.53,18.00,0.00,0.00,0.00,1.00,35.10,56.30,6.03,4.17,0.00,53.00,37.70,0.00,1.30,0.00,0.00,15.00
33.00,0.00,21.01,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,16.20,32.50,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,19.80,51.90,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,43.10,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.54,13.52,18.00,0.00,0.00,0.00,1.00,32.00,52.70,5.42,3.72,0.00,50.30,31.40,0.00,1.30,0.00,0.00,15.00
34.00,0.00,21.50,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,17.10,30.40,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,18.60,48.30,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,36.10,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.07,13.64,18.00,0.00,0.00,0.00,1.00,29.40,50.10,4.92,3.52,0.00,47.80,27.20,0.00,1.30,0.00,0.00,15.00
35.00,0.00,21.58,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,18.10,29.30,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,17.40,45.00,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,34.80,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.62,13.89,18.00,0.00,0.00,0.00,1.00,27.70,48.60,4.38,3.26,0.00,45.90,21.40,0.00,1.30,0.00,0.00,15.00
36.00,0.00,21.59,0.00,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.00,0.00,7.00,0.00,10.00,19.00,28.40,8.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,16.70,42.30,2.16,27.00,12.62,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,29.80,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,11.21,14.52,18.00,0.00,0.00,0.00,1.00,24.80,48.50,3.73,2.76,0.00,43.60,20.50,0.00,1.30,0.00,0.00,15.00
