"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
11.00,0.00,23.20,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,9.16,2.09,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.94,10.14,3.20,25.80,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,1.83,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.93,1.73,18.90,0.00,1.00,6.70,14.18,0.04,0.08,0.00,17.20,1.10,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.19
12.00,0.00,23.67,0.01,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.43,0.36,17.49,0.00,8.80,9.36,2.04,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.37,5.15,10.29,3.20,25.80,19.44,18.17,4.38,17.88,0.72,0.00,19.44,19.44,19.44,1.20,1.76,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.71,1.52,18.90,0.00,1.00,6.36,14.67,0.04,0.09,3.37,18.07,1.14,0.00,2.00,1.98,4.36,11.00,2.94,22.00,0.00,2.57
13.00,0.17,23.60,0.50,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,1.79,2.17,17.49,0.00,8.80,9.59,1.89,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,2.22,5.25,10.30,3.20,25.90,19.44,18.17,22.55,17.88,3.84,0.00,19.44,19.44,19.44,1.20,1.83,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.50,1.29,18.90,0.02,1.00,5.98,14.78,0.05,0.09,17.57,19.19,1.17,0.00,2.00,13.82,34.79,11.00,21.44,22.00,0.01,4.94
14.00,1.31,23.79,1.77,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,3.74,5.07,17.49,0.00,8.80,9.91,1.42,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,4.79,5.03,9.87,3.20,25.90,19.44,18.17,48.61,17.88,8.59,0.00,19.44,19.44,19.44,1.20,2.30,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.30,0.99,18.90,0.04,1.00,5.50,13.71,0.04,0.09,37.23,21.09,1.21,0.00,2.00,32.48,91.04,11.00,55.59,22.00,0.04,11.40
15.00,3.51,23.93,3.59,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,8.26,7.84,17.49,0.00,8.80,10.10,1.18,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,7.23,4.86,9.63,3.20,25.80,19.44,18.17,75.83,17.88,14.65,0.00,19.44,19.44,19.44,1.20,2.48,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.12,0.72,19.00,0.05,1.00,4.99,12.58,0.04,0.11,56.69,23.19,1.30,0.00,2.00,52.38,150.88,11.00,104.94,22.00,0.07,17.87
16.00,6.09,23.94,5.86,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,13.20,9.98,17.49,0.00,8.80,9.96,1.66,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,9.59,4.82,9.94,3.20,25.70,19.44,18.17,95.26,17.88,19.57,0.00,19.44,19.44,19.44,1.20,1.78,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.99,0.58,18.90,0.08,1.00,4.42,11.25,0.05,0.18,72.15,25.88,1.56,0.00,2.00,65.13,193.07,11.00,150.32,22.00,0.12,22.30
17.00,8.59,23.88,8.40,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,15.98,11.98,17.49,0.00,8.80,9.79,2.26,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,11.41,4.82,10.67,3.20,25.60,19.44,18.17,108.50,17.88,23.67,0.00,19.44,19.44,19.44,1.20,1.17,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.87,0.45,18.90,0.37,1.00,4.30,10.92,0.09,0.24,82.27,28.67,1.73,0.10,2.00,73.33,225.37,11.00,182.33,22.00,0.17,26.73
18.00,11.01,23.82,10.87,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,17.16,13.36,17.49,0.00,8.80,9.55,3.25,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,12.79,4.96,12.67,3.20,25.40,19.44,18.17,119.50,17.88,26.76,0.00,19.44,19.44,19.44,1.20,0.83,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.79,0.35,18.90,0.50,1.00,5.53,13.59,0.18,0.25,90.08,31.78,1.61,0.20,2.00,76.61,240.82,11.00,192.34,22.00,0.21,29.59
19.00,13.16,23.78,12.46,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,17.71,15.01,17.49,0.00,8.80,9.46,4.99,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,13.56,5.12,14.89,3.20,24.80,19.44,18.17,127.83,17.88,29.10,0.00,19.44,19.44,19.44,1.20,0.65,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.71,0.24,18.90,0.62,1.00,7.08,16.43,0.27,0.32,96.44,33.98,1.61,0.20,2.00,77.78,246.59,11.00,198.01,22.00,0.24,32.46
20.00,14.78,23.75,13.75,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,18.03,15.86,17.49,0.00,8.80,9.78,8.99,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,13.87,5.33,17.75,3.20,24.00,19.44,18.17,130.55,17.88,30.53,0.00,19.44,19.44,19.44,1.20,0.99,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.62,0.14,18.90,0.70,1.00,9.60,19.75,0.34,0.61,99.01,33.44,2.00,0.30,2.00,78.53,248.42,11.00,202.03,22.00,0.28,30.68
21.00,15.89,23.70,14.83,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,18.63,16.16,17.49,0.00,8.80,10.09,12.86,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,13.93,5.74,20.71,3.20,24.50,19.44,18.17,129.86,17.88,31.28,0.00,19.44,19.44,19.44,1.20,2.43,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.60,0.12,18.90,0.76,1.00,11.78,22.47,0.45,0.92,99.45,34.09,3.58,0.30,2.00,78.86,247.78,11.00,200.85,22.00,0.31,28.90
22.00,16.59,23.71,15.60,0.00,2.90,0.00,12.24,19.14,3.69,0.40,3.40,16.00,19.27,16.41,17.49,0.00,8.80,10.35,16.40,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,13.77,6.76,23.94,3.20,23.20,19.44,18.17,127.43,17.88,31.86,0.00,19.44,19.44,19.44,1.20,7.17,12.83,19.44,8.00,10.70,0.00,17.49,2.40,0.79,0.38,18.90,0.77,1.00,12.95,23.35,0.65,1.30,98.58,38.33,8.74,0.30,2.00,78.85,245.84,11.00,194.29,22.00,0.32,28.00
23.00,16.72,23.77,15.73,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,19.64,16.52,17.49,0.00,8.80,10.64,20.10,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,13.05,7.72,26.80,3.20,24.10,19.44,18.17,119.35,17.88,32.12,0.00,19.44,19.44,19.44,1.20,11.53,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.00,0.71,18.90,0.77,1.00,14.25,23.80,0.85,1.60,94.50,41.09,14.68,0.40,2.00,78.24,239.71,11.00,177.24,22.00,0.33,27.11
24.00,17.07,23.81,15.42,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,19.45,16.56,17.49,0.00,8.80,11.04,24.24,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,12.52,8.47,28.54,3.20,23.20,19.44,18.17,103.31,17.88,31.13,0.00,19.44,19.44,19.44,1.20,14.71,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.28,1.31,18.90,0.78,1.00,15.98,22.91,1.07,1.59,91.84,39.46,22.99,0.40,2.00,77.72,228.20,11.00,180.25,22.00,0.33,18.41
25.00,17.27,23.65,14.87,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,18.69,16.39,17.49,0.00,8.80,11.54,28.11,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,12.27,9.03,30.13,3.20,24.40,19.44,18.17,101.78,17.88,28.28,0.00,19.44,19.44,19.44,1.20,25.56,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.51,1.78,19.00,0.77,1.00,17.51,22.53,1.22,1.72,89.49,37.58,35.57,0.40,2.00,77.14,222.95,11.00,188.30,22.00,0.33,9.71
26.00,17.16,23.77,14.37,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,18.25,16.17,17.49,0.00,8.80,12.32,31.20,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,12.11,9.02,31.32,3.20,24.60,19.44,18.17,103.16,17.88,24.82,0.00,19.44,19.44,19.44,1.20,59.45,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.58,1.90,19.00,0.77,1.00,18.50,23.66,1.18,2.24,85.19,34.96,60.98,0.40,2.00,76.19,227.34,11.00,191.37,22.00,0.32,11.67
27.00,16.45,23.61,13.81,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,18.45,15.85,17.49,0.00,8.80,13.30,34.16,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,11.68,9.15,32.51,3.20,24.70,19.44,18.17,89.74,17.88,20.08,0.00,19.44,19.44,19.44,1.20,87.17,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.72,2.08,19.00,0.77,1.00,19.58,25.05,1.19,2.70,77.25,33.82,83.18,0.30,2.00,74.18,234.14,11.00,189.14,22.00,0.30,13.63
28.00,15.37,23.66,12.85,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,19.24,15.72,17.49,0.00,8.80,14.85,36.78,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,11.49,9.73,33.68,3.20,24.80,19.44,18.17,82.31,17.88,15.50,0.00,19.44,19.44,19.44,1.20,96.42,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.08,2.45,19.00,0.65,1.00,20.96,27.22,1.35,3.03,70.84,37.08,95.75,0.20,2.00,71.52,230.67,11.00,179.61,22.00,0.27,12.42
29.00,13.80,23.66,11.49,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,19.66,15.95,17.49,0.00,8.80,16.18,38.73,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,11.97,10.23,34.70,3.20,24.80,19.44,18.17,78.93,17.88,11.96,0.00,19.44,19.44,19.44,1.20,104.69,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.44,2.79,15.60,0.63,1.00,22.32,29.45,1.47,3.20,66.53,40.40,106.36,0.20,2.00,69.36,227.33,11.00,165.99,22.00,0.25,11.21
30.00,11.83,23.84,9.33,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,19.49,15.67,17.49,0.00,8.80,16.83,38.63,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,11.51,10.50,35.24,3.20,24.60,19.44,18.17,70.82,17.88,9.29,0.00,19.44,19.44,19.44,1.20,110.02,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.79,3.04,14.40,0.59,1.00,23.61,31.80,1.48,2.89,59.07,43.93,111.08,0.10,2.00,69.33,224.54,11.00,164.13,22.00,0.21,8.19
31.00,9.58,23.72,6.49,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,18.94,14.76,17.49,0.00,8.80,17.28,38.74,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,9.77,10.65,35.74,3.20,25.00,19.44,18.17,58.77,17.88,7.46,0.00,19.44,19.44,19.44,1.20,114.74,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.13,3.30,19.00,0.50,1.00,24.87,33.96,1.51,2.65,49.63,47.25,116.39,0.10,2.00,71.25,213.91,11.00,153.12,22.00,0.18,5.17
