"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.88,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.60,7.20,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,14.90,70.60,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,34.80,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,1.50,2.80,18.00,0.00,1.00,60.90,86.70,1.30,1.30,0.00,116.70,26.00,0.00,2.00,0.00
2.00,0.00,23.93,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.30,6.40,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,14.60,67.10,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,30.00,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,1.50,3.00,18.00,0.00,1.00,57.80,83.10,1.10,1.20,0.00,114.80,25.00,0.00,2.00,0.00
3.00,0.00,23.78,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.60,6.20,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,14.40,66.90,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,22.90,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,1.60,3.30,18.00,0.00,1.00,52.40,77.70,1.10,1.10,0.00,110.90,20.00,0.00,2.00,0.00
4.00,0.00,23.87,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.80,6.10,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,14.20,63.40,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,21.30,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,1.70,3.40,18.00,0.00,1.00,50.60,75.90,1.10,1.10,0.00,109.90,19.00,0.00,2.00,0.00
5.00,0.00,23.62,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.80,5.80,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,13.80,61.80,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,17.10,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,1.80,3.50,18.00,0.00,1.00,47.50,72.70,0.90,1.00,0.00,105.80,16.00,0.00,2.00,0.00
6.00,0.00,23.78,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,3.90,5.50,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,13.50,57.60,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,17.10,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,2.00,3.90,18.00,0.00,1.00,47.30,72.40,0.90,1.00,0.00,105.00,15.00,0.00,2.00,0.00
7.00,0.00,23.77,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.40,4.50,5.00,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,0.00,13.40,57.40,3.50,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,14.00,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,2.30,4.30,18.00,0.00,1.00,43.70,68.40,0.90,0.90,0.00,102.40,12.00,0.00,2.00,0.00
8.00,0.00,23.76,0.00,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,0.12,1.20,18.05,0.00,9.40,4.70,4.50,5.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,1.21,13.40,54.10,3.50,0.00,19.51,19.32,0.00,18.15,0.19,0.60,19.51,19.51,19.51,2.40,14.10,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,3.00,5.60,18.00,0.00,1.00,43.00,67.50,0.90,0.90,0.00,102.90,11.00,0.00,2.00,0.00
9.00,0.82,23.74,0.88,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,6.64,5.69,18.05,0.00,9.40,3.90,3.80,5.10,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,5.75,13.40,53.50,3.50,0.00,19.51,19.32,11.00,18.15,2.17,0.60,19.51,19.51,19.51,2.40,10.70,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,3.90,7.10,18.00,0.02,1.00,38.70,63.40,0.90,0.80,7.92,100.70,8.00,0.00,2.00,3.05
10.00,2.41,23.83,2.28,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,1.77,12.03,18.05,0.00,9.40,3.20,3.30,3.90,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,11.15,13.60,50.70,3.50,0.00,19.51,19.32,40.00,18.15,13.74,0.60,19.51,19.51,19.51,2.40,9.30,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,4.80,8.20,18.00,0.05,1.00,37.90,62.20,0.80,0.80,28.80,100.80,7.00,0.00,2.00,19.05
11.00,4.80,23.71,4.37,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,14.56,14.93,18.05,0.00,9.40,2.80,5.50,3.70,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,13.13,14.20,53.20,3.50,0.00,19.51,19.32,72.00,18.15,26.27,0.60,19.51,19.51,19.51,2.40,7.80,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,5.70,9.20,18.00,0.06,1.00,35.30,45.30,0.80,0.90,51.84,96.00,7.00,0.00,2.00,43.12
12.00,7.30,23.87,6.66,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,15.91,16.34,18.05,0.00,9.40,2.50,8.50,3.80,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,13.95,15.10,36.50,3.50,0.00,19.51,19.32,105.00,18.15,32.75,0.60,19.51,19.51,19.51,2.40,6.60,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,6.60,10.10,18.00,0.09,1.00,36.40,44.30,0.90,1.10,75.60,95.70,8.00,0.00,2.00,61.52
13.00,9.69,23.77,9.18,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,16.81,16.96,18.05,0.00,9.40,2.50,12.55,3.70,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.15,16.70,41.70,3.50,0.00,19.51,19.32,125.00,18.15,34.13,0.60,19.51,19.51,19.51,2.40,5.40,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,7.50,11.00,18.00,0.41,1.00,36.10,45.80,1.10,1.40,90.00,96.90,8.00,0.10,2.00,69.93
14.00,11.21,23.70,11.44,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,17.66,17.31,18.05,0.00,9.40,2.30,17.58,3.90,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.33,18.30,47.10,3.50,0.00,19.51,19.32,130.00,18.15,34.85,0.60,19.51,19.51,19.51,2.40,4.40,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,8.40,11.70,18.00,0.56,1.00,39.30,47.70,1.50,1.80,93.60,101.50,9.00,0.20,2.00,73.80
15.00,13.00,23.93,13.50,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.09,17.47,18.05,0.00,9.40,1.80,20.25,5.10,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.45,19.80,52.90,3.50,0.00,19.51,19.32,133.00,18.15,35.55,0.60,19.51,19.51,19.51,2.40,3.80,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,9.10,12.30,18.00,0.69,1.00,40.90,51.20,2.30,2.50,95.76,104.40,11.00,0.20,2.00,75.57
16.00,14.56,23.89,14.77,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.56,17.57,18.05,0.00,9.40,1.40,24.50,6.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.46,21.30,58.80,3.50,0.00,19.51,19.32,136.00,18.15,35.55,0.60,19.51,19.51,19.51,2.40,4.40,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,9.80,12.90,18.00,0.77,1.00,44.50,54.80,3.20,3.20,97.92,94.30,14.00,0.30,2.00,76.61
17.00,16.64,23.80,16.16,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.71,17.56,18.05,0.00,9.40,1.40,28.80,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.46,22.90,64.80,3.50,0.00,19.51,19.32,137.00,18.15,35.75,0.60,19.51,19.51,19.51,2.40,6.80,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,10.40,13.30,18.00,0.84,1.00,48.80,58.60,4.20,4.20,98.64,100.30,19.00,0.30,2.00,77.41
18.00,17.13,23.92,15.48,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.73,17.24,18.05,0.00,9.40,1.60,30.25,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.63,24.30,70.10,3.50,0.00,19.51,19.32,137.00,18.15,36.20,0.60,19.51,19.51,19.51,2.40,15.20,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,10.80,13.20,18.00,0.86,1.00,53.20,62.40,5.10,5.10,98.64,105.80,25.00,0.30,2.00,78.27
19.00,18.82,23.80,14.32,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.74,16.93,18.05,0.00,9.40,2.70,31.25,6.30,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.67,25.10,72.90,3.50,0.00,19.51,19.32,125.00,18.15,35.61,0.60,19.51,19.51,19.51,2.40,25.20,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,11.20,12.80,18.00,0.85,1.00,57.70,65.90,6.00,5.90,80.00,109.60,33.00,0.40,2.00,79.24
20.00,18.53,23.70,14.28,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.81,16.63,18.05,0.00,9.40,3.70,28.00,6.50,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.62,25.80,75.60,3.50,0.00,19.51,19.32,120.00,18.15,34.49,0.60,19.51,19.51,19.51,2.40,40.30,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,11.30,12.90,18.00,0.87,1.00,62.20,69.50,7.00,6.70,80.00,112.80,42.00,0.40,2.00,79.70
21.00,18.61,23.61,13.32,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.80,14.24,18.05,0.00,9.40,4.50,32.30,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.47,26.00,78.00,3.50,0.00,19.51,19.32,115.00,18.15,33.20,0.60,19.51,19.51,19.51,2.40,53.90,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,11.30,13.20,18.00,0.86,1.00,67.10,73.40,8.20,7.50,90.00,114.10,53.00,0.40,2.00,79.83
22.00,18.18,23.74,15.04,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.80,14.49,18.05,0.00,9.40,5.40,36.20,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,13.92,26.10,79.80,3.50,0.00,19.51,19.32,115.00,18.15,36.27,0.60,19.51,19.51,19.51,2.40,63.10,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,10.70,12.70,18.00,0.86,1.00,71.30,76.70,9.30,8.20,85.00,114.80,65.00,0.40,2.00,79.84
23.00,17.43,23.62,13.86,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.79,16.24,18.05,0.00,9.40,6.30,38.90,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.32,26.00,80.10,3.50,0.00,19.51,19.32,114.00,18.15,28.58,0.60,19.51,19.51,19.51,2.40,72.20,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,10.00,11.90,18.00,0.86,1.00,73.80,78.20,9.70,8.60,85.00,113.80,77.00,0.30,2.00,79.74
24.00,16.34,23.54,14.45,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.71,17.44,18.05,0.00,9.40,7.10,41.20,6.20,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.55,25.90,80.40,3.50,0.00,19.51,19.32,116.00,18.15,31.58,0.60,19.51,19.51,19.51,2.40,80.90,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,8.90,10.60,18.00,0.72,1.00,75.90,79.60,9.90,8.90,85.00,113.00,88.00,0.20,2.00,79.59
25.00,14.71,23.50,11.19,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.53,17.61,18.05,0.00,9.40,7.30,42.30,6.40,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.63,25.80,80.80,3.50,0.00,19.51,19.32,115.00,18.15,36.38,0.60,19.51,19.51,19.51,2.40,89.40,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,7.70,9.20,18.00,0.70,1.00,76.60,81.10,9.80,9.00,85.00,113.10,99.00,0.20,2.00,79.12
26.00,12.77,23.29,10.70,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.24,17.18,18.05,0.00,9.40,7.50,43.90,6.60,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,14.21,25.70,81.40,3.50,0.00,19.51,19.32,110.00,18.15,35.28,0.60,19.51,19.51,19.51,2.40,97.20,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,6.70,7.80,18.00,0.66,1.00,77.30,82.50,9.80,9.20,82.00,113.30,108.00,0.10,2.00,77.69
27.00,10.48,23.24,9.81,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,18.07,16.72,18.05,0.00,9.40,7.30,47.10,6.60,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,13.95,25.80,82.30,3.50,0.00,19.51,19.32,95.00,18.15,33.27,0.60,19.51,19.51,19.51,2.40,105.10,12.88,19.51,0.00,8.40,0.00,6.90,0.00,2.40,5.80,6.40,18.00,0.55,1.00,77.60,83.90,10.00,9.50,81.36,114.20,115.00,0.10,2.00,72.81
28.00,7.95,23.29,7.51,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,17.03,15.40,18.05,0.00,9.40,7.00,49.10,7.80,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,12.94,25.80,82.90,3.50,0.00,19.51,19.32,89.00,18.15,30.09,0.60,19.51,19.51,19.51,2.40,113.00,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,5.00,5.20,18.00,0.40,1.00,77.60,85.00,10.00,9.50,69.12,114.70,119.00,0.10,2.00,57.33
29.00,5.29,23.37,5.12,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,14.94,12.10,18.05,0.00,9.40,6.20,47.40,7.90,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,10.33,25.70,82.30,3.50,0.00,19.51,19.32,73.00,18.15,21.06,0.60,19.51,19.51,19.51,2.40,119.20,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,4.40,4.00,18.00,0.34,1.00,76.50,85.50,9.10,8.70,52.56,114.20,121.00,0.10,2.00,31.05
30.00,2.87,23.59,2.74,14.00,4.20,7.20,12.29,19.22,1.80,0.00,3.50,0.00,10.10,5.51,18.05,0.00,9.40,5.50,46.10,8.00,9.90,15.61,5.00,19.32,19.32,19.51,19.51,2.60,4.68,25.80,81.70,3.50,0.00,19.51,19.32,43.00,18.15,9.96,0.60,19.51,19.51,19.51,2.40,120.00,12.88,19.51,19.51,8.40,0.00,6.90,0.00,2.40,3.70,3.20,18.00,0.24,1.00,75.40,86.00,8.30,7.90,30.96,114.40,119.00,0.10,2.00,12.77
