"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,15.26,19.25,17.33,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.49,17.64,3.10,0.00,7.60,17.68,58.33,2.80,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.83,7.23,39.73,2.45,27.30,3.80,12.00,134.88,16.99,34.10,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,14.13,15.75,18.90,0.00,0.00,1.21,0.70,76.20,91.06,4.81,3.73,104.33,58.89,0.00,0.30,1.04,75.61,250.00,0.00,0.00,7.40
2.00,15.61,19.41,18.08,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.53,17.56,3.10,0.00,7.60,19.09,64.42,2.90,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.79,8.48,45.64,2.45,27.20,3.80,12.00,135.00,16.99,34.19,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,14.52,15.88,18.90,0.00,0.00,1.23,0.70,80.92,94.92,5.57,4.26,103.39,62.91,0.00,0.30,1.04,76.10,250.00,0.00,0.00,7.40
3.00,15.69,19.12,18.36,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.31,17.49,3.10,0.00,7.60,20.58,69.89,2.90,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.85,10.09,51.44,2.45,27.10,3.80,12.00,135.77,16.99,34.34,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,14.84,16.15,18.90,0.00,0.00,1.22,0.70,83.94,97.50,6.23,4.77,101.93,67.44,0.00,0.40,1.04,76.63,250.00,0.00,0.00,7.40
4.00,15.74,18.78,18.39,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.05,17.48,3.10,0.00,7.60,21.99,72.14,2.90,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.96,11.54,56.67,2.45,26.90,3.80,12.00,136.42,16.99,34.22,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,15.14,16.47,18.90,0.00,0.00,1.24,0.70,86.69,100.14,6.87,5.21,101.46,71.92,0.00,0.40,1.04,76.92,250.00,0.00,0.00,7.40
5.00,15.57,18.65,18.11,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.07,17.49,3.10,0.00,7.60,23.37,73.32,2.70,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,14.10,12.59,60.39,2.45,26.70,3.80,12.00,136.91,16.99,34.17,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,15.31,16.65,18.90,0.00,0.00,1.23,0.70,88.60,102.97,7.51,5.63,101.46,76.24,0.00,0.40,1.04,77.17,250.00,0.00,0.00,7.40
6.00,15.08,18.53,17.42,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.27,17.51,3.10,0.00,7.60,24.33,73.27,0.40,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,14.18,13.52,63.29,2.45,26.60,3.80,12.00,137.45,16.99,34.22,0.60,9.00,10.00,10.00,1.20,0.00,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,15.44,16.78,18.90,0.00,0.00,1.23,0.70,90.39,105.21,7.90,5.97,101.52,79.77,0.00,0.40,1.00,77.28,243.48,0.00,0.00,7.40
7.00,14.39,18.43,16.29,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.57,17.54,3.10,0.00,7.60,25.14,72.81,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,14.14,14.15,63.92,2.45,26.40,3.80,12.00,137.87,16.99,34.35,0.60,9.00,10.00,10.00,1.20,65.70,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,15.32,16.75,18.90,0.00,0.00,1.23,0.70,91.79,105.66,8.21,6.28,101.45,80.92,20.00,0.30,1.00,77.23,247.27,0.00,0.00,7.40
8.00,13.63,18.37,14.82,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.68,17.59,3.10,0.00,7.60,25.98,72.23,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,14.05,14.70,64.71,2.45,26.10,3.80,12.00,137.82,16.99,34.38,0.60,9.00,10.00,10.00,1.20,78.00,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,15.12,16.66,18.90,0.00,0.00,1.04,0.70,92.92,106.33,8.27,6.47,101.15,82.07,30.00,0.20,1.00,76.72,250.00,0.00,0.00,7.40
9.00,12.92,18.13,13.09,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,18.49,17.53,3.10,0.00,7.60,26.83,71.62,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.92,14.90,65.54,2.45,26.20,3.80,12.00,136.77,16.99,34.14,0.60,9.00,10.00,10.00,1.20,90.40,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,14.87,16.43,18.90,0.00,0.00,1.01,0.70,93.27,107.65,8.26,6.62,100.24,83.17,50.00,0.20,1.04,75.19,250.00,0.00,0.00,7.40
10.00,12.15,17.83,10.70,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,17.97,17.27,3.10,0.00,7.60,27.53,67.28,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,1.40,13.65,15.08,65.91,2.45,26.50,3.80,12.00,134.14,16.99,33.32,0.60,9.00,10.00,10.00,1.20,99.00,6.50,11.00,16.00,3.00,10.80,7.80,4.90,1.20,14.61,16.15,18.90,0.00,0.00,0.94,0.70,94.23,109.15,8.10,6.72,97.65,84.09,113.20,0.10,1.08,72.24,250.00,0.00,0.00,7.40
