"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,0.82,17.00,0.50,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,2.74,3.10,10.24,6.40,22.00,70.08,6.40,3.15,7.00,5.00,9.50,18.55,3.00,4.50,2.80,0.83,28.80,77.01,2.00,26.99,3.50,11.12,14.00,14.49,0.68,0.60,2.90,3.30,3.40,2.30,132.30,5.40,4.00,1.80,10.43,7.60,3.50,1.15,13.32,15.38,9.45,0.12,0.42,108.18,111.80,14.58,10.80,10.08,120.05,117.15,0.00,1.90,1.80,25.43,10.63,6.46,12.14,0.06,0.09,3.39,0.70
2.00,0.00,16.90,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.07,3.10,11.01,6.40,21.57,69.47,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.03,28.97,77.05,2.00,27.22,3.50,11.12,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,132.30,5.40,4.00,1.80,10.43,7.60,3.50,2.30,13.00,15.14,9.45,0.06,0.42,108.78,112.30,14.58,10.70,0.00,120.35,114.77,0.00,1.94,0.00,1.00,10.63,0.00,12.14,0.03,0.00,0.00,0.67
3.00,0.00,17.00,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,9.76,6.40,20.72,66.54,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,29.06,76.99,2.00,27.44,3.50,11.10,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,132.30,5.40,4.00,1.80,10.43,7.60,3.50,2.30,11.26,13.45,9.45,0.00,0.42,109.37,112.81,14.66,10.50,0.00,120.65,112.40,0.00,1.96,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.14
4.00,0.00,16.92,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,10.14,6.40,19.86,63.63,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,29.15,76.92,2.00,27.62,3.50,11.09,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,131.82,5.40,4.00,1.80,10.43,7.60,3.50,2.30,9.52,11.76,9.45,0.00,0.42,109.42,113.03,14.74,10.40,0.00,119.67,111.79,0.00,1.97,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,15.83,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.01,6.40,19.76,61.92,8.10,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,28.87,76.94,2.00,27.71,3.50,11.09,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,128.81,5.40,4.00,1.80,10.43,7.60,3.50,2.30,10.02,12.25,9.45,0.00,0.42,107.85,112.69,14.54,10.00,0.00,118.10,108.67,0.00,1.96,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,14.95,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.50,6.40,19.66,60.21,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,28.59,76.94,2.00,27.70,3.50,11.08,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,122.80,5.40,4.00,1.80,10.43,7.60,3.50,2.30,10.53,12.73,9.45,0.00,0.41,106.28,112.37,14.35,9.60,0.00,116.52,105.54,0.00,1.94,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,17.41,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.50,6.40,19.89,58.88,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,28.27,76.64,2.00,27.75,3.50,11.07,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,117.78,5.40,4.00,1.80,10.43,7.60,3.50,2.30,10.73,12.79,9.45,0.00,0.41,104.47,111.26,14.15,9.10,0.00,114.34,103.42,0.00,1.91,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,14.82,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.50,6.40,20.12,57.56,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,27.94,76.33,2.00,27.85,3.50,11.07,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,111.77,5.40,4.00,1.80,10.43,7.60,3.50,2.30,10.94,12.85,9.45,0.00,0.41,102.66,110.16,13.96,8.50,0.00,112.17,102.29,0.00,1.88,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,17.17,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.50,6.40,20.44,55.25,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,27.63,76.62,2.00,27.96,3.50,11.07,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,107.76,5.40,4.00,1.80,10.43,7.60,3.50,2.30,11.14,12.88,9.45,0.00,0.41,101.45,108.88,13.82,8.40,0.00,110.57,102.17,0.00,1.84,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,17.15,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.50,6.40,20.77,52.95,8.00,3.15,15.46,5.00,9.50,18.55,3.00,4.50,2.80,0.00,27.33,76.91,2.00,28.04,3.50,11.08,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,104.74,5.40,4.00,1.80,10.43,7.60,3.50,2.30,11.34,12.91,9.45,0.00,0.41,100.26,107.59,13.67,8.20,0.00,108.97,102.04,0.00,1.80,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
