"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.00,23.54,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,1.53,4.36,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.33,9.16,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,4.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,2.89,2.40,18.90,0.00,1.00,6.93,12.64,0.21,0.25,0.00,20.18,4.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
2.00,0.00,23.54,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,1.53,4.36,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.30,8.42,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,3.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,2.89,2.40,18.90,0.00,1.00,6.93,12.64,0.21,0.25,0.00,19.93,3.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
3.00,0.00,23.71,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,1.50,3.75,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.30,7.78,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,3.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,2.72,2.15,18.90,0.00,1.00,5.88,11.20,0.18,0.22,0.00,19.36,3.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
4.00,0.00,23.91,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,1.48,3.17,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.31,7.25,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,3.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,2.53,1.91,18.90,0.00,1.00,4.87,9.69,0.16,0.18,0.00,18.78,3.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
5.00,0.00,23.90,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,1.26,2.54,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.31,6.84,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,2.23,1.70,18.90,0.00,1.00,4.20,8.58,0.16,0.13,0.00,17.90,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
6.00,0.00,23.87,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,0.98,1.88,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.29,6.54,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,1.89,1.50,18.90,0.00,1.00,3.65,7.62,0.15,0.08,0.00,17.02,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
7.00,0.00,23.60,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,0.89,1.26,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.32,6.31,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,1.73,1.31,18.90,0.00,1.00,3.48,7.47,0.10,0.05,0.00,16.82,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
8.00,0.00,23.91,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,0.86,0.65,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.42,6.13,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,1.62,1.13,18.90,0.00,1.00,3.43,7.59,0.03,0.02,0.00,16.61,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
9.00,0.00,23.92,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,0.85,0.65,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.49,6.07,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,1.44,1.02,18.90,0.00,1.00,2.91,6.87,0.01,0.01,0.00,16.83,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
10.00,0.00,23.69,0.00,0.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,16.00,0.00,0.00,17.49,0.00,9.00,0.84,0.86,8.10,10.88,15.45,5.00,19.24,19.24,19.44,19.44,1.40,0.00,2.54,6.11,3.40,27.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,2.00,12.83,19.44,8.20,10.60,0.00,17.49,1.20,1.24,0.94,18.90,0.00,1.00,2.22,5.86,0.00,0.00,0.00,17.05,2.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.10
