"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,0.07947,0.00000
2.00000,0.20561,0.00000
3.00000,0.21003,0.00000
4.00000,0.25672,0.00000
5.00000,1.00904,0.70197
6.00000,1.00904,0.64614
7.00000,0.31544,0.00000
8.00000,0.28636,0.00000
9.00000,0.28178,0.00000
10.00000,0.26789,0.00000
11.00000,0.21241,0.00000
12.00000,0.25539,0.00000
13.00000,0.21066,0.00000
14.00000,0.20530,0.00000
15.00000,0.00000,0.00000
16.00000,0.37502,0.00000
17.00000,0.80418,0.00000
18.00000,0.80002,0.00000
19.00000,0.77828,0.00000
20.00000,0.74463,0.00000
21.00000,0.00000,0.00000
22.00000,0.00000,0.00000
23.00000,0.00000,1.60459
24.00000,0.00000,0.00000
25.00000,0.42942,0.00000
26.00000,0.78773,0.00000
27.00000,0.78808,0.00000
28.00000,0.00000,18.22693
29.00000,1.00904,0.51779
30.00000,1.00904,0.56848
31.00000,0.00000,0.09352
32.00000,0.00000,0.15413
33.00000,0.00000,0.00000
34.00000,0.00000,0.00000
35.00000,0.00000,0.00000
36.00000,0.22871,0.00000
37.00000,0.00000,0.00000
38.00000,0.00000,0.00000
39.00000,0.00000,0.00000
40.00000,0.00000,0.00000
41.00000,0.00000,0.00000
42.00000,0.00000,0.00000
43.00000,0.00000,0.00000
44.00000,0.00000,0.00000
45.00000,0.20089,0.00000
46.00000,0.18240,0.00000
47.00000,0.32729,0.00000
48.00000,0.35576,0.00000
