"RESTRICCION DE GENERACION","Res1","Res1","Res6","Res6","Res6","Res7","Res16","Res23","Res24","Res25","Res26"
"ETAPA\UNIDAD DE GENERACION","OQUENDO TG1  GAS","OQUENDO CCOMB TG1  GAS","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","REFTALARA TV1TV2FXRFG","CHIMAY G2","CHILCA1TG1GAS","CHILCA1CC12GAS","CHILCA1TG3GAS","CHILCA1CC123GAS"
1.000,7.892,7.892,0.000,0.000,0.000,-10.020,0.000,10.520,0.000,0.000,0.000
2.000,8.169,8.169,0.000,0.000,0.000,-9.633,0.000,10.771,0.000,0.000,0.000
3.000,8.197,8.197,0.000,0.000,0.000,-9.556,0.000,10.774,0.000,0.000,0.000
4.000,8.280,8.280,0.000,0.000,0.000,-9.469,0.000,10.866,0.000,0.000,0.000
5.000,8.286,8.286,0.000,0.000,0.000,-9.375,0.000,10.937,0.000,0.000,0.000
6.000,8.377,8.377,0.000,0.000,0.000,-9.190,0.000,11.046,0.000,0.000,0.000
7.000,8.329,8.329,0.000,0.000,0.000,-9.225,0.000,10.973,0.000,0.000,0.000
8.000,8.289,8.289,0.000,0.000,0.000,-9.297,0.000,0.000,-0.372,0.000,0.000
9.000,8.287,8.287,0.000,0.000,0.000,-9.344,0.000,0.000,-0.381,8.847,0.000
10.000,8.283,8.283,0.000,0.000,0.000,-9.433,0.000,0.000,-0.406,8.822,0.000
11.000,8.193,8.193,0.000,0.000,0.000,-9.707,0.000,0.000,-0.511,8.717,0.000
12.000,8.278,8.278,0.000,0.000,0.000,-9.756,0.000,0.000,-0.428,8.800,0.000
13.000,8.161,8.161,0.000,0.000,0.000,-9.853,0.000,0.000,-0.512,8.715,0.000
14.000,8.148,8.148,0.000,0.000,0.000,-9.899,0.000,0.000,-0.516,8.712,0.000
15.000,7.701,7.701,0.000,0.000,0.000,-10.400,0.000,0.000,-0.923,8.305,0.000
16.000,5.268,5.268,0.000,0.000,0.000,-194.433,0.000,0.000,0.000,0.000,-1.761
17.000,6.119,6.119,0.000,0.000,0.000,-186.652,0.000,0.000,0.000,0.000,0.000
18.000,6.109,6.109,0.000,0.000,0.000,-190.018,0.000,0.000,0.000,0.000,0.000
19.000,6.051,6.051,0.000,0.000,0.000,-190.454,0.000,0.000,0.000,0.000,0.000
20.000,5.975,5.975,0.000,0.000,0.000,-186.651,0.000,0.000,0.000,0.000,0.000
21.000,4.235,4.235,0.000,0.000,0.000,-186.811,0.000,0.000,0.000,0.000,0.000
22.000,4.216,4.216,0.000,0.000,0.000,-186.894,0.000,0.000,0.000,0.000,0.000
23.000,0.453,0.453,0.000,0.000,0.000,-187.134,0.000,0.000,0.000,0.000,0.000
24.000,4.212,4.212,0.000,0.000,0.000,-187.190,0.000,0.000,0.000,0.000,0.000
25.000,5.236,5.236,0.000,0.000,0.000,-186.680,0.000,0.000,0.000,0.000,0.000
26.000,6.051,6.051,0.000,0.000,0.000,-191.157,0.000,0.000,0.000,0.000,0.000
27.000,6.057,6.057,0.000,0.000,0.000,-191.112,0.000,0.000,0.000,0.000,0.000
28.000,-38.201,-38.201,0.000,0.000,0.000,-190.202,0.000,0.000,0.000,0.000,0.000
29.000,5.305,5.305,0.000,0.000,0.000,-191.509,0.000,0.000,0.000,0.000,0.000
30.000,5.203,5.203,0.000,0.000,0.000,-191.406,0.000,0.000,0.000,0.000,0.000
31.000,3.962,3.962,0.000,0.000,0.000,-192.786,0.000,0.000,0.000,0.000,0.000
32.000,3.820,3.820,0.000,0.000,0.000,-192.233,0.000,0.000,0.000,0.000,0.000
33.000,7.517,7.517,0.000,0.000,0.000,-10.678,0.000,0.000,0.000,0.000,0.000
34.000,7.500,7.500,0.000,0.000,0.000,-10.627,0.000,0.000,0.000,0.000,0.000
35.000,7.514,7.514,0.000,0.000,0.000,-10.555,0.000,0.000,0.000,0.000,0.000
36.000,8.014,8.014,0.000,0.000,0.000,-9.886,0.000,0.000,0.000,0.000,0.000
37.000,7.556,7.556,0.000,0.000,0.000,-10.631,0.000,0.000,0.000,0.000,0.000
38.000,7.475,7.475,0.000,0.000,0.000,-10.982,0.000,0.000,0.000,0.000,0.000
39.000,7.443,7.443,0.000,0.000,0.000,-11.048,0.000,0.000,0.000,0.000,0.000
40.000,7.465,7.465,0.000,0.000,0.000,-11.007,0.000,0.000,0.000,0.000,0.000
41.000,7.462,7.462,0.000,0.000,0.000,-10.973,0.000,0.000,0.000,0.000,0.000
42.000,7.474,7.474,0.000,0.000,0.000,-10.981,0.000,0.000,0.000,0.000,0.000
43.000,7.473,7.473,0.000,0.000,0.000,-11.014,0.000,0.000,0.000,0.000,0.000
44.000,7.478,7.478,0.000,0.000,0.000,-10.868,0.000,0.000,0.000,0.000,0.000
45.000,7.913,7.913,0.000,0.000,0.000,-10.106,0.000,0.000,0.000,0.000,0.000
46.000,7.915,7.915,0.000,0.000,0.000,-9.990,0.000,0.000,0.000,0.000,0.000
47.000,8.265,8.265,0.000,0.000,0.000,-9.404,0.000,0.000,0.000,0.000,0.000
48.000,8.275,8.275,0.000,0.000,0.000,-9.320,0.000,0.000,0.000,0.000,0.000
