"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
1.00,0.00,17.13,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,11.08,18.73,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,12.38,34.09,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,11.15,9.00,19.51,6.00,10.80,8.30,6.50,2.40,0.83,0.90,18.00,0.00,0.00,0.00,1.00,27.51,56.70,0.79,1.02,0.00,49.37,6.16,0.00,1.32,0.00,0.00,11.00,0.00,0.00,23.00
2.00,0.00,17.13,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,11.08,18.73,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,12.38,34.09,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,11.15,9.00,19.51,6.00,10.80,8.30,6.50,2.40,0.83,0.90,18.00,0.00,0.00,0.00,1.00,27.51,56.70,0.79,1.02,0.00,49.37,6.16,0.00,1.32,0.00,0.00,11.00,0.00,0.00,23.00
3.00,0.00,17.65,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,11.31,18.12,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,12.53,33.50,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,13.31,9.00,19.51,6.00,10.80,8.30,6.50,2.40,0.83,0.83,18.00,0.00,0.00,0.00,1.00,27.34,56.03,0.87,1.03,0.00,49.69,7.45,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
4.00,0.00,17.85,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,11.75,17.77,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,12.82,33.04,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,16.61,9.00,19.51,6.00,10.80,8.30,6.50,2.40,0.82,0.69,18.00,0.00,0.00,0.00,1.00,27.04,55.35,1.00,1.05,0.00,50.86,9.72,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
5.00,0.00,17.73,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,12.24,16.70,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,13.40,34.38,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,20.40,9.00,19.51,6.00,10.80,8.30,6.50,2.40,0.99,0.79,18.00,0.00,0.00,0.00,1.00,29.70,57.32,1.12,1.21,0.00,52.74,12.98,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
6.00,0.00,17.93,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,12.73,15.40,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.08,36.33,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,24.35,9.00,19.51,6.00,10.80,8.30,6.50,2.40,1.22,0.97,18.00,0.00,0.00,0.00,1.00,33.35,60.17,1.23,1.41,0.00,54.86,16.57,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
7.00,0.00,17.92,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,13.19,14.46,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.13,36.86,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,28.56,9.00,19.51,6.00,10.80,8.30,6.50,2.40,1.46,1.12,18.00,0.00,0.00,0.00,1.00,36.23,63.22,1.31,1.55,0.00,56.08,18.42,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
8.00,0.00,18.37,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,13.64,13.65,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,13.97,36.92,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,32.86,9.00,19.51,6.00,10.80,8.30,6.50,2.40,1.70,1.26,18.00,0.00,0.00,0.00,1.00,38.85,66.34,1.38,1.65,0.00,57.01,19.69,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
9.00,0.00,18.30,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,13.24,13.05,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.15,36.78,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,35.79,9.00,19.51,6.00,10.80,8.30,6.50,2.40,1.88,1.68,18.00,0.00,0.00,0.00,1.00,41.77,67.76,1.43,1.71,0.00,59.87,20.54,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
10.00,0.00,18.31,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.05,0.01,10.73,0.00,0.00,12.55,12.53,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.44,36.56,2.18,27.00,5.00,18.05,0.10,17.95,0.02,0.60,19.51,19.51,19.51,1.20,38.26,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.04,2.19,18.00,0.00,0.00,0.00,1.00,44.80,68.62,1.48,1.75,0.12,63.39,21.26,0.00,1.36,0.01,0.00,11.00,0.00,0.00,23.00
11.00,0.20,18.52,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.51,0.93,10.73,0.00,0.00,11.96,12.23,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.59,14.38,35.85,2.18,27.00,5.00,18.05,4.88,17.95,0.99,0.60,19.51,19.51,19.51,1.20,38.64,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.39,2.75,18.00,0.00,0.00,0.00,1.00,46.23,68.57,1.49,1.86,6.34,64.75,22.79,0.00,1.32,3.39,16.12,11.00,37.00,0.00,23.00
12.00,0.88,18.42,0.26,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.91,3.15,10.73,0.00,0.00,11.39,11.99,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,2.69,14.19,34.97,2.18,27.00,5.00,18.05,18.95,17.95,3.34,0.60,19.51,19.51,19.51,1.20,38.33,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.80,3.31,18.00,0.00,0.00,0.00,1.00,47.14,68.23,1.49,2.00,19.46,65.40,24.60,0.00,1.36,12.43,50.09,11.00,75.00,2.07,23.00
13.00,2.25,18.68,1.26,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,2.34,6.73,10.73,0.00,0.00,11.18,12.31,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,5.82,14.27,35.04,2.18,27.00,5.00,18.05,39.02,17.95,8.06,0.60,19.51,19.51,19.51,1.20,39.01,9.00,19.51,6.00,10.80,8.30,6.50,2.40,3.01,3.43,18.00,0.00,0.00,0.03,1.00,47.61,67.18,1.48,2.23,38.66,65.92,27.99,0.00,1.36,28.14,101.32,11.00,128.00,4.14,23.00
14.00,4.20,18.97,2.59,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,6.30,10.14,10.73,0.00,0.00,11.09,12.81,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,7.93,14.44,35.42,2.18,27.00,5.00,18.05,60.01,17.95,13.16,0.60,19.51,19.51,19.51,1.20,40.03,9.00,19.51,6.00,10.80,8.30,6.50,2.40,3.15,3.39,18.00,0.00,0.00,0.05,1.00,47.93,65.90,1.47,2.48,55.87,66.40,31.90,0.00,1.36,48.47,160.37,11.00,180.00,6.22,23.00
15.00,6.27,18.87,4.71,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,10.28,11.56,10.73,0.00,0.00,10.95,13.87,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,9.13,14.68,37.54,2.18,27.00,5.00,18.05,72.03,17.95,19.76,0.60,19.51,19.51,19.51,1.20,39.35,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.94,2.84,18.00,0.00,0.00,0.06,1.00,46.95,64.17,1.41,2.64,67.34,67.06,33.47,0.00,1.36,62.76,196.76,11.00,190.00,8.29,23.00
16.00,7.94,18.80,7.23,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,11.76,12.51,10.73,0.00,0.00,10.79,15.11,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,10.22,14.93,40.25,2.18,27.00,5.00,18.05,87.70,17.95,23.25,0.60,19.51,19.51,19.51,1.20,38.11,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.61,2.12,18.00,0.00,0.00,0.09,1.00,45.53,62.30,1.33,2.77,80.25,67.78,34.25,0.10,1.32,69.72,217.99,11.00,199.00,12.43,23.00
17.00,9.25,18.70,9.29,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,13.60,13.09,10.73,0.00,0.00,10.94,17.77,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,11.01,15.59,44.52,2.18,27.00,5.00,18.05,103.91,17.95,25.42,0.60,19.51,19.51,19.51,1.20,38.54,9.00,19.51,6.00,10.80,8.30,6.50,2.40,2.72,2.04,18.00,0.00,0.00,0.44,1.00,48.03,63.51,1.65,3.31,87.79,70.91,36.44,0.20,1.36,73.95,230.94,11.00,203.00,16.58,23.00
18.00,10.48,18.76,11.37,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,14.95,13.38,10.73,0.00,0.00,11.19,20.91,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,11.47,16.38,49.31,2.18,27.00,5.00,18.05,113.67,17.95,27.79,0.60,19.51,19.51,19.51,1.20,39.52,9.00,19.51,6.00,10.80,8.30,6.20,2.40,2.97,2.17,18.00,0.00,0.00,0.59,1.00,51.83,65.73,2.10,3.98,92.50,74.85,39.10,0.20,1.36,76.16,236.56,11.00,207.00,20.72,23.00
19.00,11.77,18.20,13.21,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,15.81,13.57,10.73,0.00,0.00,11.08,26.64,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,11.84,17.51,53.70,2.18,27.00,5.00,18.05,118.77,17.95,29.90,0.60,19.51,19.51,19.51,1.20,44.66,9.00,19.51,6.00,10.80,8.30,6.20,2.40,3.28,2.37,18.00,0.00,0.00,0.74,1.00,56.15,68.68,2.76,4.80,96.41,79.80,45.26,0.30,1.36,77.27,241.00,11.00,209.00,24.86,23.00
20.00,13.25,16.77,14.40,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,16.43,14.68,10.73,0.00,0.00,10.84,33.23,4.10,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,12.83,18.75,57.94,2.18,27.00,5.00,18.05,124.84,17.95,32.83,0.60,19.51,19.51,19.51,1.20,51.19,9.00,19.51,6.00,10.80,8.30,6.20,2.40,3.60,2.59,18.00,0.00,0.00,0.83,1.00,60.63,71.87,3.48,5.67,99.54,85.09,52.60,0.30,1.36,78.22,243.31,11.00,210.00,29.01,23.00
21.00,14.52,17.07,15.40,14.00,2.90,7.90,5.80,7.30,1.20,0.00,3.00,20.00,16.94,15.82,10.73,0.00,0.00,11.18,41.72,5.30,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,13.66,19.71,61.40,2.18,27.00,5.00,18.05,130.02,17.95,35.33,0.60,19.51,19.51,19.51,1.20,55.93,9.00,19.51,6.00,10.80,8.30,6.20,2.40,3.94,3.20,18.00,0.00,0.00,0.90,1.00,64.16,73.86,3.92,6.29,101.80,88.26,58.69,0.30,1.36,78.84,243.32,11.00,209.00,33.15,23.00
