"ETAPA \ URS","URSSTK001","URSSTK002","URSSTK003","URSSTK004","URSEGN001","URSKLP001","URSKLP002","URSEGN002","URSENL001","URSENL002","URSCLP001","URSENG001","URSKPL003","URSTCH001","URSENL004","URSCHI001","URSCHG001","URSFNX001","URSENL005"
1.00,0.00,0.00,0.00,0.00,0.00,82.51,0.00,0.00,34.81,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,91.01,0.00,0.00,26.31,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,93.92,0.00,0.00,23.40,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.00,93.73,0.00,0.00,23.59,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00,6.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00,6.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,0.00,80.12,0.00,0.00,37.20,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,84.32,0.00,0.00,33.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.00,0.00,0.00,0.00,0.00,0.00,83.95,0.00,0.00,33.37,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,0.00,0.00,0.00,0.00,87.09,0.00,0.00,30.23,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,0.00,0.00,0.00,0.00,0.00,89.34,0.00,0.00,27.99,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.00,0.00,0.00,0.00,0.00,0.00,90.97,0.00,0.00,26.35,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.00,0.00,0.00,0.00,0.00,0.00,100.93,0.00,0.00,32.39,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,0.00,0.00,0.00,0.00,0.00,103.45,0.00,0.00,29.87,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,0.00,0.00,0.00,0.00,0.00,101.93,0.00,0.00,42.93,0.00,82.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,0.00,0.00,0.00,0.00,0.00,43.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,0.00,0.00,0.00,0.00,0.00,43.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,0.00,0.00,0.00,0.00,0.00,43.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,0.00,0.00,0.00,0.00,0.00,43.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,0.00,0.00,0.00,0.00,43.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,0.00,0.00,0.00,0.00,0.00,59.73,0.00,0.00,80.73,6.00,80.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.00,0.00,0.00,0.00,0.00,68.93,0.00,0.00,75.94,6.00,76.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.00,0.00,0.00,0.00,0.00,0.00,88.25,0.00,0.00,61.68,6.00,59.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.00,0.00,0.00,0.00,0.00,0.00,66.45,0.00,0.00,71.29,6.00,71.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.00,0.00,0.00,0.00,0.00,0.00,31.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,0.00,0.00,0.00,31.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
