"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,186.00,0.00,0.00,0.00,0.00,0.00
2.00,186.00,0.00,0.00,0.00,0.00,0.00
3.00,186.00,0.00,0.00,0.00,0.00,0.00
4.00,186.00,0.00,0.00,0.00,0.00,0.00
5.00,186.00,0.00,0.00,0.00,0.00,0.00
6.00,186.00,0.00,0.00,0.00,0.00,0.00
7.00,186.00,0.00,0.00,0.00,0.00,0.00
8.00,186.00,0.00,0.00,0.00,0.00,0.00
9.00,186.00,0.00,0.00,0.00,0.00,0.00
10.00,186.00,0.00,0.00,0.00,0.00,0.00
11.00,186.00,0.00,0.00,0.00,0.00,0.00
12.00,186.00,0.00,0.00,0.00,0.00,0.00
13.00,207.00,0.00,0.00,0.00,0.00,0.00
14.00,207.00,0.00,0.00,0.00,0.00,0.00
15.00,207.00,0.00,0.00,0.00,0.00,0.00
16.00,207.00,0.00,0.00,0.00,0.00,0.00
17.00,207.00,0.00,0.00,0.00,0.00,0.00
18.00,207.00,0.00,0.00,0.00,0.00,0.00
19.00,207.00,0.00,0.00,0.00,0.00,0.00
20.00,207.00,0.00,0.00,0.00,0.00,0.00
21.00,207.00,0.00,0.00,0.00,0.00,0.00
22.00,207.00,0.00,0.00,0.00,0.00,0.00
23.00,222.00,0.00,0.00,0.00,0.00,0.00
24.00,222.00,0.00,0.00,0.00,0.00,0.00
25.00,222.00,0.00,0.00,0.00,0.00,0.00
26.00,222.00,0.00,0.00,0.00,0.00,0.00
27.00,222.00,0.00,0.00,0.00,0.00,0.00
28.00,222.00,0.00,0.00,0.00,0.00,0.00
29.00,222.00,0.00,0.00,0.00,0.00,0.00
30.00,222.00,0.00,0.00,0.00,0.00,0.00
31.00,222.00,0.00,0.00,0.00,0.00,0.00
32.00,222.00,0.00,0.00,0.00,0.00,0.00
33.00,194.23,0.00,0.00,0.00,0.00,0.00
34.00,200.40,0.00,0.00,0.00,0.00,0.00
35.00,222.00,0.00,0.00,0.00,0.00,0.00
36.00,222.00,0.00,0.00,0.00,0.00,0.00
37.00,222.00,0.00,0.00,0.00,0.00,0.00
38.00,185.97,0.00,0.00,0.00,0.00,0.00
39.00,146.10,0.00,0.00,0.00,0.00,0.00
40.00,171.99,0.00,0.00,0.00,0.00,0.00
41.00,166.12,0.00,0.00,0.00,0.00,0.00
42.00,157.26,0.00,0.00,0.00,0.00,0.00
43.00,167.49,0.00,0.00,0.00,0.00,0.00
44.00,161.93,0.00,0.00,0.00,0.00,0.00
45.00,186.00,0.00,0.00,0.00,0.00,0.00
46.00,186.00,0.00,0.00,0.00,0.00,0.00
47.00,186.00,0.00,0.00,0.00,0.00,0.00
48.00,186.00,0.00,0.00,0.00,0.00,0.00
