"ETAPA \ EMBALSE","Emb0","SHEQUE","HUINCO RES","PRESA MALPASO","AGUADA BLANCA","CAMPANARIO","CINCEL","CIRATO","ARICOTA RES","PRESA GALLITO CIEGO","PRESA COMPEN GALLITO","SAN GABAN","TULUMAYO","SAN DIEGO","HUALLAMAYO","TABLACHACA","CHAGLLA EM","PICUNCHE","SHAPIRINGO","CERRO DEL AGUILA EM","PALLCA","EMB CHECRAS","RESER CAPILLUCAS","PULMON MATUCANA","TOMA HUAMPANI","RESERV RESTIT","TOMA SURCO"
1.000,0.000,0.220,0.251,25.882,29.980,0.080,0.124,0.224,0.045,300.000,0.720,0.148,0.921,0.608,0.934,2.660,356.298,0.143,0.070,25.757,0.311,0.300,0.660,0.020,0.030,0.394,0.031
2.000,0.000,0.221,0.240,25.882,29.972,0.080,0.136,0.232,0.045,300.000,0.720,0.148,0.942,0.563,0.928,2.820,356.298,0.170,0.080,25.653,0.322,0.303,0.660,0.020,0.030,0.391,0.031
3.000,0.000,0.223,0.229,25.882,29.964,0.081,0.148,0.239,0.045,300.000,0.720,0.148,0.963,0.538,0.921,2.980,356.298,0.194,0.091,25.550,0.332,0.305,0.660,0.020,0.030,0.387,0.031
4.000,0.000,0.225,0.218,25.882,29.962,0.081,0.153,0.247,0.045,300.000,0.720,0.148,0.984,0.521,0.915,3.140,356.298,0.216,0.102,25.447,0.343,0.308,0.660,0.021,0.030,0.384,0.031
5.000,0.000,0.231,0.203,25.882,29.962,0.081,0.157,0.254,0.045,300.000,0.720,0.148,1.005,0.510,0.909,3.301,356.298,0.236,0.112,25.344,0.354,0.310,0.661,0.021,0.030,0.381,0.031
6.000,0.000,0.238,0.188,25.882,29.966,0.082,0.158,0.262,0.045,300.000,0.720,0.148,1.026,0.502,0.903,3.445,356.298,0.254,0.123,25.256,0.365,0.313,0.661,0.021,0.030,0.378,0.031
7.000,0.000,0.237,0.179,25.882,29.966,0.083,0.160,0.269,0.045,300.000,0.720,0.148,1.047,0.496,0.896,3.445,356.298,0.269,0.134,25.313,0.376,0.315,0.661,0.021,0.030,0.375,0.031
8.000,0.000,0.237,0.170,25.882,29.964,0.083,0.166,0.277,0.045,300.000,0.720,0.148,1.068,0.492,0.890,3.445,356.298,0.283,0.144,25.369,0.386,0.318,0.661,0.021,0.030,0.371,0.031
9.000,0.000,0.238,0.160,25.882,29.960,0.084,0.173,0.285,0.045,300.000,0.720,0.148,1.089,0.489,0.884,3.445,356.298,0.294,0.155,25.426,0.397,0.320,0.661,0.021,0.030,0.368,0.031
10.000,0.000,0.238,0.150,25.882,29.954,0.086,0.182,0.292,0.045,300.000,0.720,0.148,1.110,0.487,0.878,3.445,356.298,0.304,0.166,25.483,0.408,0.323,0.661,0.022,0.030,0.365,0.031
11.000,0.000,0.239,0.140,25.882,29.950,0.087,0.189,0.300,0.045,300.000,0.720,0.148,1.131,0.485,0.872,3.445,356.298,0.311,0.176,25.540,0.419,0.325,0.661,0.022,0.030,0.361,0.031
12.000,0.000,0.241,0.130,25.882,29.950,0.089,0.191,0.298,0.045,300.000,0.720,0.148,1.152,0.484,0.865,3.445,356.298,0.318,0.187,25.597,0.430,0.327,0.661,0.022,0.030,0.358,0.031
13.000,0.000,0.241,0.120,25.882,29.951,0.090,0.193,0.297,0.045,300.000,0.720,0.148,1.173,0.483,0.859,3.445,356.298,0.323,0.198,25.654,0.440,0.330,0.661,0.022,0.030,0.355,0.031
14.000,0.000,0.242,0.110,25.882,29.956,0.090,0.193,0.295,0.045,300.000,0.720,0.148,1.194,0.482,0.853,3.445,356.298,0.327,0.209,25.710,0.451,0.332,0.661,0.022,0.030,0.351,0.031
15.000,0.000,0.240,0.103,25.882,29.975,0.086,0.183,0.294,0.045,300.000,0.720,0.148,1.215,0.482,0.847,3.445,356.297,0.330,0.219,25.767,0.462,0.335,0.662,0.022,0.030,0.348,0.031
16.000,0.000,0.244,0.115,25.882,29.991,0.082,0.174,0.285,0.045,300.000,0.720,0.148,1.236,0.481,0.840,3.445,356.298,0.333,0.206,25.824,0.447,0.337,0.662,0.022,0.030,0.345,0.031
17.000,0.000,0.244,0.120,25.882,30.008,0.078,0.166,0.284,0.045,300.000,0.720,0.148,1.257,0.481,0.851,3.445,356.298,0.335,0.194,25.860,0.445,0.340,0.662,0.023,0.030,0.341,0.031
18.000,0.000,0.243,0.124,25.882,30.023,0.074,0.159,0.272,0.045,300.000,0.720,0.148,1.278,0.481,0.862,3.445,356.298,0.336,0.181,25.860,0.443,0.342,0.662,0.023,0.030,0.338,0.031
19.000,0.000,0.248,0.128,25.882,30.039,0.070,0.152,0.253,0.045,300.000,0.720,0.148,1.299,0.480,0.867,3.445,356.298,0.337,0.168,25.860,0.435,0.345,0.662,0.023,0.030,0.334,0.031
20.000,0.000,0.254,0.137,25.882,30.054,0.066,0.145,0.252,0.045,300.000,0.720,0.148,1.320,0.480,0.860,3.445,356.298,0.338,0.155,25.860,0.422,0.347,0.662,0.023,0.030,0.331,0.031
21.000,0.000,0.254,0.154,25.882,30.069,0.062,0.138,0.250,0.045,300.000,0.720,0.148,1.341,0.480,0.854,3.445,356.298,0.339,0.142,25.860,0.408,0.350,0.662,0.023,0.030,0.327,0.031
22.000,0.000,0.253,0.170,25.882,30.084,0.058,0.131,0.249,0.045,300.000,0.720,0.148,1.362,0.480,0.848,3.445,356.298,0.339,0.129,25.860,0.393,0.352,0.662,0.023,0.030,0.324,0.031
23.000,0.000,0.256,0.187,25.882,30.099,0.053,0.124,0.247,0.045,300.000,0.720,0.148,1.383,0.480,0.842,3.445,356.298,0.340,0.116,25.860,0.375,0.354,0.662,0.024,0.030,0.320,0.031
24.000,0.000,0.255,0.204,25.882,30.115,0.049,0.116,0.246,0.045,300.000,0.720,0.148,1.404,0.480,0.836,3.445,356.298,0.340,0.104,25.860,0.361,0.357,0.662,0.024,0.030,0.316,0.031
25.000,0.000,0.262,0.214,25.882,30.131,0.045,0.109,0.244,0.045,300.000,0.720,0.148,1.425,0.480,0.829,3.445,356.298,0.340,0.091,25.860,0.346,0.359,0.663,0.024,0.030,0.313,0.031
26.000,0.000,0.262,0.219,25.882,30.147,0.041,0.101,0.243,0.045,300.000,0.720,0.148,1.446,0.480,0.840,3.445,356.298,0.340,0.078,25.860,0.342,0.362,0.663,0.024,0.030,0.309,0.031
27.000,0.000,0.262,0.223,25.882,30.164,0.037,0.092,0.241,0.045,300.000,0.720,0.148,1.467,0.480,0.851,3.445,356.298,0.340,0.065,25.860,0.340,0.364,0.663,0.024,0.030,0.305,0.031
28.000,0.000,0.265,0.240,25.882,30.181,0.033,0.083,0.240,0.045,300.000,0.720,0.148,1.488,0.480,0.845,3.445,356.298,0.340,0.052,25.860,0.322,0.367,0.663,0.024,0.030,0.301,0.031
29.000,0.000,0.278,0.243,25.882,30.199,0.029,0.073,0.238,0.045,300.000,0.720,0.148,1.500,0.479,0.838,3.445,356.298,0.340,0.039,25.860,0.307,0.369,0.663,0.024,0.030,0.297,0.031
30.000,0.000,0.282,0.255,25.882,30.219,0.025,0.062,0.237,0.045,300.000,0.720,0.148,1.500,0.479,0.832,3.445,356.298,0.340,0.026,25.860,0.292,0.372,0.663,0.025,0.030,0.293,0.031
31.000,0.000,0.282,0.260,25.882,30.207,0.032,0.068,0.235,0.045,300.000,0.720,0.148,1.500,0.479,0.826,3.445,356.298,0.340,0.013,25.860,0.278,0.374,0.663,0.025,0.030,0.289,0.031
32.000,0.000,0.281,0.260,25.882,30.188,0.039,0.081,0.234,0.045,300.000,0.720,0.148,1.500,0.478,0.820,3.445,356.298,0.340,0.000,25.860,0.263,0.376,0.663,0.025,0.030,0.285,0.031
33.000,0.000,0.274,0.260,25.882,30.185,0.044,0.078,0.232,0.045,300.000,0.720,0.148,1.500,0.478,0.813,3.445,356.298,0.339,0.004,25.860,0.267,0.379,0.663,0.025,0.030,0.281,0.031
34.000,0.000,0.266,0.260,25.882,30.176,0.047,0.081,0.231,0.045,300.000,0.720,0.148,1.500,0.477,0.807,3.445,356.298,0.339,0.010,25.860,0.271,0.381,0.664,0.025,0.030,0.277,0.031
35.000,0.000,0.262,0.260,25.882,30.163,0.050,0.087,0.229,0.045,300.000,0.720,0.148,1.500,0.476,0.801,3.445,356.298,0.338,0.019,25.860,0.277,0.384,0.664,0.025,0.030,0.273,0.031
36.000,0.000,0.258,0.260,25.882,30.168,0.052,0.076,0.228,0.045,300.000,0.720,0.148,1.500,0.475,0.795,3.445,356.298,0.337,0.030,25.860,0.283,0.386,0.664,0.026,0.030,0.268,0.031
