"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,35.37,202.05,13.33,1.97,0.00,85.24,0.00,9.98,63.38,5.46,14.66,0.00,0.00,28.14,28.13,50.89,28.13,0.00,0.00,0.00,0.00,74.91,76.30,48.65,48.60,49.08,30.67,30.56,30.55,48.59,48.62,51.09,51.08,101.60,19.42,0.00
2.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,35.37,202.05,13.33,1.97,0.00,85.24,0.00,9.98,64.65,5.46,14.95,0.00,0.00,0.00,60.19,67.88,0.00,0.00,0.00,0.00,0.00,74.91,76.30,46.24,46.20,49.08,30.67,30.56,30.55,48.30,48.33,45.68,45.68,101.60,19.42,0.00
3.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,35.37,202.05,13.33,1.97,0.00,85.24,0.00,9.98,73.59,5.46,17.02,0.00,0.00,22.00,44.26,58.94,22.00,0.00,0.00,0.00,0.00,74.91,76.30,47.05,40.59,49.08,30.67,30.56,30.55,48.59,48.62,0.00,41.76,101.60,19.42,0.00
4.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,35.37,202.05,13.33,1.97,0.00,85.24,0.00,9.98,78.22,5.46,18.09,0.00,0.00,21.98,54.15,54.61,21.98,0.00,0.00,0.00,0.00,74.91,76.30,43.24,38.39,49.08,30.67,30.56,30.55,48.44,48.47,0.00,52.06,101.60,19.42,0.00
5.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,21.06,202.05,13.33,1.97,0.00,85.24,0.00,9.98,85.48,5.46,19.77,164.60,0.00,26.24,28.67,26.24,26.24,0.00,0.00,0.00,0.00,74.91,76.30,49.70,42.12,49.08,30.67,30.56,30.55,48.30,48.33,43.14,43.14,101.60,19.42,0.00
6.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,0.00,60.00,9.87,5.42,155.99,112.36,91.07,44.06,29.55,202.05,25.41,1.97,0.00,85.24,0.00,9.98,85.48,5.46,19.77,189.69,0.00,23.30,67.10,67.88,23.30,0.00,0.00,0.00,0.00,74.91,76.30,59.54,49.45,49.08,30.67,30.56,30.55,48.44,48.47,64.58,64.56,101.60,19.42,0.00
7.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,86.35,9.87,5.42,155.99,112.36,91.07,44.06,35.37,202.05,25.41,1.97,6.88,85.24,0.00,9.98,85.48,5.46,19.77,167.01,166.01,23.30,67.10,67.88,23.30,0.00,0.00,0.00,0.00,74.91,76.30,60.03,48.96,49.08,30.67,30.56,30.55,48.44,48.47,79.63,79.60,101.60,19.42,0.00
8.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,140.92,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,25.41,1.97,6.88,85.24,0.00,9.98,85.48,5.46,19.77,184.85,189.08,23.30,67.10,67.88,23.30,84.95,90.74,0.00,0.00,74.91,76.30,60.03,48.96,49.08,30.67,30.56,30.55,48.44,48.47,110.26,110.22,101.60,19.42,0.00
9.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,142.31,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,25.41,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,225.82,217.77,23.30,67.10,67.88,23.30,173.14,177.32,173.21,0.00,74.91,76.30,60.03,48.96,49.08,30.67,30.56,30.55,48.55,48.58,110.26,110.22,101.60,19.42,0.00
10.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,142.31,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,25.41,1.97,6.88,85.24,6.39,9.98,85.98,5.46,19.77,228.46,220.39,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,76.30,60.03,48.96,49.08,30.67,30.56,30.55,48.55,48.58,110.26,110.22,101.60,19.42,0.00
